   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min       	std        	avg    	max	min	std     
0  	0.183722	41.9772    	8201.03    	0.307815  	479.832    	1.49834	4  	1  	0.665348
1  	0.19011 	10.9525    	1194.71    	0.2689    	76.6152    	1.70199	4  	1  	0.824257
2  	0.185479	20.4038    	4498.07    	0.2689    	259.619    	1.71617	5  	1  	0.918441
3  	0.190105	inf        	inf        	0.2689    	nan        	1.70395	5  	1  	0.894713
4  	0.2035  	inf        	inf        	0.268363  	nan        	1.79672	6  	1  	0.893321
5  	0.195213	inf        	inf        	0.268351  	nan        	2      	5  	1  	0.946269
6  	0.198806	2.89311    	146.931    	0.268351  	12.563     	2.20195	7  	1  	0.971045
7  	0.209993	inf        	inf        	0.268303  	nan        	2.72078	6  	1  	1.06598 
8  	0.211346	1.52121    	129.561    	0.255348  	7.78052    	3.04207	7  	1  	1.25728 
9  	0.217138	19.807     	5632.25    	0.241101  	319.331    	3.23226	8  	1  	1.30665 
10 	0.233999	3.05525    	370.089    	0.241101  	22.9444    	3.48553	7  	1  	1.31487 
11 	0.225865	inf        	inf        	0.241101  	nan        	3.69231	10 	1  	1.50263 
12 	0.233191	inf        	inf        	0.241101  	nan        	3.9393 	10 	1  	1.69932 
13 	0.247186	2.77202    	264.695    	0.240407  	18.106     	4.42357	11 	1  	1.99575 
14 	0.247141	inf        	inf        	0.240407  	nan        	4.74921	13 	1  	2.14194 
15 	0.252687	1.21034    	103.092    	0.224438  	6.0191     	4.99051	12 	1  	2.17216 
16 	0.259195	3.01137    	157.139    	0.224438  	15.436     	5.16404	13 	2  	2.28524 
17 	0.273991	1.10732    	68.5067    	0.215112  	4.50678    	5.70755	13 	1  	2.6834  
18 	0.276386	inf        	inf        	0.144897  	nan        	6.24451	19 	1  	3.00414 
19 	0.327249	3.59195e+55	1.14943e+58	0.144897  	6.41544e+56	6.36875	24 	1  	3.15559 
20 	0.320783	3.58076e+55	1.14943e+58	0.131311  	6.40547e+56	5.97196	22 	1  	3.0216  
21 	0.296578	1.66188    	168.58     	0.131311  	10.8416    	6.42547	22 	1  	2.99    
22 	0.296212	3.12565    	271.535    	0.131311  	23.8913    	6.44892	24 	1  	3.12481 
23 	0.305995	0.953679   	68.8921    	0.131311  	4.02705    	6.99074	21 	1  	3.16178 
24 	0.32703 	1.44653    	155.722    	0.125212  	9.62863    	7.88   	23 	1  	3.61038 
25 	0.338008	7.05169e+55	1.14943e+58	0.125212  	8.97533e+56	8.39877	23 	1  	4.20202 
26 	0.360713	inf        	inf        	0.125212  	nan        	9.44343	26 	2  	4.48126 
27 	0.36011 	0.860154   	68.5162    	0.125212  	4.00069    	9.45427	28 	1  	4.69669 
28 	0.365401	0.64441    	10.6354    	0.015653  	1.39302    	9.56839	25 	1  	4.51162 
29 	0.366993	5.26781    	1299.87    	0.015653  	71.8775    	9.51212	26 	1  	4.77888 
30 	0.376588	inf        	inf        	0.015653  	nan        	9.6284 	33 	1  	5.06075 
31 	0.385903	1.05145    	122.723    	0.015653  	7.18913    	10.2018	34 	1  	5.60214 
32 	0.389443	1.1208     	96.7945    	0.015653  	6.50318    	10.2553	34 	1  	5.77852 
