   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min      	std        	avg    	max	min	std     
0  	0.185146	184.051    	51375.6    	0.294636 	2956.9     	1.48837	4  	1  	0.665249
1  	0.190581	inf        	inf        	0.264956 	nan        	1.69536	5  	1  	0.813735
2  	0.186558	19.8805    	3850.1     	0.264956 	223.571    	1.68317	5  	1  	0.859012
3  	0.183109	inf        	inf        	0.264956 	nan        	1.61184	5  	1  	0.795128
4  	0.187517	inf        	inf        	0.264956 	nan        	1.65574	5  	1  	0.80745 
5  	0.200913	inf        	inf        	0.263103 	nan        	1.77451	5  	1  	0.819376
6  	0.19506 	inf        	inf        	0.263103 	nan        	1.95765	5  	1  	0.866401
7  	0.212664	inf        	inf        	0.262976 	nan        	2.28247	5  	1  	0.99418 
8  	0.218681	6.23796    	1008.12    	0.262976 	58.0701    	2.54045	5  	1  	1.00925 
9  	0.207508	2.67607    	130.703    	0.261146 	9.8941     	2.67742	5  	1  	1.06217 
10 	0.209223	17.8676    	4477.13    	0.261146 	254.204    	2.9582 	5  	1  	1.15441 
11 	0.217748	3.68406e+55	1.14943e+58	0.261146 	6.4969e+56 	3.19231	5  	1  	1.09846 
12 	0.220367	inf        	inf        	0.261146 	nan        	3.21086	5  	1  	1.0903  
13 	0.222779	3.66059e+55	1.14943e+58	0.261146 	6.47624e+56	3.40446	5  	1  	1.08498 
14 	0.221887	2.31341    	368.982    	0.261146 	21.0143    	3.53968	5  	1  	1.04844 
15 	0.23028 	1.47225    	92.7115    	0.261146 	6.27522    	3.62025	5  	1  	1.04704 
16 	0.235829	2.85943    	172.296    	0.261146 	15.0608    	3.80442	5  	1  	0.979077
17 	0.233221	2.11956    	136.019    	0.261146 	10.707     	3.72327	5  	1  	1.03043 
18 	0.237114	inf        	inf        	0.204571 	nan        	3.75235	5  	1  	1.03759 
19 	0.24141 	2.24165    	171.594    	0.204571 	13.8204    	3.825  	5  	1  	0.997184
20 	0.241099	2.44831    	234.129    	0.181787 	15.1088    	3.86604	5  	1  	0.98468 
21 	0.239482	26.0293    	7647.24    	0.181787 	426.066    	3.85714	5  	1  	0.977112
22 	0.245112	1.23666    	111.618    	0.181531 	7.34941    	3.87307	5  	1  	0.998134
23 	0.25061 	inf        	inf        	0.168715 	nan        	3.92901	5  	2  	0.9219  
24 	0.24681 	1.07261    	78.6564    	0.168715 	5.1858     	3.99385	5  	1  	0.928171
25 	0.251541	inf        	inf        	0.168715 	nan        	3.99693	5  	1  	0.982979
26 	0.253118	7.03012e+55	1.14943e+58	0.165896 	8.96168e+56	4.05505	5  	1  	1.0182  
27 	0.268629	7.00869e+55	1.14943e+58	0.165896 	8.9481e+56 	4.14939	5  	1  	0.946238
28 	0.269242	6.98739e+55	1.14943e+58	0.165896 	8.93457e+56	4.13982	5  	1  	1.03667 
29 	0.266241	inf        	inf        	0.138255 	nan        	4.10606	5  	1  	0.964974
30 	0.292203	6.94517e+55	1.14943e+58	0.13315  	8.9077e+56 	4.10574	5  	1  	0.963533
31 	0.35249 	3.46212e+55	1.14943e+58	0.13315  	6.29878e+56	4.14157	5  	1  	0.941587
32 	0.501368	3.45173e+55	1.14943e+58	0.117521 	6.28935e+56	4.16517	5  	1  	0.945855
33 	0.276481	3.44139e+55	1.14943e+58	0.117521 	6.27995e+56	4.21856	5  	1  	0.877266
34 	0.276617	1.37245e+56	1.14943e+58	0.117521 	1.24848e+57	4.20896	5  	1  	0.896716
35 	0.278099	3.42091e+55	1.14943e+58	0.117471 	6.26129e+56	4.30952	5  	1  	0.872547
36 	0.284316	3.41076e+55	1.14943e+58	0.0927031	6.25202e+56	4.41246	5  	1  	0.829121
37 	0.286234	3.40067e+55	1.14943e+58	0.0877342	6.24279e+56	4.3787 	5  	1  	0.896289
38 	0.293529	2.98376e+57	1e+60      	0.0877342	5.42341e+58	4.35693	5  	1  	0.952889
39 	0.333467	inf        	inf        	0.0877317	nan        	4.50294	5  	1  	0.831365
40 	0.309774	3.03367e+57	1e+60      	0.0877317	5.40787e+58	4.55132	5  	1  	0.792842
41 	0.312327	5.91517e+57	1e+60      	0.0877317	7.62479e+58	4.61988	5  	1  	0.672311
42 	0.313097	5.8309e+57 	1e+60      	0.0839163	7.61374e+58	4.59475	5  	1  	0.713613
43 	0.308719	3.34135e+55	1.14943e+58	0.0815395	6.18827e+56	4.54942	5  	1  	0.75321 
44 	0.314953	3.03182e+57	1e+60      	0.0815395	5.3767e+58 	4.54203	5  	1  	0.801521
45 	0.306258	9.96612e+55	1.14943e+58	0.0815395	1.06564e+57	4.58382	5  	2  	0.658579
46 	0.319518	2.98122e+57	1e+60      	0.0692268	5.36106e+58	4.60807	5  	1  	0.663363
47 	0.411976	1.65147e+56	2.29885e+58	0.0692268	1.62181e+57	4.55172	5  	1  	0.750611
48 	0.325251	3.29348e+55	1.14943e+58	0.0692268	6.14391e+56	4.62178	5  	1  	0.74186 
49 	0.314697	7.78506    	2159.66    	0.0639316	115.314    	4.62857	5  	1  	0.700437
50 	0.310224	3.01274e+57	1e+60      	0.0576397	5.33157e+58	4.63248	5  	1  	0.769041
51 	0.316484	inf        	inf        	0.0576397	nan        	4.77557	5  	2  	0.4805  
52 	0.313963	1.68012    	101.203    	0.0327074	7.82211    	4.77054	5  	1  	0.598425
53 	0.318568	inf        	inf        	0.0327074	nan        	4.81638	5  	1  	0.608474
54 	0.320539	5.20443    	1347.06    	0.0327074	71.5659    	4.83662	5  	2  	0.504972
55 	0.321051	2.20458    	151.086    	0.0327074	9.97013    	4.84831	5  	1  	0.622177
56 	0.324303	3.21968e+55	1.14943e+58	0.0327074	6.07488e+56	4.85434	5  	1  	0.535637
57 	0.326021	3.21069e+55	1.14943e+58	0.0327074	6.06641e+56	4.85475	5  	1  	0.48568 
58 	0.325223	2.78552e+57	1e+60      	0.0327074	5.27044e+58	4.84401	5  	1  	0.481596
59 	0.332017	2.14781    	94.4978    	0.0327074	8.08494    	4.88333	5  	1  	0.450617
60 	0.329956	6.36801e+55	1.14943e+58	0.0327074	8.5317e+56 	4.8892 	5  	1  	0.419629
61 	0.328126	3.17521e+55	1.14943e+58	0.0327074	6.0329e+56 	4.90884	5  	1  	0.452103
62 	0.331288	2.35822    	150.97     	0.0327074	10.7842    	4.89256	5  	1  	0.459997
63 	0.330876	inf        	inf        	0.0327074	nan        	4.92308	5  	2  	0.33906 
64 	0.33331 	3.14911e+55	1.14943e+58	0.0327074	6.00812e+56	4.87397	5  	1  	0.529157
65 	0.336846	3.14051e+55	1.14943e+58	0.0327074	5.99993e+56	4.89071	5  	1  	0.505782
66 	0.362719	6.2639e+55 	1.14943e+58	0.0327074	8.46206e+56	4.92098	5  	1  	0.413361
67 	0.340228	2.71739e+57	1e+60      	0.0327074	5.20577e+58	4.92391	5  	1  	0.382603
68 	0.337909	2.71003e+57	1e+60      	0.0327074	5.19873e+58	4.90786	5  	1  	0.419275
69 	0.344055	1.60839    	33.4852    	0.0327074	4.85886    	4.88919	5  	1  	0.602824
70 	0.34417 	3.09818e+55	1.14943e+58	0.0327074	5.95947e+56	4.93801	5  	1  	0.380006
71 	0.340128	3.08985e+55	1.14943e+58	0.0327074	5.95148e+56	4.92742	5  	2  	0.363082
72 	0.344814	1.74905    	67.8078    	0.0327074	6.26592    	4.91689	5  	1  	0.475749
73 	0.342038	1.58911    	94.4978    	0.0327074	6.67128    	4.93316	5  	2  	0.363174
74 	0.343453	3.06513e+55	1.14943e+58	0.0327074	5.92769e+56	4.87733	5  	1  	0.575864
75 	0.351166	inf        	inf        	0.0327074	nan        	4.93883	5  	2  	0.348221
76 	0.412314	6.09775e+55	1.14943e+58	0.0327074	8.34968e+56	4.89655	5  	1  	0.522607
77 	0.360702	8.72052    	2745.62    	0.0327074	141.076    	4.94974	5  	1  	0.325483
78 	0.350652	1.18891    	33.4852    	0.0327074	4.1084     	4.92876	5  	1  	0.433055
79 	0.354727	2.63158e+57	1e+60      	0.0327074	5.12314e+58	4.93421	5  	1  	0.367621
80 	0.361465	6.03373e+55	1.14943e+58	0.0327074	8.30597e+56	4.89239	5  	1  	0.553177
81 	0.3775  	3.00897e+55	1.14943e+58	0.0327074	5.87327e+56	4.90838	5  	1  	0.479401
82 	0.378045	6.00222e+55	1.14943e+58	0.0327074	8.28437e+56	4.91906	5  	1  	0.42288 
83 	0.382339	2.6341e+57 	1e+60      	0.0327074	5.09664e+58	4.89583	5  	1  	0.499566
84 	0.373723	1.67392    	93.5038    	0.0327074	6.82773    	4.92208	5  	1  	0.419221
85 	0.377046	2.97779e+55	1.14943e+58	0.0327074	5.84284e+56	4.9171 	5  	1  	0.45339 
86 	0.429957	inf        	inf        	0.0327074	nan        	4.95607	5  	2  	0.28869 
87 	0.351751	2.68645    	368.117    	0.0327074	20.1365    	4.88144	5  	1  	0.552749
88 	0.361867	5.90964e+55	1.14943e+58	0.0327074	8.22056e+56	4.94087	5  	1  	0.357225
89 	0.449066	1.33226    	33.4852    	0.0327074	4.12432    	4.94615	5  	1  	0.327654
90 	0.398086	2.61634e+57	1e+60      	0.0327074	5.05111e+58	4.89514	5  	1  	0.532092
91 	0.436663	inf        	inf        	0.0327074	nan        	4.92347	5  	1  	0.383672
92 	0.372836	5.84949e+55	1.14943e+58	0.0327074	8.17884e+56	4.86768	5  	1  	0.559715
93 	0.389213	1.68112    	68.0968    	0.0327074	6.0066     	4.90355	5  	1  	0.504636
94 	0.364225	2.10975    	103.838    	0.0327074	9.07645    	4.8557 	5  	1  	0.609575
95 	0.411417	inf        	inf        	0.0327074	nan        	4.94192	5  	1  	0.332059
96 	0.43136 	1.51629    	37.3333    	0.0327074	4.31926    	4.9194 	5  	1  	0.430045
97 	0.385387	1.88152    	65.7064    	0.0327074	6.78793    	4.8995 	5  	1  	0.475479
98 	0.448217	inf        	inf        	0.0327074	nan        	4.86466	5  	1  	0.549987
99 	0.548749	2.87356e+55	1.14943e+58	0.0327074	5.73994e+56	4.9375 	5  	2  	0.337037
