   	         	                          fitness                          	              size              
   	         	-----------------------------------------------------------	--------------------------------
gen	time     	avg        	max        	min       	std        	avg    	max	min	std     
0  	0.0682003	5.80786    	183.819    	0.245821  	15.8513    	1.65449	4  	1  	0.677268
1  	0.0550365	inf        	inf        	0.245821  	nan        	1.63576	5  	1  	0.754531
2  	0.0504143	5.48685    	782.082    	0.245821  	45.6513    	1.60396	5  	1  	0.792863
3  	0.052058 	7.64248    	1549.21    	0.244408  	89.0462    	1.75   	6  	1  	1.01469 
4  	0.0533509	inf        	inf        	0.244408  	nan        	2.00656	6  	1  	1.14518 
5  	0.0547528	3.7263     	227.234    	0.244408  	15.5104    	2.45425	6  	1  	1.2781  
6  	0.0561223	3.24431    	184.71     	0.244268  	14.1379    	2.82085	7  	1  	1.38999 
7  	0.0573184	2.39864    	161.887    	0.158035  	12.8756    	3.16883	9  	1  	1.51102 
8  	0.0579162	1.90303    	112.376    	0.158035  	9.19225    	3.20065	11 	1  	1.54706 
9  	0.0578129	3.17333    	573.424    	0.158035  	32.6901    	3.19032	10 	1  	1.6222  
10 	0.0582504	1.95013    	104.91     	0.158035  	8.94318    	3.28296	10 	1  	1.61892 
11 	0.0597506	2.84672    	404.167    	0.121425  	24.1328    	3.44231	11 	1  	1.77497 
12 	0.0612652	inf        	inf        	0.121425  	nan        	3.65176	11 	1  	1.90429 
13 	0.061372 	3.18471e+57	1e+60      	0.121425  	5.63433e+58	3.79299	12 	1  	2.04997 
14 	0.063087 	inf        	inf        	0.119841  	nan        	3.94286	12 	1  	2.23178 
15 	0.0639551	3.35071e+57	1e+60      	0.119841  	5.62519e+58	4.25633	12 	1  	2.34672 
16 	0.0723007	3.95981    	771.95     	0.0974734 	43.5776    	4.80442	13 	1  	2.39997 
17 	0.0688622	1.41548    	102.325    	0.0974734 	6.395      	4.74214	15 	1  	2.34779 
18 	0.0695729	2.15473    	226.852    	0.0906055 	13.1915    	4.84639	14 	1  	2.26564 
19 	0.0729876	inf        	inf        	0.090077  	nan        	5.29063	15 	1  	2.52238 
20 	0.0764761	1.93386    	110.382    	0.090077  	7.84201    	5.81308	16 	1  	2.94539 
21 	0.080385 	1.82682e+56	5.88235e+58	0.090077  	3.27301e+57	6.41615	20 	1  	3.1139  
22 	0.0841448	6.84187    	1167.18    	0.087054  	71.8952    	6.83591	21 	2  	3.32748 
23 	0.086488 	1.81554e+56	5.88235e+58	0.0858993 	3.26293e+57	7.17284	21 	1  	3.47492 
24 	0.0893636	3.61991e+56	5.88235e+58	0.0826376 	4.60028e+57	7.73231	27 	1  	3.92848 
25 	0.093596 	0.810113   	15.3913    	0.0748367 	2.12944    	8.66871	27 	1  	4.43363 
26 	0.097527 	1.79888e+56	5.88235e+58	0.0714129 	3.24797e+57	9.09786	32 	1  	4.55509 
27 	0.102646 	3.5868e+56 	5.88235e+58	0.0521381 	4.57932e+57	10.1189	25 	3  	4.94678 
28 	0.111308 	0.966027   	105.872    	0.0521381 	6.12473    	11.0395	28 	1  	5.13303 
29 	0.121659 	3.56506e+56	5.88235e+58	0.0521381 	4.56551e+57	12.397 	30 	2  	5.70778 
30 	0.128641 	0.373138   	9.91976    	0.047247  	1.19772    	13.4622	37 	2  	6.45979 
31 	0.140647 	2.83211    	825.358    	0.047247  	45.2273    	14.8916	37 	1  	6.78191 
32 	0.15299  	3.17965e+57	1e+60      	0.047247  	5.48022e+58	15.7447	48 	1  	7.49761 
33 	0.173462 	2.99401e+27	1e+30      	0.0442402 	5.46356e+28	18.012 	48 	3  	8.30012 
34 	0.184648 	5.26778e+56	5.88235e+58	0.0171265 	5.54161e+57	19.4418	46 	3  	8.64915 
35 	0.201685 	3.85154e+57	1e+60      	0.0171265 	5.48894e+58	21.2054	51 	1  	9.88247 
36 	0.2079   	1.74551e+56	5.88235e+58	0.0171265 	3.19956e+57	22.5312	65 	1  	10.816  
37 	0.216699 	2.95858e+27	1e+30      	0.0171265 	5.43123e+28	23.7988	65 	3  	12.2584 
38 	0.241341 	2.94985e+57	1e+60      	0.0171265 	5.42324e+58	26.2596	68 	1  	13.1539 
39 	0.242036 	0.398764   	37.7412    	0.0171265 	2.53716    	26.7441	67 	1  	13.5862 
40 	0.241608 	1.72503e+56	5.88235e+58	0.0151317 	3.1808e+57 	26.7537	63 	1  	13.7614 
41 	0.25298  	6.19195e+57	1e+60      	0.0151317 	7.63534e+58	27.152 	65 	3  	14.9389 
42 	0.256079 	2.91545e+57	1e+60      	0.0146931 	5.39162e+58	27.6939	68 	1  	15.6742 
43 	0.266488 	0.619915   	85.9962    	0.0146931 	5.35413    	28.8052	68 	2  	15.5539 
44 	0.281591 	3.06905e+57	1e+60      	0.0143079 	5.38439e+58	30.0319	68 	1  	15.5088 
45 	0.293899 	2.89017e+57	1e+60      	0.0143079 	5.36826e+58	31.1387	68 	2  	14.7743 
46 	0.30718  	1.6952e+56 	5.88235e+58	0.0143079 	3.15326e+57	32.2507	68 	1  	15.3772 
47 	0.335709 	2.87356e+57	1e+60      	0.0135676 	5.35286e+58	34.704 	68 	2  	15.6064 
48 	0.348104 	0.0934706  	9.87991    	0.0135567 	0.580359   	36.0029	68 	3  	16.0824 
49 	0.361769 	1.68067e+56	5.88235e+58	0.0135567 	3.13975e+57	37.1429	68 	1  	15.2232 
50 	0.359541 	0.248813   	37.7412    	0.0133202 	2.40997    	36.9088	68 	1  	15.0561 
