   	         	              fitness              	              size              
   	         	-----------------------------------	--------------------------------
gen	time     	avg	max	min      	std	avg    	max	min	std     
0  	0.086509 	inf	inf	0.292805 	nan	1.53488	4  	1  	0.638946
1  	0.0716429	inf	inf	0.292805 	nan	1.61921	4  	1  	0.774615
2  	0.0712082	inf	inf	0.292805 	nan	1.59406	5  	1  	0.773038
3  	0.0711625	inf	inf	0.292805 	nan	1.56908	4  	1  	0.766377
4  	0.0700154	inf	inf	0.292805 	nan	1.52459	4  	1  	0.772617
5  	0.0707991	inf	inf	0.292805 	nan	1.51307	4  	1  	0.772162
6  	0.0713489	inf	inf	0.292805 	nan	1.54397	4  	1  	0.795255
7  	0.0716088	inf	inf	0.292805 	nan	1.55519	5  	1  	0.768836
8  	0.0724628	inf	inf	0.292805 	nan	1.65696	4  	1  	0.753927
9  	0.0733612	inf	inf	0.292805 	nan	1.73871	4  	1  	0.798861
10 	0.0745292	inf	inf	0.292805 	nan	1.87781	6  	1  	0.920221
11 	0.0750048	inf	inf	0.292805 	nan	1.97756	5  	1  	0.903772
12 	0.0757053	inf	inf	0.292805 	nan	2.11502	5  	1  	0.955661
13 	0.0784609	inf	inf	0.292805 	nan	2.3535 	6  	1  	0.970523
14 	0.0786102	inf	inf	0.292805 	nan	2.37778	6  	1  	1.05114 
15 	0.0792525	inf	inf	0.292805 	nan	2.51266	7  	1  	1.08346 
16 	0.0819125	inf	inf	0.292805 	nan	2.68139	6  	1  	1.10179 
17 	0.0800552	inf	inf	0.292805 	nan	2.70755	7  	1  	1.14623 
18 	0.0828376	inf	inf	0.292805 	nan	2.83072	7  	1  	1.23793 
19 	0.0849826	inf	inf	0.292805 	nan	3.05   	8  	1  	1.44395 
20 	0.0831394	inf	inf	0.292805 	nan	3.02804	8  	1  	1.46692 
21 	0.0848799	inf	inf	0.292805 	nan	3.07453	8  	1  	1.41225 
22 	0.0855234	inf	inf	0.292805 	nan	3.11146	8  	1  	1.42075 
23 	0.0864248	inf	inf	0.292805 	nan	3.0679 	10 	1  	1.4213  
24 	0.0861115	inf	inf	0.292805 	nan	3.14769	9  	1  	1.44319 
25 	0.0908861	inf	inf	0.292805 	nan	3.2546 	8  	1  	1.55657 
26 	0.0883014	inf	inf	0.292805 	nan	3.263  	10 	1  	1.56938 
27 	0.0875316	inf	inf	0.292805 	nan	3.2378 	10 	1  	1.66881 
