   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min      	std        	avg    	max	min	std     
0  	0.119541	inf        	inf        	0.303354 	nan        	1.54485	4  	1  	0.622514
1  	0.118361	inf        	inf        	0.303354 	nan        	1.65232	4  	1  	0.746944
2  	0.117677	inf        	inf        	0.303354 	nan        	1.65017	5  	1  	0.751055
3  	0.118242	inf        	inf        	0.303354 	nan        	1.65132	5  	1  	0.813212
4  	0.11849 	inf        	inf        	0.303354 	nan        	1.65902	4  	1  	0.777844
5  	0.119938	3.26797e+27	1e+30      	0.303354 	5.70727e+28	1.71242	5  	1  	0.894231
6  	0.120633	8.53459    	606.43     	0.303354 	44.1131    	1.83713	6  	1  	0.97836 
7  	0.122845	inf        	inf        	0.303354 	nan        	1.90909	5  	1  	0.992594
8  	0.123304	5.17424    	247.49     	0.303354 	22.781     	1.94822	5  	1  	0.919356
9  	0.124494	inf        	inf        	0.303354 	nan        	2.1    	5  	1  	0.946811
10 	0.127318	inf        	inf        	0.303354 	nan        	2.27331	5  	1  	0.927897
11 	0.127946	inf        	inf        	0.303354 	nan        	2.33333	6  	1  	0.989259
12 	0.130795	inf        	inf        	0.303354 	nan        	2.52396	6  	1  	1.02691 
13 	0.133244	inf        	inf        	0.303354 	nan        	2.65605	6  	1  	1.11854 
14 	0.133222	inf        	inf        	0.303354 	nan        	2.70476	6  	1  	1.17587 
15 	0.13365 	inf        	inf        	0.303354 	nan        	2.72468	6  	1  	1.21051 
16 	0.135554	inf        	inf        	0.303354 	nan        	2.76656	6  	1  	1.20295 
17 	0.136682	inf        	inf        	0.303354 	nan        	2.81761	6  	1  	1.22529 
18 	0.137394	inf        	inf        	0.303354 	nan        	2.90282	7  	1  	1.22153 
19 	0.138587	inf        	inf        	0.303354 	nan        	2.91875	7  	1  	1.38054 
20 	0.140305	inf        	inf        	0.303354 	nan        	3.01246	9  	1  	1.41856 
21 	0.140774	inf        	inf        	0.303354 	nan        	3.13354	9  	1  	1.53151 
22 	0.145114	inf        	inf        	0.303354 	nan        	3.26625	10 	1  	1.72318 
23 	0.142146	inf        	inf        	0.303354 	nan        	3.17284	9  	1  	1.56181 
24 	0.144772	inf        	inf        	0.303354 	nan        	3.32308	14 	1  	1.73921 
25 	0.149644	718.194    	233087     	0.303354 	12889.5    	3.48466	13 	1  	1.74565 
26 	0.148632	inf        	inf        	0.303354 	nan        	3.66667	10 	1  	1.84463 
27 	0.153443	inf        	inf        	0.303354 	nan        	3.89634	10 	1  	1.87122 
28 	0.157254	inf        	inf        	0.303354 	nan        	4.07599	13 	1  	1.97022 
29 	0.158772	inf        	inf        	0.303354 	nan        	4.21212	13 	1  	2.11141 
30 	0.160799	inf        	inf        	0.303354 	nan        	4.1994 	13 	1  	2.2454  
31 	0.162986	inf        	inf        	0.303354 	nan        	4.37952	14 	1  	2.34789 
32 	0.166289	inf        	inf        	0.303354 	nan        	4.53754	13 	1  	2.4154  
33 	0.166585	inf        	inf        	0.303354 	nan        	4.41018	13 	1  	2.35909 
34 	0.170786	inf        	inf        	0.303354 	nan        	4.57015	13 	1  	2.50498 
35 	0.166369	inf        	inf        	0.303354 	nan        	4.48214	13 	1  	2.40899 
36 	0.170916	inf        	inf        	0.163871 	nan        	4.49555	13 	1  	2.59436 
37 	0.172932	inf        	inf        	0.163871 	nan        	4.79882	14 	1  	2.84008 
38 	0.174866	inf        	inf        	0.163871 	nan        	4.70501	14 	1  	2.66768 
39 	0.178185	inf        	inf        	0.163871 	nan        	5.00588	14 	1  	2.55181 
40 	0.183925	inf        	inf        	0.163871 	nan        	5.15836	15 	1  	2.7631  
41 	0.183218	inf        	inf        	0.227142 	nan        	5.02632	14 	1  	2.56538 
42 	0.191671	inf        	inf        	0.227142 	nan        	5.27988	16 	1  	2.90828 
43 	0.195787	inf        	inf        	0.197106 	nan        	5.55233	16 	1  	3.16368 
44 	0.194644	inf        	inf        	0.163871 	nan        	5.46667	17 	1  	3.23472 
45 	0.200551	inf        	inf        	0.147481 	nan        	5.65896	17 	1  	3.20934 
46 	0.210556	inf        	inf        	0.147481 	nan        	6.07205	17 	1  	3.36416 
47 	0.217359	inf        	inf        	0.147481 	nan        	6.28736	17 	1  	3.42039 
48 	0.234422	inf        	inf        	0.147481 	nan        	6.80229	17 	1  	3.38349 
49 	0.237666	inf        	inf        	0.147481 	nan        	6.73714	17 	1  	3.49768 
50 	0.249163	inf        	inf        	0.147481 	nan        	7.18519	17 	1  	3.50781 
51 	0.256196	inf        	inf        	0.144089 	nan        	7.51989	17 	1  	3.78389 
52 	0.28092 	inf        	inf        	0.138993 	nan        	8.37677	17 	1  	3.88025 
53 	0.289966	inf        	inf        	0.0985646	nan        	8.70339	17 	1  	3.99005 
54 	0.30475 	inf        	inf        	0.0985646	nan        	9.12958	17 	1  	4.13574 
55 	0.308075	inf        	inf        	0.0985646	nan        	9.11236	17 	1  	4.07979 
56 	0.317414	inf        	inf        	0.0791275	nan        	9.29412	17 	1  	4.02865 
57 	0.331625	inf        	inf        	0.0791275	nan        	9.84637	17 	1  	4.14357 
58 	0.344535	inf        	inf        	0.0791275	nan        	10.1421	17 	1  	4.10983 
59 	0.357011	inf        	inf        	0.0791275	nan        	10.525 	17 	1  	4.19582 
60 	0.368419	inf        	inf        	0.0765697	nan        	10.9114	17 	1  	4.18385 
61 	0.373508	inf        	inf        	0.0728447	nan        	11.2238	17 	1  	4.06538 
62 	0.383634	inf        	inf        	0.0728447	nan        	11.449 	17 	1  	4.10865 
63 	0.385544	inf        	inf        	0.0732381	nan        	11.4698	17 	1  	4.06765 
64 	0.394847	inf        	inf        	0.0732381	nan        	11.9205	17 	1  	4.06074 
65 	0.404497	inf        	inf        	0.0719329	nan        	12.1038	17 	1  	4.06842 
66 	0.419363	inf        	inf        	0.0719329	nan        	12.2207	17 	1  	3.8561  
67 	0.438657	inf        	inf        	0.0707045	nan        	12.4918	17 	1  	3.45309 
68 	0.455193	inf        	inf        	0.0707045	nan        	12.8184	17 	1  	3.36442 
69 	0.465621	inf        	inf        	0.0533223	nan        	12.8703	17 	1  	3.42399 
70 	0.475791	inf        	inf        	0.0533223	nan        	12.9515	17 	1  	3.45129 
