   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min     	std        	avg    	max	min	std     
0  	0.119166	34.1958    	3147.23    	0.235309	200.472    	1.53488	4  	1  	0.644124
1  	0.118589	499.694    	139426     	0.235309	8015.77    	1.63576	4  	1  	0.70929 
2  	0.11885 	inf        	inf        	0.235309	nan        	1.69637	4  	1  	0.762283
3  	0.119112	inf        	inf        	0.235309	nan        	1.73684	5  	1  	0.890275
4  	0.120942	inf        	inf        	0.235309	nan        	1.85902	5  	1  	0.949439
5  	0.122144	inf        	inf        	0.235309	nan        	1.90196	5  	1  	0.985282
6  	0.121805	inf        	inf        	0.235309	nan        	1.88599	5  	1  	0.986901
7  	0.122542	inf        	inf        	0.235309	nan        	1.93831	5  	1  	0.942895
8  	0.125654	478.976    	145876     	0.235309	8284.84    	2.11327	5  	1  	0.96044 
9  	0.125414	7.80917    	489.261    	0.235309	37.085     	2.21935	5  	1  	1.02404 
10 	0.128111	4.65468    	515.019    	0.235309	30.4305    	2.32797	5  	1  	1.09449 
11 	0.130124	inf        	inf        	0.235309	nan        	2.52564	5  	1  	1.14326 
12 	0.130053	5.73443    	653.259    	0.235309	42.267     	2.65815	5  	1  	1.14789 
13 	0.133219	inf        	inf        	0.235309	nan        	2.74522	5  	1  	1.15876 
14 	0.132024	inf        	inf        	0.235309	nan        	2.72698	5  	1  	1.1609  
15 	0.134332	inf        	inf        	0.235309	nan        	2.83228	5  	1  	1.27054 
16 	0.137088	inf        	inf        	0.235309	nan        	3.03155	5  	1  	1.30479 
17 	0.136479	2.42202    	120.36     	0.235309	8.75132    	3.0566 	5  	1  	1.27504 
18 	0.140106	inf        	inf        	0.235309	nan        	3.09718	5  	1  	1.30346 
19 	0.140549	inf        	inf        	0.235309	nan        	3.15625	5  	1  	1.33485 
20 	0.141157	inf        	inf        	0.235309	nan        	3.2243 	5  	1  	1.28234 
21 	0.143937	inf        	inf        	0.235309	nan        	3.28882	5  	1  	1.25374 
22 	0.147035	inf        	inf        	0.235309	nan        	3.31269	5  	1  	1.21576 
23 	0.144035	inf        	inf        	0.235309	nan        	3.17593	5  	1  	1.28737 
24 	0.146067	inf        	inf        	0.235309	nan        	3.25231	5  	1  	1.20679 
25 	0.143425	inf        	inf        	0.235309	nan        	3.11043	5  	1  	1.25813 
26 	0.14395 	inf        	inf        	0.235309	nan        	3.30887	5  	1  	1.2872  
27 	0.146169	inf        	inf        	0.235309	nan        	3.25915	5  	1  	1.21094 
28 	0.146509	inf        	inf        	0.235309	nan        	3.20061	5  	1  	1.17051 
29 	0.147178	inf        	inf        	0.235309	nan        	3.24848	5  	1  	1.16726 
30 	0.146234	inf        	inf        	0.235309	nan        	3.27795	5  	1  	1.22712 
31 	0.149349	inf        	inf        	0.235309	nan        	3.27711	5  	1  	1.22044 
32 	0.151572	inf        	inf        	0.235309	nan        	3.33033	5  	1  	1.25162 
33 	0.149466	4.611      	178.095    	0.235309	19.6864    	3.23353	5  	1  	1.30152 
34 	0.151177	inf        	inf        	0.235309	nan        	3.37313	5  	1  	1.27474 
35 	0.152828	2.97619e+27	1e+30      	0.235309	5.44732e+28	3.36905	5  	1  	1.19054 
36 	0.154149	6.41573    	1142.42    	0.235309	63.156     	3.38279	5  	1  	1.25125 
