   	         	                      fitness                      	              size              
   	         	---------------------------------------------------	--------------------------------
gen	time     	avg        	max    	min     	std        	avg    	max	min	std     
0  	0.0909607	inf        	inf    	0.184529	nan        	1.50166	4  	1  	0.629426
1  	0.0853374	inf        	inf    	0.184529	nan        	1.59272	4  	1  	0.720798
2  	0.084945 	inf        	inf    	0.184529	nan        	1.64026	4  	1  	0.744149
3  	0.0852909	inf        	inf    	0.184529	nan        	1.60197	5  	1  	0.731884
4  	0.0833395	inf        	inf    	0.184529	nan        	1.57377	4  	1  	0.826984
5  	0.0838108	inf        	inf    	0.184529	nan        	1.55882	4  	1  	0.799185
6  	0.0853074	5.16285    	162.818	0.184529	17.5692    	1.61564	5  	1  	0.792154
7  	0.0862033	inf        	inf    	0.184529	nan        	1.71429	4  	1  	0.819521
8  	0.0882103	inf        	inf    	0.184529	nan        	1.88997	5  	1  	0.942109
9  	0.0896654	inf        	inf    	0.184529	nan        	1.8871 	5  	1  	0.870759
10 	0.0898633	5.54954    	547.986	0.184529	33.5983    	2.03215	6  	1  	1.00109 
11 	0.0919242	inf        	inf    	0.184529	nan        	2.19551	6  	1  	1.00172 
12 	0.0912545	inf        	inf    	0.184529	nan        	2.22045	8  	1  	0.985176
13 	0.0935204	inf        	inf    	0.184529	nan        	2.2707 	6  	1  	0.974174
14 	0.0946996	inf        	inf    	0.184529	nan        	2.26032	5  	1  	0.926941
15 	0.0954642	inf        	inf    	0.184529	nan        	2.41456	7  	1  	1.08601 
16 	0.0975633	inf        	inf    	0.18043 	nan        	2.48896	8  	1  	1.08213 
17 	0.0990179	inf        	inf    	0.18043 	nan        	2.66352	8  	1  	1.21701 
18 	0.0992012	inf        	inf    	0.18043 	nan        	2.75862	9  	1  	1.27234 
19 	0.100121 	inf        	inf    	0.18043 	nan        	2.8    	8  	1  	1.31244 
20 	0.10239  	inf        	inf    	0.18043 	nan        	3.1215 	9  	1  	1.573   
21 	0.104668 	inf        	inf    	0.180153	nan        	3.34783	9  	1  	1.80497 
22 	0.107324 	inf        	inf    	0.180153	nan        	3.55728	11 	1  	2.03353 
23 	0.108599 	inf        	inf    	0.180153	nan        	3.77778	12 	1  	2.23469 
