   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min       	std        	avg    	max	min	std     
0  	0.214307	13.7924    	1611.71    	0.330403  	103.978    	1.62126	4  	1  	0.679124
1  	0.218215	17032.7    	5.13526e+06	0.249858  	295010     	1.75166	4  	1  	0.764212
2  	0.217106	2707.16    	817312     	0.249858  	46875.3    	1.76568	5  	1  	0.809113
3  	0.219762	8.21899    	794.283    	0.249858  	52.2531    	1.76645	5  	1  	0.88559 
4  	0.220983	30.2478    	5191.91    	0.249858  	303.437    	1.75738	5  	1  	0.85324 
5  	0.223549	inf        	inf        	0.249858  	nan        	1.8366 	6  	1  	0.870411
6  	0.226702	7.58397e+09	2.32828e+12	0.249858  	1.32665e+11	1.99674	6  	1  	0.900591
7  	0.229662	5.14007    	798.081    	0.249858  	46.5199    	2.1039 	6  	1  	0.84645 
8  	0.231685	15.6772    	3016.53    	0.249858  	179.176    	2.2589 	6  	1  	0.908942
9  	0.231348	1.36812    	141.49     	0.249627  	8.40853    	2.26129	5  	1  	0.890515
10 	0.232417	2.64028    	200.97     	0.249627  	15.0579    	2.24759	6  	1  	0.958857
11 	0.233984	1.55718    	77.6245    	0.249627  	6.66953    	2.33013	7  	1  	1.09632 
12 	0.236058	24.7182    	2741.06    	0.249603  	202.227    	2.36422	7  	1  	1.12832 
13 	0.235354	14.1603    	2742.73    	0.249603  	161.859    	2.30573	7  	1  	1.16566 
14 	0.237932	inf        	inf        	0.244864  	nan        	2.3619 	7  	1  	1.07901 
15 	0.238779	18.5248    	3165.96    	0.24285   	198.462    	2.34177	6  	1  	1.03589 
16 	0.243716	319.554    	98106.3    	0.237735  	5501.45    	2.47634	6  	1  	1.11071 
17 	0.245044	9.84095    	1281.58    	0.237735  	86.5847    	2.54717	7  	1  	1.26739 
18 	0.250172	inf        	inf        	0.207037  	nan        	2.74608	7  	1  	1.35586 
19 	0.250242	1.76422    	112.207    	0.207037  	9.81325    	2.82812	7  	1  	1.36879 
20 	0.250118	5.91707    	1389.71    	0.207037  	77.6759    	2.90031	8  	1  	1.4456  
21 	0.255147	1.09295e+09	3.5193e+11 	0.164128  	1.95818e+10	3.02174	9  	1  	1.61211 
22 	0.258191	13.8381    	2741.19    	0.164128  	154.687    	3.2322 	10 	1  	1.69098 
23 	0.264978	2878.66    	925327     	0.164128  	51327.6    	3.42593	10 	1  	1.90128 
24 	0.272529	3.82942    	200.449    	0.164128  	21.0322    	3.73538	10 	1  	2.01169 
25 	0.280757	3.06748e+27	1e+30      	0.132713  	5.52999e+28	4.09509	10 	1  	2.12353 
26 	0.28938 	inf        	inf        	0.107067  	nan        	4.48318	10 	1  	2.28789 
27 	0.298135	5.49701    	790.508    	0.107067  	46.9472    	4.79268	10 	1  	2.32163 
28 	0.312305	3.03951e+57	1e+60      	0.103091  	5.50479e+58	5.25228	10 	1  	2.29183 
29 	0.320821	12.4086    	2748.48    	0.103091  	152.656    	5.55758	10 	1  	2.44045 
30 	0.328208	5.23505    	221.385    	0.103091  	29.1523    	5.7281 	10 	1  	2.23507 
31 	0.33456 	11.0964    	998.377    	0.103091  	75.0871    	5.68373	10 	1  	2.27201 
32 	0.342739	5.22346    	280.104    	0.0874967 	28.1657    	6.07808	10 	1  	2.11527 
33 	0.353786	180743     	6.03667e+07	0.0874967 	3.29817e+06	6.19461	10 	1  	2.16003 
34 	0.364743	21.0738    	4574.52    	0.0831713 	254.362    	6.4806 	10 	1  	2.21907 
35 	0.37782 	2325.06    	779541     	0.0831713 	42463.8    	6.64286	10 	1  	2.18704 
36 	0.385911	2.96736e+57	1e+60      	0.0820339 	5.43926e+58	6.90208	10 	3  	2.10677 
37 	0.387814	2.04583    	200.449    	0.0689595 	15.4843    	6.9645 	10 	1  	2.38063 
38 	0.396564	10.2605    	2741.19    	0.0689595 	149.227    	7.25074	10 	1  	2.26014 
39 	0.404961	2.94118e+57	1e+60      	0.0689595 	5.41528e+58	7.34412	10 	1  	2.21143 
40 	0.412435	3.86106    	198.973    	0.0689595 	21.4032    	7.25513	10 	1  	2.13531 
41 	0.419059	49.8892    	11675.7    	0.0689595 	673.658    	7.40936	10 	1  	2.04531 
42 	0.420351	7.10247    	791.015    	0.0525206 	50.3223    	7.40816	10 	1  	2.04815 
43 	0.425908	5.81395e+57	1e+60      	0.0525206 	7.60273e+58	7.44767	10 	2  	1.96263 
44 	0.428614	2.13368    	128.628    	0.0511789 	12.8406    	7.3971 	10 	1  	2.00766 
45 	0.427875	5.75139    	402.331    	0.0511789 	33.9657    	7.42486	10 	1  	1.91778 
46 	0.428336	2.41354    	199.49     	0.0511789 	16.4116    	7.38905	10 	2  	1.88003 
47 	0.427482	2.00382    	190.03     	0.0511789 	12.8558    	7.35345	10 	2  	1.872   
48 	0.427551	2.11716    	200.164    	0.0511789 	13.8852    	7.27221	10 	1  	1.99652 
49 	0.428262	9.60563    	2807.03    	0.0511789 	149.978    	7.34571	10 	1  	1.92218 
50 	0.441865	7764.67    	2.72402e+06	0.0412105 	145190     	7.42165	10 	1  	2.06006 
51 	0.43805 	2.84091e+57	1e+60      	0.0412105 	5.32244e+58	7.32955	10 	1  	1.95966 
52 	0.443269	2.80371    	198.973    	0.0412105 	18.4579    	7.49575	10 	2  	1.87593 
53 	0.449736	5.64972e+57	1e+60      	0.0412105 	7.4952e+58 	7.57062	10 	2  	1.9835  
54 	0.457091	43424      	1.54142e+07	0.0412105 	816948     	7.63662	10 	1  	1.90782 
55 	0.455636	2.80899e+57	1e+60      	0.0412105 	5.29254e+58	7.64045	10 	1  	1.97027 
56 	0.460607	5.22126    	790.045    	0.0412105 	46.677     	7.7591 	10 	1  	1.91798 
57 	0.45889 	13.0663    	2742.9     	0.0412105 	151.623    	7.61173	10 	1  	1.93976 
58 	0.461629	13.7785    	2809.92    	0.0412105 	156.608    	7.65181	10 	1  	1.94741 
59 	0.462006	4.21771    	906.749    	0.0412105 	49.1654    	7.61944	10 	2  	1.96275 
60 	0.462508	225.312    	64810.9    	0.0352543 	3458.65    	7.68975	10 	1  	2.01741 
61 	0.468295	11.2413    	2806.99    	0.0352543 	149.084    	7.73757	10 	1  	2.01929 
62 	0.474291	3.98987    	396.935    	0.0352543 	29.002     	7.95317	10 	1  	1.87502 
63 	0.482726	2.42585    	198.412    	0.0352543 	16.2849    	8.17308	10 	2  	1.73213 
64 	0.486567	12.1798    	2807.04    	0.0306061 	153.717    	8.10959	10 	1  	1.83842 
65 	0.487042	2.73224e+57	1e+60      	0.0186737 	5.21994e+58	8.0765 	10 	1  	1.86853 
66 	0.481476	5.44959e+57	1e+60      	0.0186737 	7.36199e+58	8.01362	10 	1  	1.68576 
67 	0.48303 	1.93218    	199.045    	0.0186737 	13.1973    	8.03533	10 	1  	1.63898 
68 	0.484985	5.42005e+57	1e+60      	0.0186737 	7.34212e+58	8.02168	10 	1  	1.59762 
69 	0.491884	8.69129    	2806.33    	0.0186737 	145.773    	8.24865	10 	2  	1.47146 
70 	0.496161	165.803    	61081.5    	0.0186737 	3166.87    	8.22372	10 	1  	1.51224 
71 	0.494503	2.68817e+57	1e+60      	0.0186737 	5.17779e+58	8.20968	10 	1  	1.64255 
72 	0.503686	2.30225    	228.599    	0.0186737 	13.9407    	8.30295	10 	1  	1.62154 
73 	0.508028	5.53665    	820.91     	0.0186737 	59.1589    	8.34225	10 	1  	1.6516  
74 	0.513044	2.66667e+57	1e+60      	0.0186737 	5.15709e+58	8.488  	10 	1  	1.54721 
75 	0.513447	2.65957e+57	1e+60      	0.0139843 	5.15024e+58	8.49468	10 	1  	1.65349 
76 	0.51064 	5.86801    	1060.1     	0.0172987 	60.5996    	8.58621	10 	1  	1.43048 
