   	         	                          fitness                          	              size              
   	         	-----------------------------------------------------------	--------------------------------
gen	time     	avg        	max        	min      	std        	avg    	max	min	std     
0  	0.0944064	6829.59    	1.14825e+06	0.270726 	80471.7    	1.61462	4  	1  	0.670438
1  	0.0890977	94586.8    	2.82274e+07	0.270726 	1.6216e+06 	1.68543	4  	1  	0.693193
2  	0.0898435	835.303    	199000     	0.244097 	11756.2    	1.75248	5  	1  	0.796932
3  	0.0887911	1899.31    	199000     	0.238631 	17880.8    	1.75   	4  	1  	0.763044
4  	0.0908253	166.721    	49777.9    	0.232252 	2845.47    	1.82951	5  	1  	0.803954
5  	0.0928888	18.5579    	2665.41    	0.221613 	174.644    	1.97712	5  	1  	0.8945  
6  	0.0939465	1378.07    	387439     	0.21512  	22160.1    	2.24104	7  	1  	1.02121 
7  	0.096746 	2.63072    	367.882    	0.20597  	21.6228    	2.66558	8  	1  	1.21751 
8  	0.100375 	1507.44    	199000     	0.202372 	15602.9    	3.01294	8  	1  	1.38408 
9  	0.100818 	161.547    	49727.7    	0.202372 	2819.72    	3.40968	8  	1  	1.57088 
10 	0.10376  	1.5763     	82.8638    	0.185029 	7.23188    	3.66238	10 	1  	1.59334 
11 	0.103794 	320.141    	49736.6    	0.174121 	3968.66    	3.78846	10 	1  	1.73023 
12 	0.107428 	994.402    	198795     	0.174121 	12808.5    	3.94569	10 	1  	1.70329 
13 	0.109392 	354.449    	110137     	0.126655 	6205.3     	4.12739	9  	1  	1.76746 
14 	0.111954 	inf        	inf        	0.126655 	nan        	4.22222	10 	1  	1.81392 
15 	0.114064 	89.0323    	27672      	0.0809305	1554.14    	4.49051	10 	1  	1.84096 
16 	0.122256 	103.597    	24848.9    	0.0809305	1441.76    	4.65931	10 	1  	2.0661  
17 	0.124593 	3.14465e+57	1e+60      	0.0746511	5.5989e+58 	5.03774	10 	1  	2.27755 
18 	0.13435  	6.26959e+57	1e+60      	0.0716045	7.89322e+58	5.69279	10 	1  	2.34747 
19 	0.139995 	6.25e+57   	1e+60      	0.0653126	7.88095e+58	6.1375 	10 	1  	2.20932 
20 	0.144539 	3.99954e+08	1.28384e+11	0.0631038	7.15452e+09	6.62928	10 	1  	2.36991 
21 	0.151695 	3.10559e+57	1e+60      	0.0612421	5.56412e+58	6.95652	10 	1  	2.40947 
22 	0.152531 	6.19195e+57	1e+60      	0.0426234	7.8445e+58 	7.1548 	10 	1  	2.35296 
23 	0.153208 	3.08642e+57	1e+60      	0.0426234	5.54698e+58	7.4321 	10 	1  	2.32638 
24 	0.156295 	51.0446    	14539.4    	0.0422024	810.504    	7.32308	10 	1  	2.34755 
25 	0.161518 	2.6855e+08 	8.75474e+10	0.0422024	4.84136e+09	7.5    	10 	1  	2.26029 
26 	0.164077 	6.11621e+57	1e+60      	0.0321991	7.79667e+58	7.69725	10 	1  	2.1425  
27 	0.168261 	2331.69    	440455     	0.0321991	27932      	7.81098	10 	1  	2.04095 
28 	0.173906 	0.509343   	10.9914    	0.0321991	1.70906    	7.99392	10 	1  	1.84999 
29 	0.180599 	423.441    	110242     	0.0267369	6158.59    	8.18485	10 	2  	1.78693 
30 	0.182041 	925.407    	110128     	0.0260379	9402.79    	8.08459	10 	1  	1.95851 
