   	        	                      fitness                      	              size              
   	        	---------------------------------------------------	--------------------------------
gen	time    	avg        	max    	min       	std        	avg    	max	min	std     
0  	0.124721	5.65377    	234.286	0.389096  	16.0878    	1.61462	4  	1  	0.675375
1  	0.124875	4.39733    	238.694	0.389096  	16.0509    	1.69868	5  	1  	0.744915
2  	0.124889	6.63519    	507.186	0.301255  	35.1622    	1.68317	4  	1  	0.752519
3  	0.127471	2.93764    	202.719	0.30029   	12.8915    	1.81908	5  	1  	0.864218
4  	0.127518	3.5385     	312.541	0.299522  	19.829     	1.81639	5  	1  	0.848756
5  	0.130585	2.2488     	67.1417	0.299522  	6.71094    	2.06536	5  	1  	0.875768
6  	0.13276 	3.25733e+57	1e+60  	0.151746  	5.698e+58  	2.28664	6  	1  	0.949499
7  	0.134805	4.0023     	574.014	0.151746  	34.311     	2.54221	6  	1  	1.07578 
8  	0.137911	3.36199    	148.956	0.150818  	15.194     	2.83819	7  	1  	1.23056 
9  	0.138726	1.33169    	31.1429	0.128686  	3.87885    	3.17419	8  	1  	1.42398 
10 	0.140807	2.03895    	159.698	0.128686  	10.7949    	3.2701 	9  	1  	1.53764 
11 	0.143381	2.79454    	300.98 	0.0930435 	18.1213    	3.25   	10 	1  	1.61176 
12 	0.146256	2.59908    	155.073	0.0930435 	11.2325    	3.38658	10 	1  	1.82827 
13 	0.149614	1.81513    	75.6971	0.0930435 	6.19198    	3.72293	15 	1  	2.1481  
14 	0.156472	inf        	inf    	0.0321837 	nan        	4.20635	14 	1  	2.63408 
15 	0.164946	1.33942    	73.151 	0.0321837 	5.17156    	5.26899	17 	1  	3.19421 
16 	0.18187 	5.20577    	1209.61	0.0321837 	67.9491    	6.22397	17 	1  	3.3545  
17 	0.182763	1.2371     	36.3555	0.0321837 	3.6892     	6.61635	16 	1  	3.33327 
18 	0.190919	2.51907    	207.334	0.0321837 	16.396     	7.11285	16 	1  	3.5375  
19 	0.199641	3.125e+57  	1e+60  	0.0321837 	5.58143e+58	7.78437	17 	1  	3.92831 
20 	0.213926	1.74312    	117.57 	0.0321837 	8.50441    	8.92523	17 	1  	4.16041 
21 	0.233859	0.497886   	11.5595	0.0321837 	1.11023    	10.4658	17 	1  	4.41065 
22 	0.252052	346.408    	103476 	0.0321837 	5764.88    	11.3591	17 	1  	4.43332 
23 	0.258879	3.08642e+57	1e+60  	0.0321837 	5.54698e+58	11.5864	17 	1  	4.46336 
24 	0.267682	1.00016    	117.57 	0.0321837 	7.02741    	11.9908	17 	1  	4.38212 
25 	0.28144 	3.06748e+27	1e+30  	0.0321837 	5.52999e+28	12.4663	17 	1  	3.85199 
26 	0.283001	0.530938   	13.6527	0.0321837 	1.54774    	12.4128	17 	1  	4.17919 
27 	0.284172	0.710493   	41.3586	0.0321837 	3.39611    	12.4634	17 	1  	4.13623 
28 	0.291181	0.311179   	9.77216	0.0321837 	0.828636   	12.8541	17 	1  	4.15176 
29 	0.28811 	1.28715    	146.871	0.0321837 	10.9858    	12.3788	17 	1  	4.40029 
30 	0.297529	0.443634   	30.4642	0.0321837 	2.02099    	12.8187	17 	1  	4.15599 
31 	0.302993	0.472439   	33.0893	0.0321837 	2.12776    	12.9157	17 	1  	3.98402 
32 	0.298904	0.781917   	39.2521	0.0321837 	3.71693    	12.5616	17 	1  	4.10375 
33 	0.303275	4.06092    	1255.08	0.0321837 	68.5615    	12.7305	17 	1  	3.86902 
34 	0.302378	0.532138   	58.8584	0.0319282 	3.39474    	12.3104	17 	1  	4.07164 
35 	0.314414	1.11659    	79.9519	0.0319282 	7.47788    	12.6518	17 	1  	3.95219 
36 	0.321136	15.1518    	4978.07	0.0319282 	270.752    	12.8338	17 	1  	4.00322 
37 	0.327932	0.544715   	34.7499	0.0263598 	2.48152    	13.2249	17 	1  	3.59853 
38 	0.313325	1.85217    	463.516	0.0263598 	25.1593    	12.5103	17 	1  	4.37164 
39 	0.327738	0.420826   	37.0638	0.0263598 	2.27529    	13.2647	17 	1  	3.95273 
40 	0.326299	0.599683   	39.5108	0.0263598 	3.52507    	13.2375	17 	1  	3.99698 
41 	0.342574	5.19573    	1633.29	0.0263598 	88.1936    	13.5877	17 	1  	3.86197 
42 	0.355108	0.634149   	113.783	0.0195382 	6.2606     	14.0758	17 	2  	3.48425 
43 	0.359846	0.246646   	16.4623	0.0195382 	1.1144     	14.1977	17 	1  	3.16621 
44 	0.352904	0.816648   	107.684	0.0195382 	6.66733    	13.6841	17 	1  	3.76889 
45 	0.364182	2.89017e+57	1e+60  	0.0195382 	5.36826e+58	14.0202	17 	1  	3.5158  
46 	0.364303	2.88184e+57	1e+60  	0.0193766 	5.36054e+58	13.9251	17 	1  	3.86444 
47 	0.382843	0.226264   	12.8465	0.0191917 	0.976626   	14.6983	17 	1  	3.27711 
48 	0.386594	0.43038    	75.6971	0.0191917 	4.10365    	14.4499	17 	1  	3.70177 
49 	0.401405	28.5958    	9923.27	0.0191917 	529.651    	14.7914	17 	1  	2.99608 
50 	0.401252	2.849e+57  	1e+60  	0.0180613 	5.33e+58   	14.5014	17 	1  	3.46071 
51 	0.398231	2.84091e+57	1e+60  	0.0180613 	5.32244e+58	14.196 	17 	1  	3.52486 
52 	0.401621	0.17424    	9.91947	0.0178941 	0.693041   	14.4306	17 	2  	2.85561 
53 	0.39969 	0.184994   	9.55298	0.0120808 	0.752826   	14.4548	17 	2  	2.99613 
54 	0.394403	0.358376   	26.1752	0.0120808 	2.00245    	14.1718	17 	1  	3.30792 
55 	0.38993 	0.371671   	28.6774	0.0120808 	1.93153    	14.1208	17 	1  	3.48585 
56 	0.389368	0.182874   	9.01056	0.0120808 	0.595814   	13.9804	17 	1  	3.693   
57 	0.401228	0.341655   	17.8302	0.0120808 	1.49532    	13.9972	17 	1  	3.63372 
58 	0.393263	0.214656   	16.9477	0.0117364 	1.1481     	14.2479	17 	1  	3.3897  
59 	0.390615	0.342289   	18.7072	0.0117364 	1.58061    	14.0778	17 	1  	3.46323 
60 	0.385141	0.255576   	12.8465	0.0117364 	1.10264    	13.9945	17 	1  	3.49039 
61 	0.389387	5.97793    	2050.21	0.0117364 	107.598    	14.1602	17 	1  	3.48347 
62 	0.385543	0.374321   	36.2792	0.0101811 	2.12534    	14.0138	17 	1  	3.51186 
63 	0.385523	0.207789   	11.4096	0.0100869 	0.86779    	14.1621	17 	1  	3.12621 
64 	0.384265	0.361487   	34.4245	0.0100869 	2.02905    	13.9342	17 	1  	3.34518 
65 	0.387417	0.321311   	17.8099	0.0100149 	1.4084     	14.082 	17 	1  	3.43541 
