   	         	                      fitness                      	              size              
   	         	---------------------------------------------------	--------------------------------
gen	time     	avg        	max    	min       	std        	avg    	max	min	std     
0  	0.0723264	5.09883    	159.761	0.322108  	13.2216    	1.65781	4  	1  	0.700627
1  	0.0581005	3.52858    	83.1922	0.322108  	8.9351     	1.66225	4  	1  	0.753688
2  	0.0526166	inf        	inf    	0.262329  	nan        	1.70297	5  	1  	0.823073
3  	0.0532129	3.89093    	380.883	0.2515    	24.743     	1.67434	5  	1  	0.800411
4  	0.0545962	inf        	inf    	0.2515    	nan        	1.64918	4  	1  	0.792304
5  	0.0554626	3.28734    	314.395	0.243198  	18.749     	1.79412	6  	1  	0.870785
6  	0.0564365	3.81476    	340.417	0.243198  	23.5996    	2.10749	5  	1  	0.95066 
7  	0.0574746	2.13756    	131.137	0.102745  	10.2194    	2.37013	6  	1  	1.08083 
8  	0.0590713	3.63747    	174.38 	0.102745  	17.6793    	2.72168	8  	1  	1.15199 
9  	0.0595384	1.03734    	41.6055	0.102745  	3.14799    	2.98065	8  	1  	1.28501 
10 	0.0598741	1.58687    	84.6475	0.102745  	6.79814    	3.09646	9  	1  	1.2515  
11 	0.0617509	6.65778    	1653.8 	0.102745  	93.5313    	3.20192	9  	1  	1.39628 
12 	0.0618162	2.05864    	114.875	0.102745  	10.5209    	3.4377 	10 	1  	1.64116 
13 	0.0646083	2.16416    	114.774	0.0868021 	9.97742    	3.71338	10 	1  	1.73591 
14 	0.0664768	inf        	inf    	0.0868021 	nan        	3.87937	14 	1  	1.91686 
15 	0.0672727	0.972914   	43.3524	0.0717336 	2.94769    	4.23734	11 	1  	1.87353 
16 	0.0702991	2.11911    	125.939	0.0812762 	10.6366    	4.54574	12 	1  	2.20165 
17 	0.0736504	1.23385    	57.903 	0.0646977 	4.24673    	5.19497	16 	1  	2.50277 
18 	0.0764947	1.68261    	174.38 	0.0579245 	10.5548    	5.69906	16 	1  	2.70209 
19 	0.0796375	inf        	inf    	0.0608839 	nan        	6.49062	16 	1  	3.02282 
20 	0.0857961	2.38976    	256.891	0.0291755 	16.3896    	6.95016	17 	1  	3.11923 
21 	0.0856535	1.58131    	175.215	0.0291755 	10.9807    	7.21118	17 	1  	3.23492 
22 	0.0910149	3.09598e+57	1e+60  	0.0291755 	5.55553e+58	7.87616	17 	1  	3.49925 
23 	0.09568  	1.52394    	172.04 	0.0185071 	10.3293    	8.78704	17 	1  	3.6423  
24 	0.0991442	0.841626   	37.6796	0.0171216 	2.63026    	8.97846	17 	1  	3.76251 
25 	0.101592 	3.06748e+57	1e+60  	0.0171216 	5.52999e+58	9.46626	17 	1  	3.90262 
26 	0.104592 	6.11621e+57	1e+60  	0.0171216 	7.79667e+58	9.4893 	17 	1  	4.17716 
27 	0.106169 	0.648635   	31.499 	0.0167046 	2.44178    	9.96037	17 	1  	4.02677 
28 	0.110658 	2.74953    	542.998	0.0167046 	30.85      	10.3252	17 	1  	4.06415 
29 	0.11435  	6.06061e+57	1e+60  	0.0167046 	7.76136e+58	10.9788	17 	1  	3.90526 
30 	0.117564 	0.746195   	33.596 	0.0167046 	3.10172    	11.0967	17 	3  	3.87373 
31 	0.11566  	1.18867    	136.563	0.01286   	10.1863    	10.9217	17 	1  	3.88074 
32 	0.118211 	3.003e+57  	1e+60  	0.01286   	5.47173e+58	11.0811	17 	1  	3.94055 
33 	0.121006 	2.99401e+57	1e+60  	0.0107037 	5.46356e+58	10.997 	17 	1  	4.05612 
34 	0.124242 	1.45229    	168.066	0.0107037 	11.4032    	11.1134	17 	1  	4.10885 
35 	0.129052 	inf        	inf    	0.00895435	nan        	11.5804	17 	1  	3.81875 
36 	0.133469 	1.06487    	134.644	0.00895435	8.32327    	11.632 	17 	1  	3.77732 
37 	0.145924 	1.20185    	177.093	0.00895435	10.8264    	11.4941	17 	2  	3.66919 
38 	0.142732 	0.719585   	74.7703	0.00895435	5.37052    	11.9676	17 	4  	3.35537 
39 	0.150978 	335.353    	113671 	0.00895435	6155.55    	12.5559	17 	1  	3.32987 
40 	0.156038 	0.194495   	12.8227	0.00704487	0.882478   	12.695 	17 	1  	3.23302 
41 	0.158487 	2.92398e+57	1e+60  	0.00704487	5.39947e+58	13.0965	17 	4  	2.91087 
42 	0.162049 	2.91545e+57	1e+60  	0.00704487	5.39162e+58	13.1399	17 	1  	3.13695 
43 	0.168361 	0.250361   	11.8822	0.00704487	1.00943    	13.4884	17 	5  	2.54948 
44 	0.171923 	85.9235    	29600.4	0.00550725	1591.32    	13.5942	17 	4  	2.49706 
45 	0.176781 	2.89017e+57	1e+60  	0.00448461	5.36826e+58	13.604 	17 	1  	2.87744 
46 	0.183755 	0.352583   	40.6216	0.00424028	2.34859    	14.098 	17 	2  	2.48028 
47 	0.189484 	5.74713e+57	1e+60  	0.00407411	7.55916e+58	14.227 	17 	4  	2.56023 
48 	0.189827 	0.344155   	20.8368	0.00319314	1.78996    	14.3524	17 	1  	2.42932 
49 	0.190991 	2.85714e+57	1e+60  	0.00319314	5.33758e+58	14.4429	17 	2  	2.14899 
50 	0.188876 	8.54701e+57	1e+60  	0.00319314	9.20541e+58	14.1425	17 	1  	2.29882 
51 	0.188072 	2.84091e+57	1e+60  	0.00257692	5.32244e+58	14.1136	17 	2  	2.03622 
52 	0.182475 	0.980932   	295.072	0.00257692	15.6863    	13.9178	17 	2  	2.01736 
53 	0.182785 	2.82486e+57	1e+60  	0.00215952	5.30743e+58	13.9153	17 	1  	2.51631 
54 	0.182328 	2.8169e+57 	1e+60  	0.0021273 	5.29997e+58	14.1127	17 	1  	2.63321 
55 	0.184409 	1.14868    	343.839	0.0021273 	18.2103    	14.3567	17 	1  	2.3854  
56 	0.191015 	1.29925    	193.855	0.0021273 	14.0566    	14.7339	17 	2  	1.86048 
57 	0.188479 	2.77337    	333.614	0.00203812	25.2549    	14.5838	17 	1  	2.12526 
58 	0.188553 	1.42491    	202.868	0.00203812	13.2239    	14.6323	17 	2  	2.13569 
59 	0.187534 	0.58796    	165.973	0.00201701	8.76465    	14.5389	17 	6  	1.78221 
60 	0.186697 	1.44196    	176.846	0.00201701	13.2487    	14.385 	17 	1  	2.42761 
61 	0.185732 	0.728463   	140.194	0.0019822 	7.7723     	14.4282	17 	1  	2.15852 
62 	0.182673 	0.205639   	14.8752	0.0019822 	1.01902    	14.3802	17 	4  	2.05405 
63 	0.18314  	1.06609    	175.319	0.0019822 	12.6982    	14.6209	17 	6  	1.75543 
64 	0.183391 	1.44397    	406.77 	0.00197361	21.4042    	14.337 	17 	1  	2.12071 
65 	0.187682 	0.225141   	13.3306	0.00188373	1.05374    	14.459 	17 	1  	2.16333 
66 	0.188145 	2.45744    	403.94 	0.00188373	29.7087    	14.7439	17 	2  	1.92214 
67 	0.186511 	2.71739e+57	1e+60  	0.00188373	5.20577e+58	14.8071	17 	1  	1.90344 
68 	0.185169 	5.42005e+57	1e+60  	0.00183255	7.34212e+58	14.6721	17 	2  	1.99547 
69 	0.187765 	0.39076    	45.1547	0.00182817	2.86592    	14.7189	17 	2  	2.15153 
