   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min      	std        	avg    	max	min	std     
0  	0.213498	13.6196    	1704.16    	0.300973 	111.797    	1.61794	4  	1  	0.669862
1  	0.216305	12.2646    	1829.13    	0.300973 	109.307    	1.69205	5  	1  	0.714933
2  	0.216136	5.08063    	423.481    	0.223658 	26.217     	1.67987	5  	1  	0.753314
3  	0.219165	84.3909    	24321.4    	0.223658 	1392.62    	1.74671	4  	1  	0.742278
4  	0.221171	19.9335    	4605.45    	0.223658 	264.75     	1.81639	5  	1  	0.809205
5  	0.224344	133.765    	40010.7    	0.159545 	2283.37    	1.91503	5  	1  	0.831942
6  	0.228619	3.13856    	188.358    	0.159545 	13.4891    	2.11726	5  	1  	0.865138
7  	0.231877	3.83973    	610.89     	0.13225  	35.8229    	2.30195	5  	1  	0.895368
8  	0.236319	8.86159    	939.198    	0.13225  	67.0833    	2.57929	5  	1  	1.06322 
9  	0.239634	798.624    	240974     	0.13225  	13667.5    	2.84839	5  	1  	1.10989 
10 	0.246049	8.76047    	2382.39    	0.126737 	134.864    	3.02572	5  	1  	1.15349 
11 	0.246021	1.51075    	108.523    	0.126711 	7.93696    	3.11538	5  	1  	1.15171 
12 	0.257302	5.56427    	425.447    	0.126711 	35.3282    	3.17891	5  	1  	1.1666  
13 	0.259952	4.23146    	347.424    	0.0602303	26.6478    	3.34713	5  	1  	1.19335 
14 	0.259908	1.64413    	73.5685    	0.0602303	6.55137    	3.60635	5  	1  	1.14252 
15 	0.265371	1.22381    	36.0713    	0.0602303	3.62016    	3.77848	5  	1  	1.10879 
16 	0.270548	10.9943    	2806.3     	0.0602303	157.536    	3.80757	5  	1  	1.09092 
17 	0.272418	inf        	inf        	0.0602303	nan        	3.89308	5  	1  	1.05265 
18 	0.277752	inf        	inf        	0.0492539	nan        	3.94357	5  	1  	1.01553 
19 	0.279759	2.25444    	110.148    	0.0172035	9.75129    	4.05   	5  	1  	0.963717
20 	0.280744	5484.13    	1.75971e+06	0.0172035	98064.3    	3.97819	5  	1  	1.06319 
21 	0.285288	3.00098    	404.765    	0.0172035	24.4768    	4.04969	5  	1  	0.992526
22 	0.290218	193.558    	56141.3    	0.0172035	3134.8     	4.17957	5  	1  	0.963072
23 	0.294271	10.5795    	2582.1     	0.0172035	143.653    	4.21914	5  	1  	0.967754
24 	0.294291	2.00791    	77.6711    	0.0172035	7.65607    	4.26769	5  	1  	0.917707
25 	0.299935	1.53476    	106.525    	0.0172035	7.72685    	4.33436	5  	1  	0.79213 
26 	0.305799	4.26957    	422.46     	0.0172035	26.198     	4.30275	5  	1  	0.825858
