Altura Maxima,#Amostras,#Execucao,MSE (Melhor),Altura (Melhor),Tempo Execucao
5,3000,1,1.1121054870382259,2,132.0652527809143
5,3000,2,1.1108535739542553,2,135.34741830825806
5,3000,3,1.1254434997481872,1,125.31594824790955
5,3000,4,1.105181536540817,1,129.6709907054901
5,3000,5,1.1119115832059612,1,126.20011973381042
5,3000,6,1.127871927261248,2,126.85116147994995
5,3000,7,1.1185310071177266,1,126.11186385154724
5,3000,8,1.0933204422538172,1,124.76157426834106
5,3000,9,1.1216351789550256,1,126.38804244995117
5,3000,10,1.1341278653101157,1,123.61043214797974
