   	       	                      fitness                      	              size              
   	       	---------------------------------------------------	--------------------------------
gen	time   	avg        	max        	min    	std        	avg    	max	min	std     
0  	3.66488	inf        	inf        	1.11873	nan        	1.62126	4  	1  	0.628302
1  	3.55196	inf        	inf        	1.11873	nan        	1.69868	4  	1  	0.726917
2  	3.61022	inf        	inf        	1.11873	nan        	1.70627	4  	1  	0.772587
3  	3.49459	2568.02    	683685     	1.11873	39350.8    	1.64474	4  	1  	0.751384
4  	3.52345	inf        	inf        	1.11873	nan        	1.57705	5  	1  	0.79844 
5  	3.46989	inf        	inf        	1.11873	nan        	1.42157	5  	1  	0.687464
6  	3.42716	inf        	inf        	1.11873	nan        	1.30619	4  	1  	0.617915
7  	3.39959	2832.43    	683748     	1.11873	40060.5    	1.27922	4  	1  	0.581051
8  	3.40094	inf        	inf        	1.11873	nan        	1.27508	3  	1  	0.601019
9  	3.44332	6.45161e+27	1e+30      	1.11873	8.00624e+28	1.23871	3  	1  	0.568914
10 	3.35414	inf        	inf        	1.11873	nan        	1.19936	3  	1  	0.499646
11 	3.39488	9.2527e+06 	2.88681e+09	1.11873	1.63172e+08	1.23077	5  	1  	0.58667 
12 	3.53722	125158     	3.54381e+07	1.11873	2.00282e+06	1.30671	5  	1  	0.655661
13 	3.47628	inf        	inf        	1.11873	nan        	1.27707	3  	1  	0.59428 
14 	3.48918	4026.07    	1.22905e+06	1.11873	69135.6    	1.25714	4  	1  	0.602037
15 	3.53053	2.0194e+06 	6.36863e+08	1.11873	3.57694e+07	1.3038 	4  	1  	0.628529
16 	3.49254	inf        	inf        	1.11873	nan        	1.23975	4  	1  	0.561035
17 	3.48577	6641.1     	1.25443e+06	1.11873	80454.4    	1.2044 	3  	1  	0.51308 
18 	3.51452	inf        	inf        	1.11873	nan        	1.17868	3  	1  	0.464458
19 	3.44864	52.1316    	4128.45    	1.11873	300.01     	1.16562	3  	1  	0.481605
20 	3.44301	45269      	1.32769e+07	1.11873	742855     	1.16511	3  	1  	0.454295
21 	3.52482	inf        	inf        	1.11873	nan        	1.20807	3  	1  	0.531782
22 	3.52806	1996.45    	607817     	1.11873	33766.9    	1.20124	3  	1  	0.527625
