   	        	                      fitness                      	              size              
   	        	---------------------------------------------------	--------------------------------
gen	time    	avg       	max        	min    	std        	avg    	max	min	std     
0  	0.401041	inf       	inf        	1.05283	nan        	1.62458	4  	1  	0.627652
1  	0.387285	inf       	inf        	1.05283	nan        	1.72517	4  	1  	0.741818
2  	0.382231	inf       	inf        	1.05283	nan        	1.67327	5  	1  	0.767864
3  	0.385992	9.3985e+54	1.42857e+57	1.05283	1.15491e+56	1.77632	5  	1  	0.820762
4  	0.39055 	inf       	inf        	1.05283	nan        	1.69508	4  	1  	0.831042
5  	0.386833	inf       	inf        	1.05283	nan        	1.55556	4  	1  	0.75311 
6  	0.389433	inf       	inf        	1.05283	nan        	1.5114 	4  	1  	0.750049
7  	0.381922	inf       	inf        	1.05283	nan        	1.41883	4  	1  	0.652096
8  	0.385393	inf       	inf        	1.05283	nan        	1.43366	4  	1  	0.737111
9  	0.384773	inf       	inf        	1.05283	nan        	1.38065	4  	1  	0.660117
10 	0.3885  	inf       	inf        	1.05283	nan        	1.41801	4  	1  	0.707469
11 	0.385907	inf       	inf        	1.05283	nan        	1.37179	4  	1  	0.6767  
12 	0.398606	inf       	inf        	1.05283	nan        	1.39297	4  	1  	0.698388
13 	0.387858	inf       	inf        	1.05283	nan        	1.33121	4  	1  	0.627283
14 	0.386596	inf       	inf        	1.05283	nan        	1.32063	4  	1  	0.653722
15 	0.394596	inf       	inf        	1.05283	nan        	1.36709	5  	1  	0.701305
16 	0.39033 	inf       	inf        	1.05283	nan        	1.32808	4  	1  	0.625131
17 	0.389482	inf       	inf        	1.05283	nan        	1.32075	3  	1  	0.596855
18 	0.393754	inf       	inf        	1.05283	nan        	1.29781	4  	1  	0.594406
19 	0.390404	inf       	inf        	1.05283	nan        	1.3    	4  	1  	0.615427
20 	0.388973	inf       	inf        	1.05283	nan        	1.31153	5  	1  	0.667089
21 	0.394134	inf       	inf        	1.05283	nan        	1.32919	5  	1  	0.661979
22 	0.394108	inf       	inf        	1.05283	nan        	1.31269	4  	1  	0.65226 
23 	0.407546	inf       	inf        	1.05283	nan        	1.35494	5  	1  	0.694294
24 	0.400471	5636.33   	1.13631e+06	1.05283	72495.5    	1.32615	4  	1  	0.631062
25 	0.392627	inf       	inf        	1.05283	nan        	1.28834	4  	1  	0.648017
26 	0.402298	inf       	inf        	1.05283	nan        	1.34557	5  	1  	0.686147
27 	0.40469 	inf       	inf        	1.05283	nan        	1.34756	4  	1  	0.668038
28 	0.406629	inf       	inf        	1.05283	nan        	1.3617 	4  	1  	0.666063
29 	0.408825	inf       	inf        	1.05283	nan        	1.34545	4  	1  	0.688913
30 	0.403257	inf       	inf        	1.05283	nan        	1.29607	4  	1  	0.61449 
31 	0.411124	inf       	inf        	1.05283	nan        	1.3012 	4  	1  	0.595868
32 	0.409754	inf       	inf        	1.05283	nan        	1.35135	5  	1  	0.670914
33 	0.406468	inf       	inf        	1.05283	nan        	1.28443	4  	1  	0.573828
34 	0.419656	inf       	inf        	1.05283	nan        	1.36716	3  	1  	0.632075
35 	0.417497	inf       	inf        	1.05283	nan        	1.35714	4  	1  	0.638877
36 	0.416915	inf       	inf        	1.05283	nan        	1.34125	5  	1  	0.643978
37 	0.412083	inf       	inf        	1.05283	nan        	1.30178	4  	1  	0.557941
38 	0.407781	inf       	inf        	1.05283	nan        	1.28319	4  	1  	0.571739
39 	0.422497	inf       	inf        	1.05283	nan        	1.33824	4  	1  	0.623328
40 	0.42612 	inf       	inf        	1.05283	nan        	1.38416	4  	1  	0.646839
41 	0.410671	inf       	inf        	1.05283	nan        	1.28947	4  	1  	0.573137
42 	0.417198	inf       	inf        	1.05283	nan        	1.27988	3  	1  	0.542995
43 	0.425757	inf       	inf        	1.05283	nan        	1.3343 	4  	1  	0.587058
44 	0.426196	inf       	inf        	1.05283	nan        	1.35072	4  	1  	0.624528
45 	0.425561	inf       	inf        	1.05283	nan        	1.32659	4  	1  	0.608455
46 	0.427087	inf       	inf        	1.05283	nan        	1.30548	4  	1  	0.592021
47 	0.422182	inf       	inf        	1.05283	nan        	1.27011	4  	1  	0.52689 
48 	0.430943	inf       	inf        	1.05283	nan        	1.34384	4  	1  	0.625942
49 	0.430638	inf       	inf        	1.05283	nan        	1.36571	4  	1  	0.626073
50 	0.441484	inf       	inf        	1.05283	nan        	1.34473	4  	1  	0.611587
51 	0.431828	inf       	inf        	1.05283	nan        	1.36364	4  	1  	0.620334
52 	0.439245	inf       	inf        	1.05283	nan        	1.33144	3  	1  	0.558785
53 	0.432314	inf       	inf        	1.05283	nan        	1.31356	4  	1  	0.601774
54 	0.437689	inf       	inf        	1.05283	nan        	1.3662 	4  	1  	0.633333
55 	0.440542	inf       	inf        	1.05283	nan        	1.33146	4  	1  	0.620093
56 	0.435254	inf       	inf        	1.05283	nan        	1.27451	3  	1  	0.510665
57 	0.439572	inf       	inf        	1.05283	nan        	1.32402	4  	1  	0.652484
58 	0.438531	inf       	inf        	1.05283	nan        	1.33705	4  	1  	0.573843
59 	0.442478	inf       	inf        	1.05283	nan        	1.31111	5  	1  	0.630598
60 	0.43652 	inf       	inf        	1.05283	nan        	1.26039	3  	1  	0.575404
61 	0.443169	inf       	inf        	1.05283	nan        	1.28729	5  	1  	0.604133
62 	0.447043	inf       	inf        	1.05283	nan        	1.29477	4  	1  	0.615368
63 	0.447682	inf       	inf        	1.05283	nan        	1.30495	4  	1  	0.618291
64 	0.442027	inf       	inf        	1.05283	nan        	1.27397	4  	1  	0.593579
65 	0.444541	inf       	inf        	1.05283	nan        	1.26776	3  	1  	0.56239 
66 	0.450381	inf       	inf        	1.05283	nan        	1.26975	4  	1  	0.567739
67 	0.459161	inf       	inf        	1.05283	nan        	1.30435	4  	1  	0.566053
68 	0.448764	inf       	inf        	1.05283	nan        	1.26829	4  	1  	0.580718
