   	       	          fitness          	              size              
   	       	---------------------------	--------------------------------
gen	time   	avg	max	min    	std	avg    	max	min	std     
0  	1.82602	inf	inf	1.11217	nan	1.61462	5  	1  	0.660453
1  	1.78106	inf	inf	1.11217	nan	1.65563	5  	1  	0.719146
2  	1.77813	inf	inf	1.11217	nan	1.73927	4  	1  	0.813262
3  	1.75064	inf	inf	1.11217	nan	1.69737	5  	1  	0.866325
4  	1.75461	inf	inf	1.11217	nan	1.63279	5  	1  	0.870033
5  	1.72195	inf	inf	1.11217	nan	1.41503	4  	1  	0.763315
6  	1.74913	inf	inf	1.11217	nan	1.32899	4  	1  	0.665022
7  	1.71317	inf	inf	1.11217	nan	1.2987 	4  	1  	0.645965
8  	1.70842	inf	inf	1.11217	nan	1.22977	4  	1  	0.58759 
9  	1.71145	inf	inf	1.11217	nan	1.20968	3  	1  	0.530888
10 	1.70983	inf	inf	1.11217	nan	1.23794	3  	1  	0.545052
11 	1.73158	inf	inf	1.11217	nan	1.28205	3  	1  	0.60759 
12 	1.79282	inf	inf	1.11217	nan	1.34824	4  	1  	0.685406
13 	1.74339	inf	inf	1.11217	nan	1.26752	4  	1  	0.563001
14 	1.74417	inf	inf	1.11217	nan	1.24127	3  	1  	0.568103
15 	1.77786	inf	inf	1.11217	nan	1.27848	4  	1  	0.625142
16 	1.75975	inf	inf	1.11217	nan	1.27129	3  	1  	0.580081
17 	1.75711	inf	inf	1.11217	nan	1.25157	3  	1  	0.566003
18 	1.79104	inf	inf	1.11217	nan	1.26332	4  	1  	0.542492
19 	1.7786 	inf	inf	1.11217	nan	1.30625	4  	1  	0.586269
20 	1.78179	inf	inf	1.11217	nan	1.31464	3  	1  	0.567064
21 	1.80072	inf	inf	1.11217	nan	1.29503	3  	1  	0.565499
22 	1.80246	inf	inf	1.11217	nan	1.28483	4  	1  	0.603898
23 	1.83715	inf	inf	1.11217	nan	1.31173	4  	1  	0.617431
24 	1.79263	inf	inf	1.11217	nan	1.22154	4  	1  	0.5205  
25 	1.78983	inf	inf	1.11217	nan	1.24233	3  	1  	0.575192
26 	1.84496	inf	inf	1.11217	nan	1.32416	4  	1  	0.644049
27 	1.83821	inf	inf	1.11217	nan	1.29573	5  	1  	0.625461
28 	1.81989	inf	inf	1.11217	nan	1.26444	4  	1  	0.57293 
29 	1.866  	inf	inf	1.11217	nan	1.3    	4  	1  	0.601261
30 	1.8224 	inf	inf	1.11217	nan	1.2719 	4  	1  	0.595879
31 	1.86425	inf	inf	1.11217	nan	1.26506	4  	1  	0.572131
32 	1.85783	inf	inf	1.11217	nan	1.27027	3  	1  	0.599488
33 	1.84674	inf	inf	1.11217	nan	1.23653	3  	1  	0.514212
34 	1.90174	inf	inf	1.11217	nan	1.28358	4  	1  	0.60362 
35 	1.85214	inf	inf	1.11217	nan	1.25298	3  	1  	0.560339
36 	1.84288	inf	inf	1.11217	nan	1.19585	3  	1  	0.496499
37 	1.87351	inf	inf	1.11217	nan	1.21302	3  	1  	0.500481
38 	1.84898	inf	inf	1.11217	nan	1.19764	3  	1  	0.491095
39 	1.89584	inf	inf	1.11217	nan	1.22941	3  	1  	0.526101
40 	1.8715 	inf	inf	1.11217	nan	1.2346 	3  	1  	0.539446
41 	1.85495	inf	inf	1.11217	nan	1.19591	4  	1  	0.483271
42 	1.87741	inf	inf	1.11217	nan	1.20117	4  	1  	0.526608
43 	1.9162 	inf	inf	1.11217	nan	1.23837	3  	1  	0.518421
44 	1.90701	inf	inf	1.11217	nan	1.23768	3  	1  	0.534356
45 	1.91699	inf	inf	1.11217	nan	1.24277	3  	1  	0.525662
46 	1.92949	inf	inf	1.11217	nan	1.26801	5  	1  	0.578368
47 	1.91994	inf	inf	1.11217	nan	1.27586	4  	1  	0.545402
48 	1.96002	inf	inf	1.11217	nan	1.34097	4  	1  	0.629786
49 	1.96028	inf	inf	1.11217	nan	1.36286	3  	1  	0.643466
50 	1.99805	inf	inf	1.11217	nan	1.34473	4  	1  	0.611587
51 	1.95717	inf	inf	1.11217	nan	1.32386	4  	1  	0.633083
52 	2.00407	inf	inf	1.11217	nan	1.29178	4  	1  	0.565651
53 	1.96594	inf	inf	1.11217	nan	1.29944	4  	1  	0.592467
54 	2.0037 	inf	inf	1.11217	nan	1.33803	4  	1  	0.657431
55 	2.01336	inf	inf	1.11217	nan	1.31742	5  	1  	0.634079
56 	1.97833	inf	inf	1.11217	nan	1.22409	4  	1  	0.529449
57 	1.97988	inf	inf	1.11217	nan	1.25419	4  	1  	0.592949
58 	1.97696	inf	inf	1.11217	nan	1.25627	3  	1  	0.539326
59 	1.99883	inf	inf	1.11217	nan	1.27778	4  	1  	0.553329
60 	2.00096	inf	inf	1.11217	nan	1.31025	4  	1  	0.598364
61 	2.01773	inf	inf	1.11217	nan	1.32873	4  	1  	0.617161
62 	2.05145	inf	inf	1.11217	nan	1.36364	4  	1  	0.655555
