   	        	                      fitness                      	              size              
   	        	---------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min    	std        	avg    	max	min	std     
0  	0.447165	inf        	inf        	1.15723	nan        	1.51827	4  	1  	0.665099
1  	0.456673	inf        	inf        	1.15723	nan        	1.65563	5  	1  	0.772425
2  	0.443744	inf        	inf        	1.15723	nan        	1.60726	5  	1  	0.775585
3  	0.430211	inf        	inf        	1.15723	nan        	1.68421	4  	1  	0.853946
4  	0.41395 	inf        	inf        	1.15723	nan        	1.60656	4  	1  	0.803245
5  	0.404778	inf        	inf        	1.15723	nan        	1.53922	5  	1  	0.727673
6  	0.411441	inf        	inf        	1.15723	nan        	1.57655	4  	1  	0.767735
7  	0.40015 	inf        	inf        	1.15723	nan        	1.50649	6  	1  	0.779167
8  	0.394121	inf        	inf        	1.15723	nan        	1.41424	4  	1  	0.698999
9  	0.399503	inf        	inf        	1.15723	nan        	1.4871 	4  	1  	0.721666
10 	0.405689	inf        	inf        	1.15723	nan        	1.52733	5  	1  	0.79289 
11 	0.412682	95780.9    	1.11304e+07	1.15723	935370     	1.5609 	5  	1  	0.814222
12 	0.404231	55073      	7.32162e+06	1.15723	569159     	1.52716	5  	1  	0.775049
13 	0.420419	inf        	inf        	1.15723	nan        	1.56051	5  	1  	0.780638
14 	0.406047	inf        	inf        	1.15723	nan        	1.47619	4  	1  	0.686772
15 	0.415467	inf        	inf        	1.15723	nan        	1.48418	6  	1  	0.809205
16 	0.411185	inf        	inf        	1.15723	nan        	1.4795 	5  	1  	0.768293
17 	0.425222	inf        	inf        	1.15723	nan        	1.59434	6  	1  	0.898408
18 	0.422137	inf        	inf        	1.15723	nan        	1.60815	6  	1  	0.969793
19 	0.418999	6198.85    	1.22826e+06	1.15723	78626.6    	1.5875 	5  	1  	0.886619
20 	0.437906	inf        	inf        	1.15723	nan        	1.73209	5  	1  	1.02151 
21 	0.427236	inf        	inf        	1.15723	nan        	1.67391	5  	1  	1.01044 
22 	0.442437	inf        	inf        	1.15723	nan        	1.7709 	7  	1  	1.01848 
23 	0.443753	inf        	inf        	1.15723	nan        	1.74383	5  	1  	1.03896 
24 	0.430551	inf        	inf        	1.15723	nan        	1.63077	5  	1  	0.907562
25 	0.432552	inf        	inf        	1.15723	nan        	1.62883	5  	1  	0.847387
