   	       	          fitness          	              size              
   	       	---------------------------	--------------------------------
gen	time   	avg	max	min    	std	avg    	max	min	std     
0  	1.22712	inf	inf	1.09369	nan	1.51495	4  	1  	0.623948
1  	1.19376	inf	inf	1.09369	nan	1.59934	4  	1  	0.7245  
2  	1.14539	inf	inf	1.09369	nan	1.53465	5  	1  	0.729813
3  	1.10946	inf	inf	1.09369	nan	1.46711	5  	1  	0.76878 
4  	1.08566	inf	inf	1.09369	nan	1.35738	5  	1  	0.691982
5  	1.08616	inf	inf	1.09369	nan	1.31699	4  	1  	0.632072
6  	1.13482	inf	inf	1.09369	nan	1.39088	5  	1  	0.706172
7  	1.13014	inf	inf	1.09369	nan	1.37662	4  	1  	0.679743
8  	1.13425	inf	inf	1.09369	nan	1.39806	4  	1  	0.733036
9  	1.11935	inf	inf	1.09369	nan	1.35161	5  	1  	0.72884 
10 	1.14863	inf	inf	1.09369	nan	1.37942	5  	1  	0.763366
11 	1.13267	inf	inf	1.09369	nan	1.32051	4  	1  	0.664939
12 	1.09688	inf	inf	1.09369	nan	1.30032	4  	1  	0.623732
13 	1.13853	inf	inf	1.09369	nan	1.33121	5  	1  	0.627283
14 	1.09524	inf	inf	1.09369	nan	1.31429	4  	1  	0.627127
15 	1.14491	inf	inf	1.09369	nan	1.37975	4  	1  	0.680726
16 	1.13958	inf	inf	1.09369	nan	1.42271	4  	1  	0.704551
17 	1.13533	inf	inf	1.09369	nan	1.39937	4  	1  	0.678233
18 	1.1255 	inf	inf	1.09369	nan	1.40752	5  	1  	0.723588
19 	1.13964	inf	inf	1.09369	nan	1.40312	5  	1  	0.704887
20 	1.17927	inf	inf	1.09369	nan	1.46729	5  	1  	0.756913
21 	1.16542	inf	inf	1.09369	nan	1.45031	4  	1  	0.699834
22 	1.15545	inf	inf	1.09369	nan	1.41486	4  	1  	0.663998
23 	1.18129	inf	inf	1.09369	nan	1.44444	5  	1  	0.715783
24 	1.16148	inf	inf	1.09369	nan	1.39077	5  	1  	0.682467
25 	1.17881	inf	inf	1.09369	nan	1.44172	5  	1  	0.727194
26 	1.16914	inf	inf	1.09369	nan	1.42813	5  	1  	0.733767
27 	1.16884	inf	inf	1.09369	nan	1.44512	5  	1  	0.700636
28 	1.21929	inf	inf	1.09369	nan	1.52584	5  	1  	0.763989
29 	1.20741	inf	inf	1.09369	nan	1.55758	5  	1  	0.796595
30 	1.2156 	inf	inf	1.09369	nan	1.49849	4  	1  	0.751131
31 	1.24781	inf	inf	1.09369	nan	1.4759 	4  	1  	0.73797 
32 	1.31793	inf	inf	1.09369	nan	1.46847	4  	1  	0.699461
33 	1.32225	inf	inf	1.09369	nan	1.56587	5  	1  	0.789245
34 	1.22834	inf	inf	1.09369	nan	1.54925	5  	1  	0.785954
35 	1.2621 	inf	inf	1.09369	nan	1.64286	5  	1  	0.796463
36 	1.24367	inf	inf	1.09369	nan	1.61721	5  	1  	0.864088
37 	1.25259	inf	inf	1.09369	nan	1.57692	5  	1  	0.840013
38 	1.27364	inf	inf	1.09369	nan	1.59882	5  	1  	0.789757
39 	1.29122	inf	inf	1.09369	nan	1.65   	5  	1  	0.925695
40 	1.26314	inf	inf	1.09369	nan	1.59824	5  	1  	0.889758
41 	1.31236	inf	inf	1.09369	nan	1.69591	5  	1  	0.924606
42 	1.30036	inf	inf	1.09369	nan	1.66764	5  	1  	0.836679
43 	1.29544	inf	inf	1.09369	nan	1.69477	5  	1  	0.897267
44 	1.29335	inf	inf	1.09369	nan	1.68696	4  	1  	0.844747
45 	1.31945	inf	inf	1.09369	nan	1.73121	4  	1  	0.873507
46 	1.29985	inf	inf	1.09369	nan	1.69741	4  	1  	0.830311
47 	1.33021	inf	inf	1.09369	nan	1.70115	4  	1  	0.849137
48 	1.32387	inf	inf	1.09369	nan	1.70774	4  	1  	0.829591
49 	1.33536	inf	inf	1.09369	nan	1.72857	5  	1  	0.896365
50 	1.32255	inf	inf	1.09369	nan	1.74644	5  	1  	0.961411
51 	1.33871	inf	inf	1.09369	nan	1.79545	5  	1  	0.940371
52 	1.32779	inf	inf	1.09369	nan	1.74221	5  	1  	0.942453
53 	1.36771	inf	inf	1.09369	nan	1.78531	5  	1  	0.98245 
54 	1.36875	inf	inf	1.09369	nan	1.85352	5  	1  	1.01313 
55 	1.35283	inf	inf	1.09369	nan	1.75   	5  	1  	0.972588
56 	1.37603	inf	inf	1.09369	nan	1.71989	5  	1  	0.95558 
57 	1.33692	inf	inf	1.09369	nan	1.68436	5  	1  	0.917448
58 	1.38587	inf	inf	1.09369	nan	1.72981	5  	1  	0.930437
59 	1.34689	inf	inf	1.09369	nan	1.65556	5  	1  	0.874466
60 	1.34055	inf	inf	1.09369	nan	1.63712	5  	1  	0.837922
61 	1.38166	inf	inf	1.09369	nan	1.66575	5  	1  	0.895901
62 	1.35926	inf	inf	1.09369	nan	1.62534	5  	1  	0.904605
63 	1.35903	inf	inf	1.09369	nan	1.64286	5  	1  	0.916232
64 	1.35721	inf	inf	1.09369	nan	1.63288	5  	1  	0.974757
65 	1.35994	inf	inf	1.09369	nan	1.59563	5  	1  	0.887301
66 	1.42972	inf	inf	1.09369	nan	1.6594 	5  	1  	0.985487
67 	1.42722	inf	inf	1.09369	nan	1.70924	5  	1  	0.92061 
68 	1.40294	inf	inf	1.09369	nan	1.72358	5  	1  	0.973643
69 	1.44836	inf	inf	1.09369	nan	1.75946	5  	1  	0.988572
70 	1.43576	inf	inf	1.09369	nan	1.87332	5  	1  	1.03451 
71 	1.42533	inf	inf	1.09369	nan	1.84946	5  	1  	0.994028
72 	1.51642	inf	inf	1.09369	nan	1.95979	5  	1  	1.00187 
73 	1.45858	inf	inf	1.09369	nan	1.90909	5  	1  	1.04563 
74 	1.43993	inf	inf	1.09369	nan	1.88533	5  	1  	0.943849
75 	1.48659	inf	inf	1.09369	nan	1.93617	5  	1  	0.995292
76 	1.51237	inf	inf	1.09369	nan	2      	5  	1  	1.07787 
77 	1.48632	inf	inf	1.09369	nan	1.97619	5  	1  	1.06008 
78 	1.50234	inf	inf	1.09369	nan	2.02375	5  	1  	1.05868 
79 	1.48478	inf	inf	1.09369	nan	2.01053	5  	1  	1.02336 
80 	1.52026	inf	inf	1.09369	nan	2.01575	5  	1  	1.05977 
81 	1.55563	inf	inf	1.09369	nan	2.09424	5  	1  	1.07153 
82 	1.53953	inf	inf	1.09369	nan	2.047  	5  	1  	1.061   
83 	1.53795	inf	inf	1.09369	nan	2.02865	5  	1  	1.04916 
84 	1.58957	inf	inf	1.09369	nan	2.15844	5  	1  	1.08273 
85 	1.55902	inf	inf	1.09369	nan	2.08031	5  	1  	1.12498 
86 	1.55102	inf	inf	1.09369	nan	2.0646 	5  	1  	1.06311 
87 	1.59448	inf	inf	1.09369	nan	2.12371	5  	1  	1.06013 
88 	1.56304	inf	inf	1.09369	nan	2.1054 	5  	1  	1.04731 
89 	1.58583	inf	inf	1.09369	nan	2.08718	5  	1  	1.07302 
90 	1.57988	inf	inf	1.09369	nan	2.09463	5  	1  	1.11431 
91 	1.60815	inf	inf	1.09369	nan	2.10204	5  	1  	1.09255 
92 	1.58707	inf	inf	1.09369	nan	2.12723	5  	1  	1.08616 
93 	1.60481	inf	inf	1.09369	nan	2.11675	5  	1  	1.12271 
94 	1.6106 	inf	inf	1.09369	nan	2.06582	5  	1  	1.1366  
95 	1.5757 	inf	inf	1.09369	nan	2.0404 	5  	1  	1.13857 
96 	1.5311 	inf	inf	1.09369	nan	1.87406	5  	1  	1.07373 
