   	       	                      fitness                      	              size              
   	       	---------------------------------------------------	--------------------------------
gen	time   	avg        	max        	min    	std        	avg    	max	min	std     
0  	3.64727	inf        	inf        	1.11194	nan        	1.60465	4  	1  	0.651993
1  	3.62283	415469     	8.24133e+07	1.11194	5.30034e+06	1.74503	5  	1  	0.832628
2  	3.60975	49331.2    	1.36564e+07	1.11194	784670     	1.73597	5  	1  	0.781126
3  	3.55776	4254.54    	1.26901e+06	1.11194	72659.8    	1.70395	4  	1  	0.821895
4  	3.5364 	20611.5    	2.78059e+06	1.11194	227720     	1.64262	5  	1  	0.825904
5  	3.52626	1724.42    	492128     	1.11194	28085.6    	1.56536	5  	1  	0.806819
6  	3.47221	2341.5     	695031     	1.11194	39600.5    	1.443  	4  	1  	0.698422
7  	3.45618	5138.14    	695031     	1.11194	56643.3    	1.38636	4  	1  	0.632   
8  	3.49374	17982.2    	1.26873e+06	1.11194	143551     	1.40453	4  	1  	0.669332
9  	3.51812	3.22581e+57	1e+60      	1.11194	5.67045e+58	1.36452	5  	1  	0.690511
10 	3.48934	9663.8     	2.28092e+06	1.11194	134865     	1.36656	3  	1  	0.589872
11 	3.4967 	8.45064e+06	2.63657e+09	1.11194	1.49027e+08	1.375  	4  	1  	0.65321 
12 	3.57962	50844.3    	1.45912e+07	1.11194	826136     	1.42492	4  	1  	0.693386
13 	3.61009	6398.21    	1.97412e+06	1.11194	111224     	1.45223	4  	1  	0.708869
14 	3.56331	4309.03    	1.2672e+06 	1.11194	71301.1    	1.4    	4  	1  	0.707331
15 	3.59851	4168.18    	1.26914e+06	1.11194	71280      	1.43354	4  	1  	0.683449
16 	3.57329	213395     	6.21339e+07	1.11194	3.49204e+06	1.35962	4  	1  	0.642852
17 	3.60551	6300.97    	1.23646e+06	1.11194	79512.1    	1.37421	4  	1  	0.659876
18 	3.65537	inf        	inf        	1.11194	nan        	1.34796	4  	1  	0.598787
19 	3.57703	inf        	inf        	1.11194	nan        	1.31563	4  	1  	0.578581
20 	3.58257	253724     	8.00142e+07	1.11194	4.45931e+06	1.34579	3  	1  	0.597546
21 	3.67856	12841.6    	1.26746e+06	1.11194	113607     	1.36957	5  	1  	0.689364
22 	3.62205	1980.78    	600089     	1.11194	33337.7    	1.34365	3  	1  	0.606606
23 	3.70642	13978.6    	1.96608e+06	1.11194	146351     	1.39198	4  	1  	0.650781
24 	3.61917	12414.3    	2.02304e+06	1.11194	137501     	1.30462	5  	1  	0.589245
25 	3.68376	66216.1    	2.02956e+07	1.11194	1.1242e+06 	1.34356	4  	1  	0.635169
26 	3.6924 	116.185    	4957.62    	1.11194	494.054    	1.34862	4  	1  	0.635968
27 	3.66175	1.26072e+07	4.13184e+09	1.11194	2.27794e+08	1.35061	4  	1  	0.631201
28 	3.65915	34187.6    	1.11208e+07	1.11194	612172     	1.33131	5  	1  	0.621029
29 	3.74247	36600.6    	4.94194e+06	1.11194	369636     	1.38182	4  	1  	0.664901
30 	3.66325	7521.3     	1.23466e+06	1.11194	95678.3    	1.3716 	4  	1  	0.68053 
31 	3.77214	2809.71    	695031     	1.11194	39239.6    	1.35542	4  	1  	0.64486 
32 	3.77784	inf        	inf        	1.11194	nan        	1.36937	3  	1  	0.647396
33 	3.82884	6184.82    	1.23466e+06	1.11194	77514.1    	1.35629	4  	1  	0.595899
34 	3.84301	inf        	inf        	1.11194	nan        	1.36119	4  	1  	0.654024
35 	3.75624	15348.1    	1.2706e+06 	1.11194	128731     	1.31845	4  	1  	0.614618
36 	3.73623	12070.5    	2.7802e+06 	1.11194	165446     	1.273  	3  	1  	0.568418
37 	3.73031	9.62283e+06	2.21756e+09	1.11194	1.3276e+08 	1.23373	3  	1  	0.517549
38 	3.67533	5.59773e+09	1.89763e+12	1.11194	1.02913e+11	1.20944	3  	1  	0.49221 
39 	3.79075	15779.6    	2.79561e+06	1.11194	178742     	1.25294	3  	1  	0.553723
40 	3.7715 	22328.4    	3.50786e+06	1.11194	258014     	1.27273	4  	1  	0.592317
