x,y,"f(x,y)","f*(x,y)"
35.03,-30.93,1.895702047794304,2
-13.86,34.53,1.0329276047504474,2
30.99,-22.82,2.9219067828306495,2
-46.24,5.32,2.253809455447139,2
-42.33,-44.27,0.0003049005190358667,2
-7.55,25.01,1.2023277199306122,2
-15.53,14.32,0.9576361744310546,2
47.21,27.32,0.40472439417494055,2
-21.67,38.1,1.8068262803311523,2
11.01,25.61,0.057317449300526846,2
-27.9,11.3,3.471721027620018,2
6.28,10.44,2.4173635926987798,2
2.36,-17.59,2.141877826085946,2
-1.15,25.89,0.46359699265611254,2
-19.39,0.83,1.9569410019117126,2
-17.35,38.65,2.2318596919324616,2
-23.78,0.2,2.3833761378665277,2
12.55,-44.13,2.579571215327644,2
-10.09,-8.53,1.6317160055363427,2
-40.33,23.63,3.077444159991904,2
-4.13,16.51,1.99005606121563,2
21.25,38.12,3.222572919416435,2
-21.63,33.13,1.8497302171458754,2
32.42,-12.36,1.643826496005285,2
14.05,9.13,2.071097303623004,2
35.17,30.0,1.4655487173449546,2
5.5,-9.22,3.1710610592601274,2
-45.98,37.01,2.0272816159023663,2
-20.99,-16.89,1.027287036611152,2
-17.24,46.18,1.155123258630947,2
1.78,-27.37,2.5737787241055816,2
-25.94,-21.11,3.390605874428732,2
-24.75,-2.1,1.770236183779066,2
11.11,-39.24,1.4214195803560308,2
12.39,-47.6,2.037933757101513,2
-31.39,7.43,1.9399444157007912,2
5.75,-41.72,0.24235273020645542,2
30.79,14.0,1.2143033371148246,2
-14.93,17.37,2.932241080401436,2
43.88,5.03,1.4369503618808872,2
29.33,23.94,2.467381751032071,2
-32.73,17.5,2.581264615866452,2
11.13,-46.55,3.5696179744364738,2
-25.68,43.88,0.1975493279318894,2
11.43,28.25,0.5420190692684645,2
-42.28,43.2,3.529211255381468,2
-25.71,-41.79,2.8035202673993136,2
38.79,-10.26,1.6623350178973586,2
19.54,-28.38,2.0519061583857225,2
9.39,28.66,1.7785441639647284,2
33.46,21.69,2.47260237085029,2
28.94,44.19,2.1436581303335034,2
33.62,18.06,2.2806538272119483,2
10.87,38.09,3.770756817696162,2
41.78,-21.54,0.6398674871289716,2
27.15,-39.16,3.2434714901013564,2
11.71,-41.34,2.9702647562023934,2
21.6,-14.95,2.1675592680501676,2
-10.69,3.66,1.4750041045435998,2
47.16,49.29,3.5157469876718506,2
-24.19,37.18,2.0651234265250267,2
-19.64,-3.67,1.8680756790002948,2
3.81,-6.15,0.2937397673345514,2
-34.19,43.33,1.1827981990744934,2
-29.23,-17.6,1.4087494245334518,2
23.06,-7.52,1.7272221196656277,2
