x0,x1,x2,x3,x4,"f(x,y)","f*(x,y)"
1000.0,6.7,0.1016,71.3,0.00478288,136.758,130.122
200.0,0.0,0.3048,39.6,0.00310138,118.129,128.334
3150.0,0.0,0.1524,71.3,0.0015988,129.377,131.102
1600.0,9.9,0.1524,55.5,0.0208438,119.875,124.679
6300.0,5.3,0.2286,71.3,0.0051942,116.92,119.285
2500.0,15.4,0.0508,55.5,0.0271925,125.63,121.325
3150.0,0.0,0.0508,71.3,0.000740478,135.07,135.66
500.0,9.9,0.1524,31.7,0.0252785,127.179,126.123
800.0,7.3,0.2286,55.5,0.0111706,128.444,127.373
630.0,5.4,0.1524,39.6,0.00485029,132.357,128.527
800.0,0.0,0.1016,39.6,0.00146332,128.401,127.333
3150.0,15.4,0.0508,39.6,0.0282593,120.513,118.557
6300.0,0.0,0.1524,71.3,0.0015988,125.427,127.749
2500.0,7.3,0.2286,31.7,0.0132672,114.709,115.937
1600.0,12.7,0.0254,39.6,0.0130253,129.977,130.082
5000.0,0.0,0.1524,71.3,0.0015988,126.457,129.133
1600.0,8.4,0.0508,31.7,0.00580776,129.296,129.625
1000.0,0.0,0.1016,71.3,0.00121072,128.825,129.339
1250.0,8.9,0.1016,39.6,0.0124596,127.71,130.181
5000.0,4.0,0.2286,71.3,0.00400603,121.118,121.76
200.0,17.4,0.0254,39.6,0.0172206,114.044,123.676
315.0,0.0,0.2286,31.7,0.0027238,120.595,127.433
1000.0,0.0,0.1524,55.5,0.00172668,128.583,129.836
315.0,0.0,0.2286,55.5,0.00229336,119.54,129.179
3150.0,17.4,0.0254,55.5,0.0165706,124.101,121.534
3150.0,0.0,0.0254,31.7,0.000439472,135.227,133.43
1000.0,3.0,0.3048,39.6,0.00495741,128.312,123.567
4000.0,5.4,0.1524,39.6,0.00485029,117.137,121.897
2000.0,6.7,0.1016,31.7,0.00592927,120.446,127.971
800.0,2.7,0.1524,39.6,0.00294804,128.829,128.784
1600.0,9.5,0.0254,39.6,0.00449821,131.184,129.441
315.0,7.3,0.2286,39.6,0.0123481,132.149,126.367
500.0,12.6,0.1524,71.3,0.0483159,121.664,126.854
3150.0,17.4,0.0254,71.3,0.016104,126.536,123.54
400.0,15.4,0.0508,55.5,0.0271925,126.5,127.438
500.0,0.0,0.2286,31.7,0.0027238,126.675,128.847
1000.0,8.9,0.1016,39.6,0.0124596,129.58,129.312
630.0,7.2,0.1524,39.6,0.00909175,133.198,128.866
315.0,12.7,0.0254,71.3,0.0121808,122.938,126.904
2500.0,12.7,0.0254,71.3,0.0121808,134.058,129.227
