   	        	                      fitness                      	              size              
   	        	---------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min    	std        	avg    	max	min	std     
0  	0.269358	1.62982e+09	4.22409e+11	1518.77	2.45948e+10	1.5515 	4  	1  	0.702279
1  	0.27246 	401130     	6.88972e+07	1472.37	4.21449e+06	1.57285	5  	1  	0.776086
2  	0.274641	4.83544e+06	9.88673e+08	1472.37	5.87323e+07	1.59076	5  	1  	0.777688
3  	0.268636	6.73851e+10	1.83271e+13	1409.67	1.05586e+12	1.64474	5  	1  	0.814409
4  	0.27419 	4.12848e+09	1.01255e+12	1314.04	5.84816e+10	1.69836	5  	1  	0.84203 
5  	0.275447	4.2141e+08 	6.0887e+10 	1314.04	4.85137e+09	1.66667	6  	1  	0.896617
6  	0.266953	2.76805e+08	8.45511e+10	1314.04	4.81766e+09	1.53746	5  	1  	0.766394
7  	0.263403	5.95045e+10	1.83272e+13	1250.41	1.04259e+12	1.47727	5  	1  	0.740395
8  	0.257906	5.93262e+10	1.83271e+13	1250.41	1.0409e+12 	1.39159	5  	1  	0.700481
9  	0.255399	1.90593e+08	5.88756e+10	1250.41	3.33847e+09	1.39032	4  	1  	0.681012
10 	0.266943	4.27347e+17	1.32905e+20	1250.41	7.52421e+18	1.52412	5  	1  	0.792994
11 	0.279176	2.41465e+06	6.42246e+08	1250.41	3.63515e+07	1.73077	6  	1  	0.91179 
12 	0.307565	4.92699e+10	1.5362e+13 	1250.41	8.66917e+11	2.15974	6  	1  	1.04532 
13 	0.336215	4.06467e+08	5.88754e+10	1250.41	4.70875e+09	2.52229	6  	1  	1.14595 
14 	0.354144	2.56062e+08	6.69315e+10	1250.41	3.80363e+09	2.68254	7  	1  	1.13004 
15 	0.364939	1.86705e+08	5.88933e+10	1250.41	3.30774e+09	2.77215	7  	1  	1.31639 
16 	0.378779	1.87077e+08	5.88754e+10	1147.15	3.30151e+09	2.87066	7  	1  	1.31923 
17 	0.412543	3.6655e+10 	1.14747e+13	1147.15	6.42448e+11	3.28931	8  	1  	1.48513 
18 	0.422049	6.64847e+12	2.12086e+15	1147.15	1.18559e+14	3.41379	8  	1  	1.5968  
19 	0.453901	1.37791e+07	3.85629e+09	1147.15	2.16184e+08	3.68125	11 	1  	1.75133 
20 	0.484873	7.36053e+13	2.33804e+16	1147.15	1.30296e+15	3.96262	15 	1  	1.99185 
21 	0.551042	7.16475e+07	8.98916e+09	1143.8 	7.42508e+08	4.62112	16 	1  	2.5706  
22 	0.629697	2.29927e+06	6.43795e+08	1126.34	3.58099e+07	5.16409	16 	1  	2.76326 
23 	0.659053	6.54378e+12	2.12018e+15	1124.62	1.17606e+14	5.46605	17 	1  	2.89669 
24 	0.710943	6.53721e+12	2.12018e+15	1100.04	1.17425e+14	5.91385	17 	1  	3.13864 
25 	0.736995	2.01832e+09	2.67448e+11	1088.77	2.13539e+10	6.13804	17 	1  	2.98914 
26 	0.789426	1.01095e+09	2.67415e+11	1068.13	1.51576e+10	6.53823	18 	1  	3.08953 
27 	0.85021 	3.61797e+12	1.18643e+15	986.035	6.54094e+13	6.85061	18 	1  	3.10766 
28 	0.927042	6.50473e+12	2.14004e+15	986.035	1.17805e+14	7.36474	17 	1  	3.22897 
29 	0.994936	1.78968e+08	5.89378e+10	970.54 	3.23948e+09	7.73939	22 	1  	3.7065  
30 	1.1238  	3.85763e+07	8.99577e+09	969.307	5.10939e+08	8.42296	22 	1  	3.76852 
31 	1.2894  	1.60726e+08	5.32523e+10	881.232	2.91818e+09	9.6988 	22 	2  	4.31999 
32 	1.53791 	40200.2    	1.21434e+07	880.332	664485     	11.045 	23 	1  	4.54947 
33 	1.80335 	206751     	1.81653e+07	872.57 	1.78171e+06	12.5629	29 	1  	5.01381 
34 	2.13413 	9.8626e+08 	3.22747e+11	861.267	1.76105e+10	14.3164	33 	1  	5.34886 
35 	2.47249 	2.80181e+06	8.489e+08  	859.778	4.64814e+07	15.378 	32 	2  	4.62556 
36 	2.81183 	2.43506e+16	8.20614e+18	852.711	4.46353e+17	16.092 	31 	1  	4.60555 
37 	3.125   	7.40781e+08	2.50371e+11	838.863	1.35982e+10	16.7456	31 	1  	4.90626 
38 	3.5618  	286359     	1.86179e+07	820.734	2.10939e+06	18.1829	39 	4  	5.08008 
39 	3.82641 	72555.4    	1.06517e+07	814.692	802246     	19.0147	35 	3  	5.49731 
40 	4.11495 	3.62445e+08	6.45833e+10	809.031	4.72047e+09	19.6422	37 	1  	5.72497 
41 	4.38643 	4.32122e+06	1.34901e+09	791.832	7.29216e+07	20.7193	41 	3  	5.64212 
42 	4.59889 	1.1544e+06 	1.37622e+08	759.524	9.12756e+06	21.6327	55 	3  	6.5616  
43 	4.8737  	9.78965e+08	2.35635e+11	759.524	1.37884e+10	22.1483	42 	2  	6.76461 
44 	4.92686 	2.13344e+08	5.88984e+10	709.354	3.25972e+09	22.0522	42 	6  	6.70735 
45 	5.18413 	9.56819e+10	3.31056e+13	651.606	1.77719e+12	22.1127	43 	10 	6.59011 
46 	5.03083 	6.11019e+12	2.12018e+15	651.606	1.13653e+14	21.1153	48 	1  	6.63746 
47 	5.036   	1.24773e+07	4.142e+09  	621.181	2.2175e+08 	21.2126	52 	1  	6.8666  
48 	5.03054 	1.6387e+08 	5.68007e+10	621.181	3.03606e+09	20.9456	52 	2  	6.31956 
49 	4.96256 	592484     	7.02359e+07	608.515	4.45982e+06	20.4743	36 	8  	5.44617 
