1051
450
>> Regressao Numerica com GP: 
>> 1502 amostras;tamanho max da arvore: 5
>> Inicio (Execucao 0)
   	        	                      fitness                      	              size              
   	        	---------------------------------------------------	--------------------------------
gen	time    	avg       	max        	min    	std        	avg   	max	min	std     
0  	0.266433	1.6524e+09	4.19188e+11	1501.36	2.45067e+10	1.5515	4  	1  	0.702279
1  	0.270363	424824    	7.38093e+07	1455.2 	4.5095e+06 	1.57285	5  	1  	0.776086
2  	0.26883 	7.7373e+06	9.32134e+08	1455.2 	7.69724e+07	1.59406	5  	1  	0.78153 
3  	0.267157	8.52368e+10	2.16717e+13	1388.28	1.25157e+12	1.64474	5  	1  	0.818438
4  	0.27109 	3.49783e+09	9.37936e+11	1388.28	5.38382e+10	1.68525	5  	1  	0.837216
5  	0.273297	4.78598e+08	6.35235e+10	1388.28	5.17083e+09	1.65033	4  	1  	0.847112
6  	0.263759	2.08173e+08	6.35004e+10	1388.28	3.61819e+09	1.53094	5  	1  	0.740754
7  	0.261444	7.03637e+10	2.16719e+13	1388.28	1.23287e+12	1.47078	5  	1  	0.761784
8  	0.255074	7.015e+10  	2.16717e+13	1388.28	1.23086e+12	1.39482	4  	1  	0.677497
9  	0.256434	2.05365e+08	6.34827e+10	1295.09	3.59973e+09	1.43548	4  	1  	0.740988
10 	0.268899	1.06901e+14	3.09158e+16	1388.28	1.7548e+15 	1.6463 	5  	1  	0.902111
11 	0.293451	2.66688e+06	6.49071e+08	1342.42	3.67472e+07	1.96795	5  	1  	0.976781
12 	0.31185 	6.00359e+10	1.87908e+13	1262.63	1.06042e+12	2.25559	5  	1  	0.958488
13 	0.332737	1.04528e+09	2.54192e+11	1199.59	1.47586e+10	2.51274	5  	1  	1.02275 
14 	0.353508	3.31851e+07	9.61395e+09	1115.28	5.41331e+08	2.73333	5  	1  	1.06249 
15 	0.379605	2.04734e+08	6.35189e+10	1115.28	3.56774e+09	3.03165	5  	1  	1.17689 
16 	0.396689	4.08093e+08	6.56871e+10	1115.28	5.11448e+09	3.23344	5  	1  	1.19241 
17 	0.415405	4.17278e+08	6.35104e+10	1115.28	5.0138e+09 	3.39308	5  	1  	1.18675 
18 	0.428166	7.30989e+12	2.33185e+15	1082.67	1.30354e+14	3.4953 	5  	1  	1.28622 
19 	0.467944	1.79789e+07	4.75183e+09	1079.71	2.70109e+08	3.71875	5  	1  	1.22307 
20 	0.502475	5.94094e+08	6.35573e+10	1079.71	6.11196e+09	3.8162 	5  	1  	1.13313 
21 	0.551094	3.02906e+07	9.61805e+09	1057.76	5.35143e+08	4.14596	5  	1  	1.0398  
22 	0.570452	142590     	1.9208e+07 	976.63 	1.525e+06  	4.21053	5  	1  	1.00722 
23 	0.601249	6.97852e+10	2.16724e+13	958.409	1.20312e+12	4.32407	5  	1  	0.941125
24 	0.633211	2.88816e+09	9.38249e+11	926.896	5.19645e+10	4.44923	5  	1  	0.874269
25 	0.668142	6.6485e+10 	2.1672e+13 	926.896	1.19846e+12	4.56135	5  	2  	0.771965
26 	0.687824	1.76205e+06	4.67541e+08	926.702	2.59054e+07	4.6422 	5  	1  	0.776445
27 	0.732141	4.56962e+06	9.68909e+08	875.581	5.9326e+07 	4.71951	5  	1  	0.698856
28 	0.752945	1.94244e+08	6.35401e+10	875.581	3.4977e+09 	4.79027	5  	1  	0.615229
29 	0.756532	1.4689e+06 	4.7011e+08 	875.581	2.58431e+07	4.76364	5  	1  	0.668702
30 	0.784402	6.54788e+10	2.16721e+13	814.087	1.18941e+12	4.7855 	5  	1  	0.586274
31 	0.785027	2.14201e+08	6.1465e+10 	814.087	3.40764e+09	4.81024	5  	1  	0.608784
32 	0.812751	2.23128e+06	6.52333e+08	814.087	3.57426e+07	4.84384	5  	1  	0.530963
33 	0.843066	1.97483e+08	6.55091e+10	813.699	3.57908e+09	4.91018	5  	1  	0.39193 
34 	0.856314	3.62162e+06	6.49587e+08	813.699	4.34151e+07	4.90149	5  	1  	0.429332
35 	0.881227	3.22521e+06	9.3692e+08 	789.844	5.10823e+07	4.84226	5  	1  	0.563365
36 	0.89195 	4.49319e+08	8.6556e+10 	789.844	5.84059e+09	4.92582	5  	1  	0.322938
37 	0.883998	6.41197e+10	2.16719e+13	789.844	1.17705e+12	4.86095	5  	2  	0.45659 
38 	0.906149	360606     	1.91844e+07	789.844	2.21775e+06	4.88201	5  	1  	0.464936
39 	0.934207	197860     	1.91692e+07	782.141	1.6545e+06 	4.88824	5  	1  	0.513789
40 	0.928628	7.45526e+08	2.5409e+11 	782.141	1.37395e+10	4.90323	5  	1  	0.418791
41 	0.948487	4.23362e+06	6.50083e+08	781.429	4.95917e+07	4.91813	5  	1  	0.396282
42 	0.952234	1.12416e+09	2.54115e+11	779.218	1.45663e+10	4.87464	5  	1  	0.487779
43 	0.965201	2.12927e+08	6.35023e+10	770.003	3.45626e+09	4.88081	5  	1  	0.511818
44 	0.99009 	2.14862e+08	6.35141e+10	769.656	3.45214e+09	4.93043	5  	1  	0.358461
45 	0.984547	311355     	1.9208e+07 	767.326	2.1825e+06 	4.86705	5  	1  	0.573712
46 	0.999586	366215     	1.94584e+07	767.326	2.37441e+06	4.90778	5  	1  	0.419445
47 	1.03303 	319295     	1.9127e+07 	755.105	2.22392e+06	4.92529	5  	2  	0.401354
48 	1.04582 	254506     	1.87108e+07	755.105	1.81399e+06	4.93983	5  	1  	0.319995
49 	1.04868 	2.13597e+06	6.51192e+08	755.105	3.48e+07   	4.90571	5  	1  	0.489573
50 	1.07283 	589570     	7.50015e+07	740.237	5.73526e+06	4.93162	5  	1  	0.407756
51 	1.09378 	487871     	7.52238e+07	737.808	4.4042e+06 	4.9517 	5  	1  	0.292807
52 	1.10304 	2.64148e+13	9.32436e+15	737.808	4.95582e+14	4.98584	5  	4  	0.118168
53 	1.14514 	2.63402e+13	9.32442e+15	737.808	4.94887e+14	4.9661 	5  	2  	0.289131
54 	1.15879 	382035     	1.88104e+07	717.319	2.23445e+06	4.98592	5  	2  	0.175464
55 	1.18173 	6.54807e+12	2.33111e+15	707.696	1.23375e+14	4.9691 	5  	1  	0.283736
56 	1.16935 	365438     	7.38115e+07	700.624	4.19394e+06	4.92717	5  	1  	0.449421
