x,y,"f(x,y)","f*(x,y)"
1.0,0.0,0.5,0.743126
-0.8,3.0,1.27838377796,1.25724
4.4,-5.0,1.99574163423,2.11311
1.8,0.8,1.20360421852,1.12325
-3.4,4.4,1.98991151277,2.11078
3.4,-1.8,1.90559775306,1.71594
2.2,1.0,1.45905935097,1.33666
0.6,4.6,1.11250246004,1.07889
-3.2,2.6,1.96913896787,1.74302
-2.8,-4.8,1.98211092889,1.99436
3.2,3.2,1.98110669539,1.96484
3.8,-3.0,1.98303191796,1.88992
-1.4,1.8,1.70648201597,1.28649
-4.6,-2.0,1.9389480363,1.65406
-2.2,3.8,1.95428639089,1.84038
-1.0,4.8,1.49811974121,1.51144
-4.4,-0.8,1.28791797823,1.3049
-2.4,-1.0,1.47074107469,1.23335
0.8,-4.6,1.28835046562,1.43693
-0.4,3.4,1.01753343435,1.13208
1.4,-0.6,0.908187591693,0.97987
0.0,3.6,0.994081494817,1.0156
1.2,0.4,0.699609655289,0.776703
-2.6,-3.2,1.96913896787,1.90353
-2.0,-2.4,1.91191754528,1.66594
2.0,2.2,1.90023582156,1.44247
1.6,-2.2,1.82667215172,1.24991
-3.8,-3.6,1.98930853473,2.06243
0.4,4.2,1.02175761243,1.02717
-0.6,-3.8,1.10995793425,1.27124
-5.0,-0.4,1.0233635558,1.45265
-4.8,-2.8,1.98211092889,1.89518
-4.2,0.2,0.998394056728,1.43839
3.0,1.4,1.78126157541,1.74956
3.6,-4.4,1.99142057313,1.87944
2.8,-1.6,1.85160398842,1.5392
-3.6,1.6,1.86169429556,1.61538
2.4,2.4,1.94148214938,1.62835
-4.0,4.0,1.99221789883,2.1272
4.2,2.0,1.93797308313,2.30305
-0.2,1.2,0.676246099583,0.813053
-1.2,-3.4,1.66722108985,1.37932
4.8,-4.2,1.99491635376,2.19592
2.6,-2.6,1.95717124034,1.54715
4.6,-1.2,1.67242022111,1.82211
4.0,0.6,1.11083984375,1.89701
-1.8,-0.2,0.914622762795,0.965167
0.2,2.8,0.985588631862,0.923543
-1.6,-1.4,1.66106949811,1.33568
-3.0,-4.0,1.98391382747,2.12486
