   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min      	std        	avg    	max	min	std     
0  	0.143961	inf        	inf        	0.236065 	nan        	1.62791	4  	1  	0.65294 
1  	0.142373	94.1904    	13398.5    	0.236065 	853.489    	1.69205	5  	1  	0.751072
2  	0.144917	inf        	inf        	0.236065 	nan        	1.74917	4  	1  	0.830399
3  	0.144274	78.1573    	13398.5    	0.236065 	816.018    	1.77632	5  	1  	0.88628 
4  	0.146781	98.8539    	13483      	0.236065 	883.93     	1.83934	6  	1  	0.966874
5  	0.148436	64.2719    	13398.5    	0.236065 	823.976    	1.98693	6  	1  	1.02254 
6  	0.150529	25.19      	3362.22    	0.223758 	270.184    	2.12704	6  	1  	1.04312 
7  	0.152932	10.3771    	984.601    	0.223758 	87.2952    	2.27273	7  	1  	1.04926 
8  	0.155118	66.4008    	6797.02    	0.173361 	626.264    	2.46278	10 	1  	1.25776 
9  	0.155886	32.0288    	6194.7     	0.173361 	398.623    	2.55161	10 	1  	1.38736 
10 	0.159747	6.12533    	843.984    	0.173361 	50.9908    	2.75241	9  	1  	1.55079 
11 	0.165089	1.99576    	80.9281    	0.153238 	7.21113    	3.00962	9  	1  	1.76593 
12 	0.171471	3.19489e+57	1e+60      	0.148161 	5.6433e+58 	3.42492	14 	1  	2.16307 
13 	0.179666	17.5199    	3765.92    	0.148161 	216.912    	3.88854	14 	1  	2.36016 
14 	0.185388	inf        	inf        	0.148161 	nan        	4.25397	14 	1  	2.47763 
15 	0.19397 	66.2133    	13376.2    	0.145122 	826.971    	4.87342	15 	1  	2.67959 
16 	0.207182	42.2209    	6204.71    	0.123014 	490.585    	5.49842	17 	1  	3.01482 
17 	0.22118 	3.14465e+57	1e+60      	0.123014 	5.5989e+58 	6.24843	18 	1  	3.26953 
18 	0.234768	3.1348e+57 	1e+60      	0.115267 	5.59014e+58	6.84013	26 	1  	3.42078 
19 	0.250094	3.125e+57  	1e+60      	0.115267 	5.58143e+58	7.41875	26 	1  	3.77735 
20 	0.275174	7.42822    	1826.42    	0.115267 	102.403    	8.31464	29 	1  	4.29345 
21 	0.294586	3.10559e+57	1e+60      	0.115267 	5.56412e+58	9.20807	30 	1  	4.67485 
22 	0.322228	46.4572    	11635      	0.115267 	654.225    	10.1734	30 	1  	5.11366 
23 	0.345   	1.70539    	183.562    	0.110482 	11.3287    	11.2901	33 	1  	6.11079 
24 	0.376144	6.15385e+57	1e+60      	0.110482 	7.82047e+58	12.1815	33 	1  	6.84382 
25 	0.423753	83.7781    	22774.9    	0.10746  	1273.65    	13.9356	33 	2  	7.26189 
26 	0.451416	6.11621e+57	1e+60      	0.106109 	7.79667e+58	15.0887	33 	1  	7.53634 
27 	0.46377 	7.80594    	2126.93    	0.106109 	117.766    	14.9878	34 	3  	7.21236 
28 	0.503496	9.11854e+57	1e+60      	0.0830702	9.50547e+58	16.3343	34 	1  	7.23787 
29 	0.549227	32.5747    	9706.58    	0.0830702	535.493    	17.7667	34 	2  	7.3668  
30 	0.595064	6.0423e+57 	1e+60      	0.0830702	7.7497e+58 	18.7281	34 	2  	7.01994 
31 	0.64714 	0.70176    	49.9472    	0.0830702	3.96918    	19.9578	34 	1  	7.54253 
32 	0.666657	0.533418   	77.2106    	0.0830702	4.33306    	20.4144	34 	3  	8.28269 
33 	0.685412	2.99401e+57	1e+60      	0.0808482	5.46356e+58	21.1317	34 	1  	8.20986 
34 	0.713943	0.256314   	7.5573     	0.0808482	0.631557   	22.1701	34 	4  	8.04452 
35 	0.717662	2.97619e+57	1e+60      	0.0805333	5.44732e+58	22.2202	34 	1  	7.86677 
36 	0.767049	2.96736e+57	1e+60      	0.0790834	5.43926e+58	23.4095	34 	5  	7.457   
37 	0.796079	2.95858e+27	1e+30      	0.0784952	5.43123e+28	23.2722	34 	1  	7.60352 
38 	0.897317	93.7292    	29549.2    	0.0697679	1606.36    	24.6519	34 	1  	7.042   
39 	1.00674 	93.5958    	31717.7    	0.059    	1717.59    	26.5971	34 	1  	6.41913 
40 	1.07285 	8.79765e+57	1e+60      	0.059    	9.33823e+58	27.176 	34 	3  	5.9984  
41 	1.14646 	587.489    	107446     	0.0565863	7676.71    	27.9503	34 	6  	4.66233 
42 	1.20728 	0.186774   	9.64388    	0.05225  	0.727374   	28.3032	34 	6  	4.41983 
43 	1.22931 	130.392    	44793.9    	0.05225  	2411.6     	28.4244	34 	6  	4.91025 
44 	1.26069 	2.89855e+57	1e+60      	0.0483589	5.37601e+58	28.8928	34 	8  	3.9982  
45 	1.24861 	5.78035e+57	1e+60      	0.0483589	7.58085e+58	28.3613	34 	2  	4.72414 
46 	1.26118 	0.258995   	34.7487    	0.0483589	1.93204    	28.8559	34 	6  	4.30361 
