   	        	                      fitness                      	              size              
   	        	---------------------------------------------------	--------------------------------
gen	time    	avg        	max    	min      	std        	avg    	max	min	std     
0  	0.125358	7.15254    	387.11 	0.372053 	28.3571    	1.61794	4  	1  	0.669862
1  	0.125605	63.8102    	15614  	0.291608 	907.875    	1.72848	4  	1  	0.736321
2  	0.125675	101.55     	15835.1	0.291608 	1111.45    	1.76238	5  	1  	0.822319
3  	0.127171	3.45828    	289.14 	0.291608 	17.7239    	1.75   	5  	1  	0.796786
4  	0.127324	2.92321    	280.56 	0.291608 	16.7618    	1.71803	4  	1  	0.754768
5  	0.128496	7.68213    	987.609	0.291608 	60.34      	1.81373	5  	1  	0.840911
6  	0.131748	2.40456    	79.2277	0.291443 	6.68672    	2.07818	5  	1  	0.839039
7  	0.134024	8.29083    	1778.79	0.285338 	102.117    	2.32143	5  	1  	0.858832
8  	0.136547	4.60211    	126.797	0.139228 	17.9029    	2.46278	5  	1  	0.976789
9  	0.138728	14.8163    	3954.34	0.139228 	224.435    	2.7    	5  	1  	1.13465 
10 	0.140699	1.89453    	76.0162	0.139228 	6.44482    	2.78457	5  	1  	1.09745 
11 	0.142607	4.02583    	442.296	0.13222  	29.253     	2.86859	5  	1  	1.143   
12 	0.144967	2.17796    	69.8166	0.129922 	6.5765     	2.91374	5  	1  	1.23665 
13 	0.146959	2.51006    	79.9849	0.129922 	8.16566    	2.97771	5  	1  	1.22454 
14 	0.149261	1.72965    	66.6658	0.129922 	5.52859    	3.2254 	5  	1  	1.2228  
15 	0.154459	6.9688     	1511.29	0.125054 	85.1565    	3.50633	5  	1  	1.14873 
16 	0.156906	3.69633    	661.188	0.109679 	37.2649    	3.53943	5  	1  	1.11875 
17 	0.15833 	3.11228    	153.787	0.109679 	13.5373    	3.54403	5  	1  	1.18545 
18 	0.159869	inf        	inf    	0.122278 	nan        	3.51411	5  	1  	1.19781 
19 	0.162359	3.125e+57  	1e+60  	0.108946 	5.58143e+58	3.7375 	5  	1  	1.16451 
