   	         	                          fitness                          	              size              
   	         	-----------------------------------------------------------	--------------------------------
gen	time     	avg        	max        	min       	std        	avg    	max	min	std     
0  	0.093879 	inf        	inf        	0.337738  	nan        	1.62791	4  	1  	0.66803 
1  	0.0830576	inf        	inf        	0.263984  	nan        	1.69205	4  	1  	0.714933
2  	0.0821931	inf        	inf        	0.263314  	nan        	1.70957	4  	1  	0.771699
3  	0.0855012	3.28947e+57	1e+60      	0.249855  	5.72595e+58	1.85197	5  	1  	0.903827
4  	0.0853217	inf        	inf        	0.249855  	nan        	1.94426	4  	1  	0.940966
5  	0.0886855	3.7083     	466.618    	0.246238  	27.4064    	2.31373	7  	1  	1.16018 
6  	0.0920584	380.711    	116317     	0.24382   	6627.64    	2.76873	9  	1  	1.22751 
7  	0.0947652	1.87341    	92.616     	0.218164  	7.30067    	3.14286	9  	1  	1.4344  
8  	0.0960281	6.22355e+55	1.92308e+58	0.204848  	1.09223e+57	3.26861	9  	1  	1.50587 
9  	0.0962491	9.22928    	2071.28    	0.200993  	118.664    	3.45161	8  	1  	1.52058 
10 	0.0995827	2.50073    	181.572    	0.200993  	13.929     	3.64952	9  	1  	1.67716 
11 	0.101735 	2.0804     	163.812    	0.184826  	10.2882    	4.01603	10 	1  	1.7513  
12 	0.106823 	4.1779     	294.78     	0.184826  	20.9905    	4.4377 	10 	1  	2.02779 
13 	0.110853 	2.60271    	280.61     	0.184826  	16.8794    	4.83121	10 	1  	2.10705 
14 	0.115741 	inf        	inf        	0.160176  	nan        	5.28571	10 	1  	2.09329 
15 	0.118175 	1.21714e+56	1.92308e+58	0.138811  	1.52507e+57	5.5538 	10 	1  	2.13625 
16 	0.122581 	1.81484    	128.777    	0.119903  	8.57342    	5.76341	10 	1  	2.33966 
17 	0.123926 	2.60339    	163.004    	0.119903  	13.6526    	5.93711	10 	1  	2.40331 
18 	0.127517 	3.1348e+57 	1e+60      	0.119903  	5.59014e+58	6.14734	10 	1  	2.47247 
19 	0.130385 	8.74308    	2449.53    	0.115313  	136.769    	6.63438	10 	1  	2.35466 
20 	0.131522 	0.860433   	24.3009    	0.0793454 	2.42466    	6.70093	10 	1  	2.48941 
21 	0.136792 	1.35196    	78.2245    	0.0793454 	5.74947    	6.6118 	10 	1  	2.52717 
22 	0.135668 	3.09598e+57	1e+60      	0.0793454 	5.55553e+58	6.63158	10 	1  	2.35092 
23 	0.139006 	1.07277    	54.0382    	0.0589706 	3.89532    	6.80864	10 	1  	2.24443 
24 	0.144856 	inf        	inf        	0.0568954 	nan        	7.14462	10 	1  	2.19384 
25 	0.148021 	inf        	inf        	0.0502706 	nan        	7.2362 	10 	1  	2.25438 
26 	0.150295 	1.36231    	128.823    	0.0487303 	8.35249    	7.52599	10 	1  	2.10252 
27 	0.154601 	5.86304e+55	1.92308e+58	0.0487303 	1.06022e+57	7.78049	10 	1  	1.93822 
28 	0.157281 	3.03951e+57	1e+60      	0.0487291 	5.50479e+58	7.79331	10 	1  	2.00906 
29 	0.155489 	5.82751e+55	1.92308e+58	0.0419885 	1.05701e+57	7.76061	10 	2  	1.8175  
30 	0.154988 	3.07925e+57	1e+60      	0.0419885 	5.48888e+58	7.61027	10 	1  	2.01559 
31 	0.155514 	1.26886    	129.526    	0.0405465 	7.68946    	7.76506	10 	1  	1.94168 
32 	0.158491 	0.679803   	39.5592    	0.0405465 	3.29935    	7.85886	10 	1  	1.95318 
33 	0.160635 	3.74859    	990.574    	0.0405465 	54.161     	7.97605	10 	2  	1.95749 
34 	0.16036  	1.52705    	130.47     	0.0405465 	9.65071    	8      	10 	1  	1.97446 
35 	0.166647 	5.72344e+55	1.92308e+58	0.0405465 	1.04756e+57	8.17262	10 	1  	1.96698 
36 	0.167792 	5.70646e+55	1.92308e+58	0.0405465 	1.04601e+57	8.39466	10 	1  	1.8605  
37 	0.16923  	3.01548e+57	1e+60      	0.0402913 	5.43193e+58	8.46746	10 	2  	1.87804 
