   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min      	std        	avg    	max	min	std     
0  	0.194505	inf        	inf        	0.3422   	nan        	1.6113 	4  	1  	0.655976
1  	0.196424	inf        	inf        	0.247303 	nan        	1.69536	4  	1  	0.695238
2  	0.197528	inf        	inf        	0.247303 	nan        	1.71947	4  	1  	0.742743
3  	0.19873 	inf        	inf        	0.247303 	nan        	1.75329	4  	1  	0.770545
4  	0.20156 	inf        	inf        	0.247303 	nan        	1.82951	5  	1  	0.859154
5  	0.204264	inf        	inf        	0.247303 	nan        	1.92484	5  	1  	0.83875 
6  	0.206591	inf        	inf        	0.247303 	nan        	2.12378	7  	1  	0.943513
7  	0.21085 	inf        	inf        	0.247303 	nan        	2.38636	7  	1  	1.07665 
8  	0.210434	inf        	inf        	0.247303 	nan        	2.38835	7  	1  	1.02303 
9  	0.210264	inf        	inf        	0.239103 	nan        	2.3    	7  	1  	0.938599
10 	0.212009	inf        	inf        	0.156339 	nan        	2.40514	7  	1  	0.929944
11 	0.210229	inf        	inf        	0.239103 	nan        	2.28526	6  	1  	0.876349
12 	0.210184	inf        	inf        	0.247303 	nan        	2.15974	6  	1  	0.779147
13 	0.209443	inf        	inf        	0.247303 	nan        	2.08599	5  	1  	0.775169
14 	0.209363	inf        	inf        	0.247303 	nan        	2.10794	6  	1  	0.748183
15 	0.213057	inf        	inf        	0.247303 	nan        	2.14241	5  	1  	0.78875 
16 	0.212098	inf        	inf        	0.247303 	nan        	2.11987	5  	1  	0.793198
17 	0.214234	inf        	inf        	0.247303 	nan        	2.14151	5  	1  	0.844203
18 	0.215771	inf        	inf        	0.247303 	nan        	2.25078	6  	1  	0.95336 
19 	0.216822	inf        	inf        	0.247303 	nan        	2.175  	6  	1  	0.912072
20 	0.217212	inf        	inf        	0.247303 	nan        	2.20561	5  	1  	0.883264
21 	0.217038	inf        	inf        	0.247303 	nan        	2.23602	7  	1  	0.915807
22 	0.219523	inf        	inf        	0.247303 	nan        	2.30341	6  	1  	0.887244
23 	0.219086	inf        	inf        	0.247303 	nan        	2.27778	6  	1  	0.947707
24 	0.222296	inf        	inf        	0.247303 	nan        	2.31692	6  	1  	0.970895
25 	0.220695	inf        	inf        	0.247303 	nan        	2.35276	9  	1  	1.01587 
26 	0.218406	inf        	inf        	0.246473 	nan        	2.23853	6  	1  	0.907654
27 	0.223163	inf        	inf        	0.246473 	nan        	2.35976	9  	1  	1.05569 
28 	0.223411	inf        	inf        	0.246473 	nan        	2.32827	7  	1  	0.958956
29 	0.224086	inf        	inf        	0.246473 	nan        	2.32121	6  	1  	0.950202
30 	0.225461	inf        	inf        	0.246473 	nan        	2.36556	6  	1  	0.987486
31 	0.226467	inf        	inf        	0.246473 	nan        	2.41867	6  	1  	1.00421 
32 	0.227711	inf        	inf        	0.246473 	nan        	2.40841	5  	1  	0.987089
33 	0.23097 	inf        	inf        	0.229721 	nan        	2.49102	7  	1  	1.04605 
34 	0.234728	inf        	inf        	0.229721 	nan        	2.5791 	7  	1  	1.10852 
35 	0.240617	inf        	inf        	0.190977 	nan        	2.78274	7  	1  	1.25017 
36 	0.245091	inf        	inf        	0.190977 	nan        	2.95549	9  	1  	1.50008 
37 	0.252912	inf        	inf        	0.158344 	nan        	3.26036	9  	1  	1.51822 
38 	0.262106	6.74252e+55	5.71429e+57	0.158344 	6.17042e+56	3.54277	12 	1  	1.71419 
39 	0.268284	inf        	inf        	0.158344 	nan        	3.77353	9  	1  	1.79997 
40 	0.269364	inf        	inf        	0.158344 	nan        	3.92082	9  	1  	1.8875  
41 	0.287029	inf        	inf        	0.149258 	nan        	4.58772	11 	1  	2.04687 
42 	0.310486	inf        	inf        	0.131263 	nan        	5.44023	11 	1  	2.1179  
43 	0.324251	inf        	inf        	0.131263 	nan        	6.07267	13 	1  	2.29457 
44 	0.339796	9.93789e+55	5.71429e+57	0.131263 	7.46996e+56	6.65797	15 	1  	2.35147 
45 	0.351965	inf        	inf        	0.0731449	nan        	7.14451	17 	1  	2.68736 
46 	0.35663 	inf        	inf        	0.0731449	nan        	7.47839	19 	1  	3.08225 
47 	0.375788	inf        	inf        	0.0731449	nan        	8.14943	21 	1  	3.43755 
48 	0.384647	inf        	inf        	0.0731449	nan        	8.6361 	20 	2  	3.52672 
49 	0.399449	inf        	inf        	0.0713606	nan        	9.19714	29 	1  	4.15328 
50 	0.41241 	8.14001e+55	5.71429e+57	0.0713606	6.77139e+56	9.52137	31 	1  	4.48028 
51 	0.422164	6.49351e+55	5.71429e+57	0.0708442	6.05674e+56	9.76989	29 	1  	4.74831 
52 	0.443173	inf        	inf        	0.0708442	nan        	10.4589	32 	1  	5.71308 
53 	0.488087	4.84262e+55	5.71429e+57	0.0603904	5.23809e+56	12.1525	32 	2  	6.10727 
54 	0.522691	4.82897e+55	5.71429e+57	0.0344755	5.23077e+56	13.0254	32 	2  	6.34252 
