   	        	                fitness                	              size              
   	        	---------------------------------------	--------------------------------
gen	time    	avg    	max    	min     	std    	avg    	max	min	std     
0  	0.118083	inf    	inf    	0.230878	nan    	1.52159	5  	1  	0.644707
1  	0.118556	inf    	inf    	0.230878	nan    	1.62252	4  	1  	0.720942
2  	0.118941	inf    	inf    	0.230878	nan    	1.65347	4  	1  	0.728065
3  	0.117877	inf    	inf    	0.230878	nan    	1.60526	5  	1  	0.757922
4  	0.117773	inf    	inf    	0.230878	nan    	1.6    	4  	1  	0.757909
5  	0.118488	6.18026	256.112	0.230878	21.8105	1.6634 	5  	1  	0.746079
6  	0.121173	5.3989 	133.142	0.230878	16.1423	1.76221	4  	1  	0.818439
7  	0.123901	inf    	inf    	0.230878	nan    	1.88961	6  	1  	0.886857
8  	0.122789	inf    	inf    	0.230878	nan    	1.97087	5  	1  	0.860379
9  	0.126007	inf    	inf    	0.230878	nan    	2.11613	6  	1  	1.00934 
10 	0.126082	inf    	inf    	0.230878	nan    	2.18971	5  	1  	0.958642
11 	0.127899	inf    	inf    	0.230878	nan    	2.26282	5  	1  	0.964845
12 	0.127219	inf    	inf    	0.230878	nan    	2.27476	6  	1  	0.915557
13 	0.130797	inf    	inf    	0.230878	nan    	2.38854	6  	1  	0.971896
14 	0.129302	inf    	inf    	0.230878	nan    	2.43492	7  	1  	1.08878 
15 	0.130938	inf    	inf    	0.230878	nan    	2.51899	8  	1  	1.165   
16 	0.133621	inf    	inf    	0.230878	nan    	2.66562	6  	1  	1.10997 
17 	0.131594	2.98014	140.439	0.230878	14.5437	2.65409	8  	1  	1.25135 
18 	0.135624	inf    	inf    	0.230878	nan    	2.70219	8  	1  	1.32579 
19 	0.137444	inf    	inf    	0.230878	nan    	2.80625	8  	1  	1.32522 
20 	0.136942	inf    	inf    	0.230878	nan    	2.83178	10 	1  	1.45001 
21 	0.137272	inf    	inf    	0.230878	nan    	2.81677	8  	1  	1.40782 
22 	0.142628	inf    	inf    	0.230878	nan    	3.08359	8  	1  	1.58626 
23 	0.142695	52.7085	16336.3	0.230878	906.082	3.24074	9  	1  	1.66224 
24 	0.151107	inf    	inf    	0.230878	nan    	3.55692	10 	1  	1.9233  
25 	0.14687 	inf    	inf    	0.230878	nan    	3.60123	9  	1  	1.86686 
26 	0.148231	inf    	inf    	0.230878	nan    	3.77064	9  	1  	1.86534 
27 	0.150476	inf    	inf    	0.230878	nan    	3.71646	9  	1  	1.81846 
28 	0.151102	inf    	inf    	0.230878	nan    	3.68085	9  	1  	1.73423 
29 	0.15313 	inf    	inf    	0.230878	nan    	3.61212	10 	1  	1.75495 
30 	0.151477	inf    	inf    	0.230878	nan    	3.55891	10 	1  	1.62272 
31 	0.156014	inf    	inf    	0.230878	nan    	3.86446	10 	1  	1.86349 
32 	0.158358	inf    	inf    	0.230878	nan    	3.84384	10 	1  	1.824   
33 	0.155641	inf    	inf    	0.230878	nan    	3.83832	9  	1  	1.7452  
34 	0.162571	inf    	inf    	0.230878	nan    	4.17612	10 	1  	2.01976 
35 	0.163932	inf    	inf    	0.230878	nan    	4.4881 	10 	1  	1.96544 
36 	0.167186	inf    	inf    	0.230878	nan    	4.67359	10 	1  	1.98518 
