   	         	                          fitness                          	              size              
   	         	-----------------------------------------------------------	--------------------------------
gen	time     	avg        	max        	min      	std        	avg    	max	min	std     
0  	0.0956082	inf        	inf        	0.219638 	nan        	1.53156	4  	1  	0.654527
1  	0.0863154	inf        	inf        	0.219638 	nan        	1.66887	4  	1  	0.738908
2  	0.0863578	inf        	inf        	0.219638 	nan        	1.75578	5  	1  	0.81635 
3  	0.0881884	inf        	inf        	0.219638 	nan        	1.89145	5  	1  	0.905789
4  	0.0891302	inf        	inf        	0.219638 	nan        	2.02295	7  	1  	1.12036 
5  	0.0882878	inf        	inf        	0.219638 	nan        	1.96405	7  	1  	1.02677 
6  	0.0913999	inf        	inf        	0.219638 	nan        	2.14984	7  	1  	1.10537 
7  	0.0924339	3.24675e+27	1e+30      	0.209893 	5.68877e+28	2.19805	9  	1  	1.17457 
8  	0.0935974	inf        	inf        	0.209893 	nan        	2.36246	9  	1  	1.26364 
9  	0.093606 	inf        	inf        	0.209893 	nan        	2.49355	9  	1  	1.36723 
10 	0.0945804	inf        	inf        	0.208659 	nan        	2.59164	8  	1  	1.27698 
11 	0.0957661	inf        	inf        	0.208659 	nan        	2.625  	8  	1  	1.33148 
12 	0.0964282	inf        	inf        	0.208659 	nan        	2.81789	9  	1  	1.51944 
13 	0.0980463	inf        	inf        	0.208659 	nan        	2.99363	9  	1  	1.68355 
14 	0.100399 	2.32351    	80.1067    	0.208659 	7.37365    	3.22857	10 	1  	1.83402 
15 	0.104344 	inf        	inf        	0.208659 	nan        	3.76899	9  	1  	2.17882 
16 	0.111212 	inf        	inf        	0.208659 	nan        	4.15142	10 	1  	2.35944 
17 	0.112858 	inf        	inf        	0.208659 	nan        	4.44654	10 	1  	2.43054 
18 	0.114864 	inf        	inf        	0.208659 	nan        	4.73041	10 	1  	2.48306 
19 	0.118434 	inf        	inf        	0.208659 	nan        	5.09063	10 	1  	2.56806 
20 	0.121752 	inf        	inf        	0.208659 	nan        	5.31776	10 	1  	2.52439 
21 	0.12219  	inf        	inf        	0.158772 	nan        	5.45652	10 	1  	2.54762 
22 	0.130629 	inf        	inf        	0.158772 	nan        	5.9969 	10 	1  	2.44506 
23 	0.133331 	inf        	inf        	0.158772 	nan        	6.15741	10 	1  	2.54646 
24 	0.135211 	inf        	inf        	0.158772 	nan        	6.22769	10 	1  	2.40202 
25 	0.137277 	inf        	inf        	0.147944 	nan        	6.5092 	10 	1  	2.49384 
26 	0.140483 	inf        	inf        	0.147944 	nan        	6.87768	10 	1  	2.43516 
27 	0.143938 	inf        	inf        	0.147944 	nan        	7.10366	10 	1  	2.35589 
28 	0.147172 	inf        	inf        	0.147944 	nan        	7.02736	10 	1  	2.53891 
29 	0.153148 	inf        	inf        	0.147756 	nan        	7.1303 	10 	1  	2.62471 
30 	0.154763 	inf        	inf        	0.147756 	nan        	7.48338	10 	1  	2.61685 
31 	0.163067 	inf        	inf        	0.134403 	nan        	7.81928	10 	1  	2.53835 
32 	0.167983 	inf        	inf        	0.126217 	nan        	7.93093	10 	1  	2.63917 
33 	0.168855 	2.99401e+27	1e+30      	0.123548 	5.46356e+28	7.82635	10 	1  	2.68614 
34 	0.174856 	inf        	inf        	0.120106 	nan        	7.99701	10 	1  	2.64688 
35 	0.181303 	inf        	inf        	0.120106 	nan        	8.23214	10 	1  	2.57385 
36 	0.189222 	inf        	inf        	0.120106 	nan        	8.28783	10 	1  	2.54169 
37 	0.20214  	inf        	inf        	0.106264 	nan        	8.65976	10 	1  	2.18106 
38 	0.211334 	inf        	inf        	0.106264 	nan        	8.76696	10 	1  	2.21725 
39 	0.221916 	inf        	inf        	0.106264 	nan        	9.12353	10 	1  	1.83176 
40 	0.226769 	inf        	inf        	0.106264 	nan        	9.18182	10 	1  	1.77365 
41 	0.227057 	inf        	inf        	0.106264 	nan        	9.23392	10 	1  	1.51531 
42 	0.230532 	inf        	inf        	0.106264 	nan        	9.08746	10 	1  	1.78704 
43 	0.233882 	inf        	inf        	0.106264 	nan        	9.06395	10 	1  	2.01779 
44 	0.236979 	inf        	inf        	0.105536 	nan        	9.24928	10 	1  	1.76649 
45 	0.242298 	inf        	inf        	0.105536 	nan        	9.33237	10 	1  	1.60092 
46 	0.250342 	inf        	inf        	0.0997783	nan        	9.37752	10 	1  	1.66982 
47 	0.252113 	inf        	inf        	0.0997783	nan        	9.39655	10 	1  	1.45752 
48 	0.254174 	inf        	inf        	0.0997783	nan        	9.36963	10 	1  	1.61593 
