   	         	                fitness                	              size              
   	         	---------------------------------------	--------------------------------
gen	time     	avg    	max    	min     	std    	avg    	max	min	std     
0  	0.091028 	inf    	inf    	0.300248	nan    	1.51163	4  	1  	0.607837
1  	0.0869558	inf    	inf    	0.300248	nan    	1.71854	4  	1  	0.752647
2  	0.0857806	inf    	inf    	0.300248	nan    	1.71617	4  	1  	0.811613
3  	0.0865016	inf    	inf    	0.300248	nan    	1.76645	5  	1  	0.870605
4  	0.0858281	inf    	inf    	0.300248	nan    	1.74098	5  	1  	0.861827
5  	0.0873616	inf    	inf    	0.300248	nan    	1.81046	5  	1  	0.894804
6  	0.0888968	inf    	inf    	0.300248	nan    	1.91205	5  	1  	0.96287 
7  	0.089406 	inf    	inf    	0.300248	nan    	1.88312	5  	1  	0.932446
8  	0.0889277	inf    	inf    	0.300248	nan    	1.95146	5  	1  	1.00206 
9  	0.0907927	4.55851	244.103	0.300248	20.2254	2.19677	5  	1  	1.10861 
10 	0.0928073	6.27366	519.539	0.300248	38.4283	2.36013	5  	1  	1.13078 
11 	0.0947192	inf    	inf    	0.300248	nan    	2.52885	5  	1  	1.18989 
12 	0.0967042	inf    	inf    	0.300248	nan    	2.67093	5  	1  	1.23721 
13 	0.0992012	inf    	inf    	0.300248	nan    	2.77707	5  	1  	1.19766 
14 	0.0983579	inf    	inf    	0.300248	nan    	2.78095	5  	1  	1.22913 
15 	0.100203 	inf    	inf    	0.300248	nan    	2.83861	5  	1  	1.21015 
16 	0.0997624	inf    	inf    	0.300248	nan    	2.75079	5  	1  	1.16645 
17 	0.100033 	inf    	inf    	0.300248	nan    	2.83333	5  	1  	1.16577 
18 	0.0998051	inf    	inf    	0.300248	nan    	2.94044	5  	1  	1.20066 
19 	0.106031 	inf    	inf    	0.300248	nan    	3.08125	5  	1  	1.18834 
20 	0.104677 	inf    	inf    	0.300248	nan    	3.17757	5  	1  	1.19041 
21 	0.103928 	inf    	inf    	0.300248	nan    	3.09006	5  	1  	1.19313 
22 	0.104939 	inf    	inf    	0.300248	nan    	3.21672	5  	1  	1.16027 
23 	0.105416 	inf    	inf    	0.300248	nan    	3.28395	5  	1  	1.26915 
24 	0.109428 	inf    	inf    	0.300248	nan    	3.45231	5  	1  	1.28962 
25 	0.108592 	inf    	inf    	0.300248	nan    	3.56442	5  	1  	1.26072 
26 	0.111691 	inf    	inf    	0.300248	nan    	3.60856	5  	1  	1.24627 
27 	0.113896 	inf    	inf    	0.300248	nan    	3.65549	5  	1  	1.22483 
28 	0.117122 	inf    	inf    	0.300248	nan    	3.66869	5  	1  	1.20395 
29 	0.116263 	inf    	inf    	0.300248	nan    	3.74545	5  	1  	1.21183 
30 	0.113903 	inf    	inf    	0.300248	nan    	3.70393	5  	1  	1.23517 
31 	0.115195 	inf    	inf    	0.300248	nan    	3.73494	5  	1  	1.21074 
32 	0.118659 	inf    	inf    	0.300248	nan    	3.78679	5  	1  	1.28032 
33 	0.119655 	inf    	inf    	0.300248	nan    	3.71856	5  	1  	1.28271 
34 	0.119951 	inf    	inf    	0.300248	nan    	3.68358	5  	1  	1.25598 
35 	0.120519 	inf    	inf    	0.300248	nan    	3.69048	5  	1  	1.22936 
36 	0.118776 	inf    	inf    	0.300248	nan    	3.67062	5  	1  	1.21616 
37 	0.120737 	inf    	inf    	0.300248	nan    	3.68935	5  	1  	1.24318 
38 	0.12471  	inf    	inf    	0.300248	nan    	3.81711	5  	1  	1.15043 
39 	0.124631 	inf    	inf    	0.300248	nan    	3.83235	5  	1  	1.10805 
40 	0.124991 	inf    	inf    	0.300248	nan    	3.84751	5  	1  	1.14629 
41 	0.127877 	inf    	inf    	0.300248	nan    	3.98538	5  	1  	1.10147 
42 	0.134234 	inf    	inf    	0.300248	nan    	4.08746	5  	1  	1.10046 
43 	0.137834 	inf    	inf    	0.300248	nan    	4.10756	5  	1  	1.1825  
44 	0.140593 	inf    	inf    	0.300248	nan    	4.21449	5  	1  	1.03297 
45 	0.144932 	inf    	inf    	0.300248	nan    	4.25434	5  	1  	1.03636 
46 	0.144471 	inf    	inf    	0.300248	nan    	4.27089	5  	1  	0.999331
47 	0.144014 	inf    	inf    	0.300248	nan    	4.20115	5  	1  	1.02822 
48 	0.144395 	inf    	inf    	0.300248	nan    	4.26361	5  	1  	0.977905
49 	0.143057 	inf    	inf    	0.300248	nan    	4.30286	5  	1  	0.913232
50 	0.143766 	inf    	inf    	0.300248	nan    	4.2735 	5  	1  	0.902266
51 	0.146432 	inf    	inf    	0.300248	nan    	4.24432	5  	1  	0.924706
52 	0.144818 	inf    	inf    	0.300248	nan    	4.16147	5  	1  	0.933779
53 	0.144128 	inf    	inf    	0.300248	nan    	4.21469	5  	1  	0.941335
54 	0.14863  	inf    	inf    	0.300248	nan    	4.20845	5  	1  	0.990909
55 	0.145801 	inf    	inf    	0.300248	nan    	4.09551	5  	1  	1.01222 
56 	0.146314 	inf    	inf    	0.300248	nan    	4.14846	5  	1  	1.05471 
57 	0.145162 	inf    	inf    	0.300248	nan    	4.05866	5  	1  	1.08284 
58 	0.14729  	inf    	inf    	0.300248	nan    	4.06407	5  	1  	1.02276 
59 	0.148312 	inf    	inf    	0.300248	nan    	4.04444	5  	1  	1.07663 
