Altura Maxima,#Amostras,#Execucao,MSE (Melhor),Altura (Melhor),Tempo Execucao
5,2000,1,1.139305588659932,1,84.10229015350342
5,2000,2,1.1316668242092842,1,83.66047644615173
5,2000,3,1.0755757382965236,1,82.9068512916565
5,2000,4,1.1576458055389112,3,85.85593223571777
5,2000,5,1.0718071680839023,1,85.94964480400085
5,2000,6,1.0633502455882577,5,113.40541529655457
5,2000,7,1.1546538014263021,1,82.85562682151794
5,2000,8,1.1323415660856675,1,82.65713906288147
5,2000,9,1.0557784412814126,1,86.64869356155396
5,2000,10,1.0789922704640613,1,83.3963234424591
