   	        	                      fitness                      	              size              
   	        	---------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min    	std        	avg    	max	min	std     
0  	0.407754	inf        	inf        	1.07581	nan        	1.64452	4  	1  	0.664635
1  	0.40105 	1233.52    	345600     	1.07581	19851.4    	1.77152	5  	1  	0.812231
2  	0.397852	2030.23    	595399     	1.07581	34146      	1.78878	6  	1  	0.887169
3  	0.399094	2503.66    	679194     	1.07581	39020.2    	1.74671	6  	1  	0.909556
4  	0.395378	17551.6    	2.71676e+06	1.07581	179040     	1.6459 	7  	1  	0.897642
5  	0.389879	33900.2    	1.03392e+07	1.07581	590079     	1.52288	5  	1  	0.825136
6  	0.381827	101262     	3.01059e+07	1.07581	1.71574e+06	1.41694	5  	1  	0.732298
7  	0.373827	4256.36    	679111     	1.07581	47168.1    	1.26948	4  	1  	0.536442
8  	0.377649	16534.3    	1.25249e+06	1.07581	138182     	1.30421	4  	1  	0.595029
9  	0.377773	5060.94    	679054     	1.07581	54913.5    	1.29355	4  	1  	0.601844
10 	0.37706 	2259.37    	679031     	1.07458	38440.3    	1.27653	4  	1  	0.573304
11 	0.381377	250685     	7.81878e+07	1.07458	4.41941e+06	1.30128	3  	1  	0.624498
12 	0.400275	60383.5    	1.64297e+07	1.07458	931828     	1.40895	5  	1  	0.744854
13 	0.405886	6526.24    	2.01205e+06	1.07458	113360     	1.44586	5  	1  	0.764623
14 	0.410781	4064.2     	1.25265e+06	1.07458	70462.5    	1.52698	5  	1  	0.877443
15 	0.425178	1.00593e+06	3.16587e+08	1.07458	1.77811e+07	1.60759	5  	1  	0.888288
16 	0.426109	5394.16    	1.5151e+06 	1.07458	85472.9    	1.62776	5  	1  	0.912714
17 	0.440414	9898.65    	1.18339e+06	1.07458	101087     	1.71069	5  	1  	0.923801
18 	0.444684	inf        	inf        	1.07458	nan        	1.76803	5  	1  	1.00287 
19 	0.453718	80.9292    	3412.66    	1.07458	302.013    	1.90312	7  	1  	1.01242 
20 	0.455357	7868.42    	1.25427e+06	1.07458	98627.1    	1.90031	5  	1  	0.987161
21 	0.46775 	10718.8    	1.25497e+06	1.07407	105806     	1.96894	5  	1  	1.01799 
22 	0.46205 	inf        	inf        	1.07407	nan        	1.9195 	5  	1  	1.04379 
23 	0.466463	6405.29    	1.19171e+06	1.071  	76516.6    	1.96605	7  	1  	1.0952  
24 	0.466253	6048.8     	1.25875e+06	1.071  	79107.9    	1.95077	6  	1  	1.10831 
25 	0.472225	7364.6     	1.18486e+06	1.071  	92512.3    	2.04294	7  	1  	1.23273 
26 	0.495895	175.023    	20127      	1.07024	1183.93    	2.20489	7  	1  	1.38059 
27 	0.529487	3838.02    	1.18486e+06	1.07024	65316.4    	2.53354	8  	1  	1.54765 
28 	0.558413	7555.55    	1.25202e+06	1.06941	94783.9    	2.89666	9  	1  	1.82226 
29 	0.607229	23175.6    	1.71059e+06	1.06824	157652     	3.28485	9  	1  	2.03695 
30 	0.660388	5962.98    	1.25095e+06	1.06941	77970.5    	3.71299	10 	1  	2.30311 
31 	0.732264	177.21     	7668.39    	1.06875	667.792    	4.43976	10 	1  	2.37824 
32 	0.788387	229.71     	13612.4    	1.06862	1160.95    	4.95796	10 	1  	2.34387 
33 	0.861495	2.99401e+57	1e+60      	1.066  	5.46356e+58	5.56287	10 	1  	2.28388 
34 	0.895082	9012.33    	679113     	1.066  	74349      	5.6209 	10 	1  	2.36823 
35 	0.927507	2.97619e+57	1e+60      	1.06544	5.44732e+58	5.92857	10 	1  	2.35426 
36 	0.995518	64.2527    	3408.07    	1.06544	318.039    	6.47774	10 	1  	2.18579 
37 	1.06826 	2.95858e+57	1e+60      	1.06511	5.43123e+58	6.65089	10 	1  	2.32736 
38 	1.09345 	3746.61    	1.25265e+06	1.06511	67931.8    	6.83776	10 	1  	2.23282 
39 	1.14289 	2.94118e+57	1e+60      	1.06153	5.41528e+58	6.96765	10 	1  	2.22065 
40 	1.14604 	3740.92    	1.25265e+06	1.06153	67732.4    	7.02639	10 	1  	2.36839 
41 	1.17154 	61.0591    	3408.09    	1.06153	351.503    	7.43567	10 	1  	2.11655 
42 	1.20926 	58.145     	3488.16    	1.06153	354.837    	7.59767	10 	1  	2.22002 
43 	1.26356 	3489.77    	1.18958e+06	1.06153	64042.9    	7.75872	10 	1  	2.01085 
44 	1.27544 	44.2736    	3427.52    	1.06153	243.495    	7.66087	10 	1  	2.08467 
45 	1.31804 	54.6559    	3409.46    	1.06153	374.302    	7.77457	10 	1  	1.88883 
46 	1.4078  	79.8274    	3409.46    	1.06153	431.628    	7.80403	10 	1  	1.92711 
47 	1.48929 	2.87356e+57	1e+60      	1.06153	5.35286e+58	7.97989	10 	1  	1.78987 
48 	1.52865 	1993.74    	679063     	1.06074	36296.3    	8.03438	10 	1  	1.95331 
49 	1.59258 	24.3011    	854.482    	1.06074	135.994    	8.29143	10 	1  	1.85185 
50 	1.68212 	44.5927    	3410.26    	1.05544	330.41     	8.50142	10 	1  	1.426   
51 	1.70447 	inf        	inf        	1.05544	nan        	8.43182	10 	1  	1.76323 
52 	1.69629 	52.0029    	7662.97    	1.05544	434.216    	8.39943	10 	1  	1.59734 
53 	1.75348 	91.8089    	3940.42    	1.05544	475.802    	8.4435 	10 	1  	1.75584 
54 	1.84128 	46.6606    	3409.51    	1.05544	292.706    	8.63662	10 	1  	1.73783 
55 	1.88271 	971.181    	323613     	1.05544	17127      	8.69663	10 	1  	1.7556  
56 	1.93526 	42.7282    	3957.2     	1.05544	345.873    	8.80112	10 	1  	1.56903 
57 	1.94839 	32.012     	3405.57    	1.05544	271.629    	8.82123	10 	1  	1.41871 
58 	2.02202 	934.969    	323613     	1.05544	17055.8    	8.79944	10 	1  	1.45265 
59 	2.08354 	29.3183    	3408.09    	1.05544	224.056    	8.81111	10 	1  	1.39757 
60 	2.11711 	33.8299    	3408.07    	1.05544	224.814    	8.7867 	10 	1  	1.515   
61 	2.16884 	18.1349    	855.117    	1.05377	116.407    	8.92541	10 	1  	1.35127 
