Altura Maxima,#Amostras,#Execucao,MSE (Melhor),Altura (Melhor),Tempo Execucao
34,3000,1,1.1116881244782153,14,149.4727804660797
34,3000,2,1.0932295179129927,1,120.56415176391602
34,3000,3,1.117275353679197,1,121.71400117874146
34,3000,4,1.1030509352254516,1,120.68471837043762
34,3000,5,1.1305899096152294,1,122.88163757324219
34,3000,6,1.1355591121241004,1,121.18015456199646
34,3000,7,1.1313611003080297,1,120.51326322555542
34,3000,8,1.128260696843361,1,120.42167115211487
34,3000,9,1.0874355203878165,21,685.5267806053162
34,3000,10,1.1095196485871999,3,122.78292083740234
