   	       	          fitness          	              size              
   	       	---------------------------	--------------------------------
gen	time   	avg	max	min    	std	avg    	max	min	std     
0  	3.63629	inf	inf	1.12371	nan	1.63787	5  	1  	0.666045
1  	3.54359	inf	inf	1.12371	nan	1.66556	5  	1  	0.726102
2  	3.49401	inf	inf	1.12371	nan	1.71617	4  	1  	0.769876
3  	3.48604	inf	inf	1.12371	nan	1.69737	4  	1  	0.854858
4  	3.51701	inf	inf	1.12371	nan	1.62295	4  	1  	0.771712
5  	3.48696	inf	inf	1.12371	nan	1.51634	5  	1  	0.763588
6  	3.50276	inf	inf	1.12371	nan	1.4886 	5  	1  	0.741313
7  	3.45962	inf	inf	1.12371	nan	1.41558	4  	1  	0.671317
8  	3.58222	inf	inf	1.12371	nan	1.53074	5  	1  	0.794312
9  	3.60852	inf	inf	1.12371	nan	1.54194	5  	1  	0.751246
10 	3.53071	inf	inf	1.12371	nan	1.47267	4  	1  	0.693372
11 	3.50639	inf	inf	1.12371	nan	1.43269	4  	1  	0.703896
12 	3.59343	inf	inf	1.12371	nan	1.42492	5  	1  	0.742342
13 	3.5088 	inf	inf	1.12371	nan	1.33758	5  	1  	0.668244
14 	3.52877	inf	inf	1.12371	nan	1.34603	4  	1  	0.669713
15 	3.60932	inf	inf	1.12371	nan	1.39873	4  	1  	0.683808
16 	3.55596	inf	inf	1.12371	nan	1.35962	4  	1  	0.70376 
17 	3.5711 	inf	inf	1.12371	nan	1.34906	4  	1  	0.649757
18 	3.58905	inf	inf	1.12371	nan	1.33856	4  	1  	0.656379
19 	3.5616 	inf	inf	1.12371	nan	1.34688	4  	1  	0.69484 
20 	3.54687	inf	inf	1.12371	nan	1.31464	4  	1  	0.624578
21 	3.567  	inf	inf	1.12371	nan	1.32919	4  	1  	0.652529
22 	3.57285	inf	inf	1.12371	nan	1.29721	5  	1  	0.652377
23 	3.69095	inf	inf	1.12371	nan	1.35494	4  	1  	0.65306 
24 	3.59843	inf	inf	1.12371	nan	1.31077	3  	1  	0.596431
25 	3.59214	inf	inf	1.12371	nan	1.30368	3  	1  	0.619062
26 	3.67503	inf	inf	1.12371	nan	1.3578 	5  	1  	0.719194
27 	3.66906	inf	inf	1.12371	nan	1.34146	5  	1  	0.684667
28 	3.64306	inf	inf	1.12371	nan	1.31003	4  	1  	0.60989 
29 	3.71315	inf	inf	1.12371	nan	1.32121	4  	1  	0.617795
30 	3.65081	inf	inf	1.12371	nan	1.30514	4  	1  	0.597531
31 	3.75165	inf	inf	1.12371	nan	1.31928	4  	1  	0.606582
32 	3.70822	inf	inf	1.12371	nan	1.27327	4  	1  	0.600631
33 	3.67036	inf	inf	1.12371	nan	1.23353	3  	1  	0.494837
