   	        	                  fitness                  	              size              
   	        	-------------------------------------------	--------------------------------
gen	time    	avg        	max   	min    	std        	avg    	max	min	std     
0  	0.402307	inf        	inf   	1.14768	nan        	1.6412 	4  	1  	0.660336
1  	0.403407	inf        	inf   	1.14768	nan        	1.78146	4  	1  	0.766812
2  	0.39364 	inf        	inf   	1.14768	nan        	1.79208	5  	1  	0.761926
3  	0.410396	inf        	inf   	1.14768	nan        	1.84539	6  	1  	0.846303
4  	0.407544	inf        	inf   	1.14768	nan        	1.74098	6  	1  	0.861827
5  	0.400609	1366.47    	371736	1.14768	21215.4    	1.58824	6  	1  	0.784069
6  	0.394791	inf        	inf   	1.14768	nan        	1.48208	4  	1  	0.762841
7  	0.380179	inf        	inf   	1.14768	nan        	1.31818	4  	1  	0.615857
8  	0.379902	inf        	inf   	1.14768	nan        	1.3301 	4  	1  	0.624033
9  	0.381953	inf        	inf   	1.14768	nan        	1.29677	3  	1  	0.569937
10 	0.377898	inf        	inf   	1.14768	nan        	1.29582	4  	1  	0.574889
11 	0.380678	inf        	inf   	1.14768	nan        	1.30769	4  	1  	0.631597
12 	0.394605	inf        	inf   	1.14768	nan        	1.36422	4  	1  	0.688749
13 	0.391521	inf        	inf   	1.14768	nan        	1.33758	4  	1  	0.643974
14 	0.387636	inf        	inf   	1.14768	nan        	1.34921	4  	1  	0.675154
15 	0.393983	inf        	inf   	1.14768	nan        	1.34494	4  	1  	0.634957
16 	0.383066	inf        	inf   	1.14768	nan        	1.25868	4  	1  	0.569433
17 	0.388966	inf        	inf   	1.14768	nan        	1.27987	4  	1  	0.572128
18 	0.39026 	inf        	inf   	1.14768	nan        	1.25078	4  	1  	0.512958
19 	0.388959	inf        	inf   	1.14768	nan        	1.26875	3  	1  	0.561492
20 	0.386064	inf        	inf   	1.14768	nan        	1.24299	4  	1  	0.532574
21 	0.390053	inf        	inf   	1.14768	nan        	1.26708	4  	1  	0.581898
22 	0.394325	9.28793e+27	1e+30 	1.14768	9.59253e+28	1.26006	3  	1  	0.594492
23 	0.401526	inf        	inf   	1.14768	nan        	1.30247	4  	1  	0.634302
24 	0.394148	inf        	inf   	1.14768	nan        	1.26154	3  	1  	0.55683 
25 	0.393153	inf        	inf   	1.14768	nan        	1.24847	5  	1  	0.628745
26 	0.399865	inf        	inf   	1.14768	nan        	1.26606	4  	1  	0.600339
27 	0.397931	inf        	inf   	1.14768	nan        	1.25   	3  	1  	0.567139
28 	0.398319	inf        	inf   	1.14768	nan        	1.24012	4  	1  	0.562318
29 	0.40738 	inf        	inf   	1.14768	nan        	1.27879	4  	1  	0.618776
30 	0.393595	inf        	inf   	1.14768	nan        	1.21752	5  	1  	0.561446
31 	0.405524	inf        	inf   	1.14768	nan        	1.2741 	5  	1  	0.654128
32 	0.405237	inf        	inf   	1.14768	nan        	1.28829	5  	1  	0.693869
33 	0.406188	inf        	inf   	1.14768	nan        	1.26647	5  	1  	0.612457
34 	0.411726	inf        	inf   	1.14768	nan        	1.28955	5  	1  	0.625129
35 	0.411211	inf        	inf   	1.14768	nan        	1.28571	4  	1  	0.613759
36 	0.409396	inf        	inf   	1.14768	nan        	1.23739	4  	1  	0.568743
37 	0.410226	inf        	inf   	1.14768	nan        	1.23373	3  	1  	0.528858
38 	0.406046	inf        	inf   	1.14768	nan        	1.21534	3  	1  	0.51319 
39 	0.428463	inf        	inf   	1.14768	nan        	1.30882	4  	1  	0.624437
40 	0.417088	inf        	inf   	1.14768	nan        	1.29619	4  	1  	0.647769
41 	0.408685	inf        	inf   	1.14768	nan        	1.22222	3  	1  	0.527354
42 	0.411723	inf        	inf   	1.14768	nan        	1.23615	4  	1  	0.571101
43 	0.419274	inf        	inf   	1.14768	nan        	1.26163	3  	1  	0.551039
44 	0.416856	inf        	inf   	1.14768	nan        	1.23478	3  	1  	0.554253
45 	0.418286	inf        	inf   	1.14768	nan        	1.23988	4  	1  	0.561505
46 	0.423932	inf        	inf   	1.14768	nan        	1.26225	4  	1  	0.576023
47 	0.419743	inf        	inf   	1.14768	nan        	1.27011	3  	1  	0.568849
48 	0.423163	inf        	inf   	1.14768	nan        	1.27794	4  	1  	0.615092
49 	0.42047 	inf        	inf   	1.14768	nan        	1.28571	5  	1  	0.635674
50 	0.433956	inf        	inf   	1.14768	nan        	1.2906 	4  	1  	0.604727
51 	0.419261	inf        	inf   	1.14768	nan        	1.23011	4  	1  	0.56999 
52 	0.430407	inf        	inf   	1.14768	nan        	1.22946	3  	1  	0.511659
53 	0.426612	inf        	inf   	1.14768	nan        	1.27119	3  	1  	0.605917
54 	0.433029	inf        	inf   	1.14768	nan        	1.29859	4  	1  	0.637666
55 	0.433361	inf        	inf   	1.14768	nan        	1.25843	3  	1  	0.576274
56 	0.430521	inf        	inf   	1.14768	nan        	1.21569	4  	1  	0.508725
57 	0.432177	inf        	inf   	1.14768	nan        	1.23743	4  	1  	0.580932
58 	0.429017	inf        	inf   	1.14768	nan        	1.20613	3  	1  	0.485863
59 	0.437195	inf        	inf   	1.14768	nan        	1.23889	3  	1  	0.520298
60 	0.434579	inf        	inf   	1.14768	nan        	1.241  	4  	1  	0.581414
61 	0.442266	inf        	inf   	1.14768	nan        	1.25691	3  	1  	0.568772
62 	0.443721	inf        	inf   	1.14768	nan        	1.28926	4  	1  	0.626829
63 	0.441704	inf        	inf   	1.14768	nan        	1.28022	4  	1  	0.60994 
64 	0.4405  	inf        	inf   	1.14768	nan        	1.23014	4  	1  	0.5605  
65 	0.4403  	inf        	inf   	1.14768	nan        	1.22951	4  	1  	0.539989
66 	0.449306	inf        	inf   	1.14768	nan        	1.24251	3  	1  	0.520472
67 	0.450274	inf        	inf   	1.14768	nan        	1.25272	3  	1  	0.540474
68 	0.45074 	inf        	inf   	1.14768	nan        	1.26016	4  	1  	0.572695
69 	0.452189	inf        	inf   	1.14768	nan        	1.30541	4  	1  	0.629219
70 	0.450117	inf        	inf   	1.14768	nan        	1.27763	4  	1  	0.619548
71 	0.465295	inf        	inf   	1.14768	nan        	1.35484	4  	1  	0.724311
72 	0.453006	inf        	inf   	1.14768	nan        	1.30563	6  	1  	0.704558
73 	0.459851	inf        	inf   	1.14768	nan        	1.25936	4  	1  	0.59822 
74 	0.456437	inf        	inf   	1.14768	nan        	1.28   	4  	1  	0.656455
75 	0.469687	inf        	inf   	1.14768	nan        	1.31915	4  	1  	0.702772
76 	0.467283	inf        	inf   	1.14768	nan        	1.3634 	4  	1  	0.741378
77 	0.461277	inf        	inf   	1.14768	nan        	1.32804	4  	1  	0.692596
78 	0.467216	inf        	inf   	1.14768	nan        	1.31135	5  	1  	0.699154
79 	0.458468	inf        	inf   	1.14768	nan        	1.25263	4  	1  	0.648373
80 	0.460121	inf        	inf   	1.14768	nan        	1.25722	4  	1  	0.63327 
81 	0.475067	inf        	inf   	1.14768	nan        	1.34555	6  	1  	0.694759
82 	0.482281	inf        	inf   	1.14768	nan        	1.39687	4  	1  	0.714776
83 	0.472996	inf        	inf   	1.14768	nan        	1.35417	4  	1  	0.68052 
84 	0.474777	inf        	inf   	1.14768	nan        	1.32727	4  	1  	0.654185
85 	0.472151	inf        	inf   	1.14768	nan        	1.2772 	4  	1  	0.574365
86 	0.470617	inf        	inf   	1.14768	nan        	1.26873	4  	1  	0.570714
87 	0.475775	inf        	inf   	1.14768	nan        	1.26031	4  	1  	0.534165
88 	0.473005	inf        	inf   	1.14768	nan        	1.25193	4  	1  	0.539711
89 	0.476547	inf        	inf   	1.14768	nan        	1.27436	5  	1  	0.602651
90 	0.474622	inf        	inf   	1.14768	nan        	1.27621	4  	1  	0.568051
91 	0.480255	inf        	inf   	1.14768	nan        	1.27296	4  	1  	0.579834
92 	0.477507	inf        	inf   	1.14768	nan        	1.26972	4  	1  	0.578252
93 	0.480532	inf        	inf   	1.14768	nan        	1.27157	4  	1  	0.565375
94 	0.488059	inf        	inf   	1.14768	nan        	1.31139	4  	1  	0.592567
95 	0.483109	inf        	inf   	1.14768	nan        	1.2904 	4  	1  	0.585178
96 	0.481072	inf        	inf   	1.14768	nan        	1.28212	4  	1  	0.598914
97 	0.492502	inf        	inf   	1.14768	nan        	1.30402	4  	1  	0.614346
98 	0.483877	inf        	inf   	1.14768	nan        	1.24561	3  	1  	0.515256
99 	0.486068	inf        	inf   	1.14768	nan        	1.2875 	4  	1  	0.604023
