   	        	          fitness          	              size              
   	        	---------------------------	--------------------------------
gen	time    	avg	max	min    	std	avg    	max	min	std     
0  	0.760184	inf	inf	1.10341	nan	1.62458	4  	1  	0.653582
1  	0.731526	inf	inf	1.10341	nan	1.68212	5  	1  	0.731241
2  	0.734116	inf	inf	1.10341	nan	1.64026	5  	1  	0.739701
3  	0.729544	inf	inf	1.10341	nan	1.56908	4  	1  	0.735718
4  	0.733955	inf	inf	1.10341	nan	1.55082	5  	1  	0.767073
5  	0.718336	inf	inf	1.10341	nan	1.43464	4  	1  	0.6345  
6  	0.726293	inf	inf	1.10341	nan	1.41368	4  	1  	0.651889
7  	0.717648	inf	inf	1.10341	nan	1.3474 	4  	1  	0.654227
8  	0.713629	inf	inf	1.10341	nan	1.27832	3  	1  	0.596822
9  	0.718286	inf	inf	1.10341	nan	1.32903	4  	1  	0.638645
10 	0.724632	inf	inf	1.10341	nan	1.35048	4  	1  	0.67761 
11 	0.730155	inf	inf	1.10341	nan	1.36859	4  	1  	0.69016 
12 	0.745602	inf	inf	1.10341	nan	1.36102	4  	1  	0.674038
13 	0.730936	inf	inf	1.10341	nan	1.30255	4  	1  	0.603224
14 	0.734219	inf	inf	1.10341	nan	1.30476	4  	1  	0.603542
15 	0.749134	inf	inf	1.10341	nan	1.37975	4  	1  	0.680726
16 	0.742069	inf	inf	1.10341	nan	1.32492	4  	1  	0.629288
17 	0.735033	inf	inf	1.10341	nan	1.30503	5  	1  	0.627995
18 	0.746778	inf	inf	1.10341	nan	1.28527	3  	1  	0.540059
19 	0.741812	inf	inf	1.10341	nan	1.33125	4  	1  	0.604379
20 	0.744839	inf	inf	1.10341	nan	1.3271 	4  	1  	0.60798 
21 	0.766559	inf	inf	1.10341	nan	1.40062	4  	1  	0.690035
22 	0.764616	inf	inf	1.10341	nan	1.39938	6  	1  	0.737076
23 	0.763735	inf	inf	1.10341	nan	1.37037	4  	1  	0.646824
24 	0.757149	inf	inf	1.10341	nan	1.34154	3  	1  	0.579361
25 	0.747386	inf	inf	1.10341	nan	1.30368	4  	1  	0.638575
26 	0.763752	inf	inf	1.10341	nan	1.33945	4  	1  	0.662035
27 	0.761696	inf	inf	1.10341	nan	1.28659	4  	1  	0.622399
28 	0.755316	inf	inf	1.10341	nan	1.24012	3  	1  	0.545861
29 	0.761007	inf	inf	1.10341	nan	1.2303 	5  	1  	0.594156
30 	0.755037	inf	inf	1.10341	nan	1.2568 	4  	1  	0.610018
31 	0.775803	inf	inf	1.10341	nan	1.25   	3  	1  	0.554961
32 	0.768197	inf	inf	1.10341	nan	1.24925	3  	1  	0.591004
33 	0.768685	inf	inf	1.10341	nan	1.25449	5  	1  	0.566976
34 	0.783203	inf	inf	1.10341	nan	1.27761	5  	1  	0.62577 
35 	0.774093	inf	inf	1.10341	nan	1.22024	4  	1  	0.550169
36 	0.773719	inf	inf	1.10341	nan	1.18694	3  	1  	0.496942
37 	0.775069	inf	inf	1.10341	nan	1.19527	3  	1  	0.501809
38 	0.759589	inf	inf	1.10341	nan	1.15634	3  	1  	0.469462
39 	0.791862	inf	inf	1.10341	nan	1.21765	3  	1  	0.531076
40 	0.78918 	inf	inf	1.10341	nan	1.20821	4  	1  	0.5475  
41 	0.768672	inf	inf	1.10341	nan	1.16667	3  	1  	0.463586
42 	0.779373	inf	inf	1.10341	nan	1.18367	3  	1  	0.481217
43 	0.793648	inf	inf	1.10341	nan	1.23547	4  	1  	0.522537
44 	0.791757	inf	inf	1.10341	nan	1.2029 	3  	1  	0.515828
45 	0.792784	inf	inf	1.10341	nan	1.21965	3  	1  	0.519299
46 	0.791673	inf	inf	1.10341	nan	1.21037	3  	1  	0.502566
47 	0.789084	inf	inf	1.10341	nan	1.20115	3  	1  	0.479222
48 	0.804103	inf	inf	1.10341	nan	1.22636	4  	1  	0.559158
49 	0.799656	inf	inf	1.10341	nan	1.22857	3  	1  	0.539085
50 	0.821691	inf	inf	1.10341	nan	1.21937	4  	1  	0.523271
51 	0.791519	inf	inf	1.10341	nan	1.1733 	4  	1  	0.495517
52 	0.813867	inf	inf	1.10341	nan	1.16147	3  	1  	0.44466 
53 	0.802179	inf	inf	1.10341	nan	1.17514	3  	1  	0.507406
54 	0.809917	inf	inf	1.10341	nan	1.19155	4  	1  	0.528017
55 	0.812529	inf	inf	1.10341	nan	1.17978	3  	1  	0.50418 
56 	0.80309 	inf	inf	1.10341	nan	1.12325	3  	1  	0.398094
57 	0.822225	inf	inf	1.10341	nan	1.22626	5  	1  	0.60416 
58 	0.810627	inf	inf	1.10341	nan	1.18106	3  	1  	0.4815  
59 	0.820343	inf	inf	1.10341	nan	1.17222	3  	1  	0.481093
