   	        	                      fitness                      	              size              
   	        	---------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min    	std        	avg    	max	min	std     
0  	0.394207	inf        	inf        	1.10665	nan        	1.6113 	5  	1  	0.670998
1  	0.398142	inf        	inf        	1.10665	nan        	1.64901	5  	1  	0.701924
2  	0.398752	inf        	inf        	1.10665	nan        	1.78548	5  	1  	0.838544
3  	0.387697	inf        	inf        	1.10665	nan        	1.70724	5  	1  	0.864018
4  	0.381128	inf        	inf        	1.10665	nan        	1.54754	5  	1  	0.775782
5  	0.37537 	inf        	inf        	1.10665	nan        	1.42157	5  	1  	0.682694
6  	0.384768	inf        	inf        	1.10665	nan        	1.40065	4  	1  	0.707613
7  	0.377607	inf        	inf        	1.10665	nan        	1.32792	5  	1  	0.623875
8  	0.376257	inf        	inf        	1.10665	nan        	1.30421	4  	1  	0.600444
9  	0.376477	inf        	inf        	1.10665	nan        	1.26452	3  	1  	0.557384
10 	0.373633	inf        	inf        	1.10665	nan        	1.23473	4  	1  	0.560962
11 	0.381238	inf        	inf        	1.10665	nan        	1.26923	5  	1  	0.613378
12 	0.392437	inf        	inf        	1.10665	nan        	1.3099 	4  	1  	0.646789
13 	0.38413 	inf        	inf        	1.10665	nan        	1.24841	4  	1  	0.560437
14 	0.380226	inf        	inf        	1.10665	nan        	1.22857	4  	1  	0.550736
15 	0.389325	inf        	inf        	1.10665	nan        	1.27848	4  	1  	0.614935
16 	0.386791	inf        	inf        	1.10665	nan        	1.25552	4  	1  	0.573612
17 	0.384537	inf        	inf        	1.10665	nan        	1.22327	3  	1  	0.517456
18 	0.395659	inf        	inf        	1.10665	nan        	1.26019	4  	1  	0.546876
19 	0.389734	inf        	inf        	1.10665	nan        	1.25937	4  	1  	0.579525
20 	0.386283	inf        	inf        	1.10665	nan        	1.21495	3  	1  	0.499745
21 	0.391256	inf        	inf        	1.10665	nan        	1.25466	4  	1  	0.560385
22 	0.398405	inf        	inf        	1.10665	nan        	1.27864	3  	1  	0.586015
23 	0.404337	inf        	inf        	1.10665	nan        	1.31173	3  	1  	0.602247
24 	0.394109	6136.83    	1.27903e+06	1.10665	80009.8    	1.26154	3  	1  	0.522624
25 	0.395028	inf        	inf        	1.10665	nan        	1.27914	4  	1  	0.605694
26 	0.403003	inf        	inf        	1.10665	nan        	1.33028	4  	1  	0.640934
27 	0.401424	inf        	inf        	1.10665	nan        	1.28659	4  	1  	0.607526
28 	0.406215	inf        	inf        	1.10665	nan        	1.34954	4  	1  	0.654195
29 	0.411797	inf        	inf        	1.10665	nan        	1.35455	4  	1  	0.654861
30 	0.414929	inf        	inf        	1.10665	nan        	1.39275	4  	1  	0.710182
31 	0.417527	inf        	inf        	1.10665	nan        	1.34639	5  	1  	0.665785
32 	0.41852 	inf        	inf        	1.10665	nan        	1.38438	4  	1  	0.711971
33 	0.414084	inf        	inf        	1.10665	nan        	1.36527	4  	1  	0.61283 
34 	0.418593	inf        	inf        	1.10665	nan        	1.38806	4  	1  	0.685788
35 	0.420624	inf        	inf        	1.10665	nan        	1.38393	5  	1  	0.701769
36 	0.42071 	inf        	inf        	1.10665	nan        	1.33234	4  	1  	0.641718
37 	0.418628	inf        	inf        	1.10665	nan        	1.30769	4  	1  	0.585829
38 	0.406776	inf        	inf        	1.10665	nan        	1.25369	4  	1  	0.549021
39 	0.424878	inf        	inf        	1.10665	nan        	1.32059	4  	1  	0.613706
40 	0.415802	inf        	inf        	1.10665	nan        	1.29032	4  	1  	0.593854
41 	0.412075	inf        	inf        	1.10665	nan        	1.26023	4  	1  	0.556301
42 	0.418643	inf        	inf        	1.10665	nan        	1.26531	4  	1  	0.552907
43 	0.422279	inf        	inf        	1.10665	nan        	1.27616	4  	1  	0.546566
44 	0.423281	inf        	inf        	1.10665	nan        	1.25797	3  	1  	0.564764
45 	0.423501	inf        	inf        	1.10665	nan        	1.28035	3  	1  	0.568454
46 	0.423445	inf        	inf        	1.10665	nan        	1.28818	4  	1  	0.590954
47 	0.420653	inf        	inf        	1.10665	nan        	1.26437	4  	1  	0.566493
48 	0.439892	inf        	inf        	1.10665	nan        	1.29226	4  	1  	0.647209
49 	0.429129	inf        	inf        	1.10665	nan        	1.32   	4  	1  	0.650626
50 	0.434041	inf        	inf        	1.10665	nan        	1.2735 	4  	1  	0.579182
51 	0.424992	inf        	inf        	1.10665	nan        	1.2642 	4  	1  	0.584917
52 	0.434645	inf        	inf        	1.10665	nan        	1.24929	4  	1  	0.558383
53 	0.430573	inf        	inf        	1.10451	nan        	1.28249	5  	1  	0.614678
54 	0.438766	inf        	inf        	1.10451	nan        	1.3662 	5  	1  	0.696863
55 	0.441438	inf        	inf        	1.10451	nan        	1.36236	5  	1  	0.683381
56 	0.434461	inf        	inf        	1.10451	nan        	1.29972	5  	1  	0.65877 
57 	0.445873	inf        	inf        	1.10451	nan        	1.44693	5  	1  	0.872439
58 	0.459067	inf        	inf        	1.10451	nan        	1.58774	5  	1  	1.02202 
59 	0.461523	inf        	inf        	1.10451	nan        	1.70556	5  	1  	1.17944 
60 	0.467928	inf        	inf        	1.10451	nan        	1.88366	5  	1  	1.30322 
61 	0.472862	inf        	inf        	1.10451	nan        	1.9337 	5  	1  	1.33422 
62 	0.486282	inf        	inf        	1.10451	nan        	2.06887	5  	1  	1.43671 
63 	0.493967	inf        	inf        	1.10451	nan        	2.33242	5  	1  	1.56786 
64 	0.522418	inf        	inf        	1.10451	nan        	2.73973	5  	1  	1.65544 
65 	0.541497	inf        	inf        	1.10451	nan        	3.14481	5  	1  	1.63075 
66 	0.552272	inf        	inf        	1.10451	nan        	3.35967	5  	1  	1.54719 
67 	0.568903	inf        	inf        	1.10451	nan        	3.57065	5  	1  	1.48376 
68 	0.576458	inf        	inf        	1.10451	nan        	3.71545	5  	1  	1.40182 
