   	       	                      fitness                      	              size              
   	       	---------------------------------------------------	--------------------------------
gen	time   	avg        	max       	min    	std        	avg    	max	min	std     
0  	1.11106	inf        	inf       	1.10494	nan        	1.60133	4  	1  	0.652517
1  	1.06864	inf        	inf       	1.10494	nan        	1.65232	5  	1  	0.733524
2  	1.06652	inf        	inf       	1.10494	nan        	1.59736	4  	1  	0.710315
3  	1.05784	inf        	inf       	1.10494	nan        	1.54934	4  	1  	0.728327
4  	1.08416	inf        	inf       	1.10494	nan        	1.5541 	5  	1  	0.762561
5  	1.09987	inf        	inf       	1.10494	nan        	1.55229	4  	1  	0.77473 
6  	1.11058	inf        	inf       	1.10494	nan        	1.56352	6  	1  	0.814189
7  	1.05997	inf        	inf       	1.10494	nan        	1.3539 	4  	1  	0.650737
8  	1.07521	inf        	inf       	1.10494	nan        	1.35275	4  	1  	0.664763
9  	1.08721	inf        	inf       	1.10494	nan        	1.37742	4  	1  	0.659526
10 	1.07696	inf        	inf       	1.10494	nan        	1.35048	4  	1  	0.607555
11 	1.07666	inf        	inf       	1.10494	nan        	1.35577	4  	1  	0.644279
12 	1.10478	inf        	inf       	1.10494	nan        	1.4345 	5  	1  	0.680414
13 	1.09788	inf        	inf       	1.10494	nan        	1.39172	3  	1  	0.609945
14 	1.12936	inf        	inf       	1.10494	nan        	1.42857	5  	1  	0.710785
15 	1.1502 	inf        	inf       	1.10494	nan        	1.56329	5  	1  	0.728563
16 	1.11034	inf        	inf       	1.10494	nan        	1.4511 	4  	1  	0.679794
17 	1.13198	inf        	inf       	1.10494	nan        	1.49686	4  	1  	0.662321
18 	1.15002	inf        	inf       	1.10494	nan        	1.48589	4  	1  	0.652188
19 	1.13028	inf        	inf       	1.10494	nan        	1.50937	4  	1  	0.698149
20 	1.13926	inf        	inf       	1.10494	nan        	1.55452	4  	1  	0.721922
21 	1.15964	inf        	inf       	1.10494	nan        	1.61801	4  	1  	0.799875
22 	1.15867	inf        	inf       	1.10494	nan        	1.57895	5  	1  	0.796153
23 	1.18807	inf        	inf       	1.10494	nan        	1.60185	5  	1  	0.877776
24 	1.14552	inf        	inf       	1.10494	nan        	1.46769	5  	1  	0.754292
25 	1.14132	inf        	inf       	1.10494	nan        	1.47546	5  	1  	0.73748 
26 	1.18267	inf        	inf       	1.10494	nan        	1.55352	4  	1  	0.735333
27 	1.17908	inf        	inf       	1.10494	nan        	1.53354	5  	1  	0.735906
28 	1.1823 	inf        	inf       	1.10494	nan        	1.57447	5  	1  	0.76079 
29 	1.20898	inf        	inf       	1.10494	nan        	1.62121	4  	1  	0.77782 
30 	1.19235	inf        	inf       	1.10494	nan        	1.58912	5  	1  	0.804295
31 	1.20594	inf        	inf       	1.10494	nan        	1.58434	4  	1  	0.796526
32 	1.19831	inf        	inf       	1.10494	nan        	1.54955	5  	1  	0.783525
33 	1.18844	inf        	inf       	1.10494	nan        	1.51198	5  	1  	0.741119
34 	1.22529	inf        	inf       	1.10494	nan        	1.58209	5  	1  	0.831278
