   	        	          fitness          	              size              
   	        	---------------------------	--------------------------------
gen	time    	avg	max	min    	std	avg    	max	min	std     
0  	0.42928 	inf	inf	1.09668	nan	1.49502	4  	1  	0.650179
1  	0.432567	inf	inf	1.09668	nan	1.62583	4  	1  	0.747443
2  	0.417295	inf	inf	1.09668	nan	1.57426	4  	1  	0.735877
3  	0.398195	inf	inf	1.09668	nan	1.45724	5  	1  	0.701136
4  	0.395513	inf	inf	1.09668	nan	1.43934	5  	1  	0.740243
5  	0.388111	inf	inf	1.09668	nan	1.34967	3  	1  	0.592946
6  	0.391648	inf	inf	1.09668	nan	1.41042	4  	1  	0.685557
7  	0.397362	inf	inf	1.09668	nan	1.42208	4  	1  	0.681694
8  	0.395119	inf	inf	1.09668	nan	1.43366	4  	1  	0.663154
9  	0.403446	inf	inf	1.09668	nan	1.50323	4  	1  	0.69907 
10 	0.406527	inf	inf	1.09668	nan	1.52733	4  	1  	0.763975
11 	0.40878 	inf	inf	1.09668	nan	1.54808	5  	1  	0.762248
12 	0.410562	inf	inf	1.09668	nan	1.5623 	5  	1  	0.79743 
13 	0.414121	inf	inf	1.09668	nan	1.52548	4  	1  	0.73644 
14 	0.405152	inf	inf	1.09668	nan	1.49524	4  	1  	0.691772
15 	0.42699 	inf	inf	1.09668	nan	1.67405	4  	1  	0.829494
16 	0.42301 	inf	inf	1.09668	nan	1.7224 	5  	1  	0.876563
17 	0.432295	inf	inf	1.09668	nan	1.71069	4  	1  	0.811443
18 	0.414076	inf	inf	1.09668	nan	1.59875	5  	1  	0.768991
19 	0.423714	inf	inf	1.09668	nan	1.6125 	5  	1  	0.829062
20 	0.438513	inf	inf	1.09668	nan	1.66044	6  	1  	0.913702
21 	0.422691	inf	inf	1.09668	nan	1.52795	5  	1  	0.780684
22 	0.424123	inf	inf	1.09668	nan	1.57895	4  	1  	0.764411
23 	0.415713	inf	inf	1.09668	nan	1.50926	4  	1  	0.673512
24 	0.419267	inf	inf	1.09668	nan	1.50154	4  	1  	0.70438 
25 	0.420225	inf	inf	1.09668	nan	1.43558	5  	1  	0.713901
26 	0.424112	inf	inf	1.09668	nan	1.44343	4  	1  	0.660607
27 	0.41642 	inf	inf	1.09668	nan	1.37805	4  	1  	0.660566
28 	0.42305 	inf	inf	1.09668	nan	1.35562	5  	1  	0.682816
29 	0.41011 	inf	inf	1.09668	nan	1.31212	4  	1  	0.610145
30 	0.414777	inf	inf	1.09668	nan	1.28701	4  	1  	0.57578 
31 	0.418609	inf	inf	1.09668	nan	1.29217	4  	1  	0.612765
32 	0.412524	inf	inf	1.09668	nan	1.25526	3  	1  	0.517859
33 	0.423542	inf	inf	1.09668	nan	1.31138	4  	1  	0.637211
34 	0.42641 	inf	inf	1.09668	nan	1.34328	5  	1  	0.70292 
35 	0.428061	inf	inf	1.09668	nan	1.30655	5  	1  	0.666873
36 	0.414704	inf	inf	1.09668	nan	1.23145	4  	1  	0.565965
37 	0.425415	inf	inf	1.09668	nan	1.27515	4  	1  	0.579255
38 	0.426113	inf	inf	1.09668	nan	1.26254	4  	1  	0.573851
