   	       	                      fitness                      	              size              
   	       	---------------------------------------------------	--------------------------------
gen	time   	avg        	max        	min    	std        	avg    	max	min	std     
0  	1.23715	inf        	inf        	1.11008	nan        	1.50498	4  	1  	0.613369
1  	1.23295	inf        	inf        	1.11008	nan        	1.63907	5  	1  	0.753928
2  	1.18352	inf        	inf        	1.11008	nan        	1.62376	4  	1  	0.738183
3  	1.11566	inf        	inf        	1.11008	nan        	1.50987	4  	1  	0.697671
4  	1.10213	inf        	inf        	1.11008	nan        	1.47213	4  	1  	0.682361
5  	1.09022	inf        	inf        	1.11008	nan        	1.4085 	4  	1  	0.636416
6  	1.10702	inf        	inf        	1.11008	nan        	1.47883	4  	1  	0.681568
7  	1.11248	inf        	inf        	1.11008	nan        	1.43831	5  	1  	0.697463
8  	1.09016	inf        	inf        	1.11008	nan        	1.36246	4  	1  	0.616401
9  	1.09174	inf        	inf        	1.11008	nan        	1.39355	4  	1  	0.632423
10 	1.10692	inf        	inf        	1.11008	nan        	1.38585	4  	1  	0.670216
11 	1.10316	inf        	inf        	1.11008	nan        	1.35577	4  	1  	0.639284
12 	1.08949	inf        	inf        	1.11008	nan        	1.32907	5  	1  	0.622028
13 	1.14962	inf        	inf        	1.11008	nan        	1.37898	5  	1  	0.672246
14 	1.09442	inf        	inf        	1.11008	nan        	1.29841	5  	1  	0.642291
15 	1.10927	inf        	inf        	1.11008	nan        	1.25949	5  	1  	0.648078
16 	1.11044	inf        	inf        	1.11008	nan        	1.26183	3  	1  	0.565206
17 	1.11825	inf        	inf        	1.11008	nan        	1.24843	3  	1  	0.530142
18 	1.10287	3.07621e+06	9.78751e+08	1.11008	5.47132e+07	1.22884	4  	1  	0.520112
19 	1.09356	inf        	inf        	1.11008	nan        	1.2125 	3  	1  	0.472857
20 	1.13358	inf        	inf        	1.11008	nan        	1.29283	4  	1  	0.612623
21 	1.11375	inf        	inf        	1.11008	nan        	1.25776	4  	1  	0.572685
22 	1.13631	inf        	inf        	1.11008	nan        	1.29102	4  	1  	0.611155
23 	1.14817	inf        	inf        	1.11008	nan        	1.30247	4  	1  	0.648736
24 	1.11291	inf        	inf        	1.11008	nan        	1.24308	4  	1  	0.59173 
25 	1.13821	inf        	inf        	1.11008	nan        	1.2454 	3  	1  	0.565816
26 	1.16068	inf        	inf        	1.11008	nan        	1.25382	4  	1  	0.56377 
27 	1.13089	inf        	inf        	1.11008	nan        	1.22256	3  	1  	0.514287
28 	1.17544	inf        	inf        	1.11008	nan        	1.28267	3  	1  	0.580093
29 	1.15396	inf        	inf        	1.11008	nan        	1.27879	4  	1  	0.583489
30 	1.17098	inf        	inf        	1.11008	nan        	1.28097	3  	1  	0.562875
31 	1.16336	inf        	inf        	1.11008	nan        	1.25301	4  	1  	0.592999
32 	1.15835	inf        	inf        	1.11008	nan        	1.21021	3  	1  	0.481755
33 	1.18159	inf        	inf        	1.11008	nan        	1.26347	3  	1  	0.565512
34 	1.17991	inf        	inf        	1.11008	nan        	1.24478	3  	1  	0.567604
35 	1.18895	inf        	inf        	1.11008	nan        	1.28274	3  	1  	0.622351
36 	1.16958	inf        	inf        	1.11008	nan        	1.24036	5  	1  	0.600522
37 	1.19303	inf        	inf        	1.11008	nan        	1.24852	3  	1  	0.546977
38 	1.17639	inf        	inf        	1.11008	nan        	1.21829	3  	1  	0.514815
39 	1.18041	inf        	inf        	1.11008	nan        	1.22059	3  	1  	0.521468
40 	1.18316	inf        	inf        	1.11008	nan        	1.2346 	4  	1  	0.565975
41 	1.21889	inf        	inf        	1.11008	nan        	1.26316	4  	1  	0.598037
