x,y,"f(x,y)","f*(x,y)"
0.8,13.95,1.9081837594356292,2.0
-44.45,32.25,1.3761320553948073,2.0
-36.7,-47.35,1.3015933199954337,2.0
49.85,-1.65,3.7296918833105264,2.0
-46.55,11.45,1.0261442534037017,2.0
40.95,47.25,2.1181894697717074,2.0
7.2,-10.95,1.88043320282662,2.0
-10.05,-44.25,2.9981734650166234,2.0
-15.95,-15.85,1.644781973563904,2.0
38.9,-32.05,1.3718606326052367,2.0
14.45,28.85,2.1354612409047564,2.0
33.8,34.95,1.911461500110348,2.0
-1.95,-15.2,1.6857032563355536,2.0
-49.45,-12.55,0.13865720978847706,2.0
-47.55,-33.35,0.2237580739739362,2.0
-49.25,-7.3,0.5281312260687847,2.0
-27.65,9.95,4.049809493774965,2.0
-5.9,40.1,0.016369660760174876,2.0
-17.1,8.25,1.66521682508302,2.0
-32.25,-43.4,2.6640163137845896,2.0
48.0,4.85,1.1925267257599397,2.0
30.4,-47.5,0.2593481985260795,2.0
-4.45,-46.15,1.0036897094464132,2.0
-5.8,-28.15,3.659495394869879,2.0
44.65,-28.0,2.9843876118596384,2.0
-19.0,7.65,1.1988612519959332,2.0
-41.05,-31.3,2.0372011531385046,2.0
-14.05,-12.75,1.1239846362265875,2.0
3.1,37.2,3.614859623441059,2.0
-2.25,12.6,1.7403916061072557,2.0
-11.85,45.4,2.235091466785989,2.0
-43.35,-32.65,1.6401092308416412,2.0
-28.0,31.0,3.202112524297852,2.0
-35.1,38.4,3.639704867343694,2.0
15.3,-40.1,3.7405114413051894,2.0
49.8,32.1,0.1911866682821579,2.0
38.8,-28.35,1.92721992495028,2.0
49.05,-13.75,3.591602935396744,2.0
39.0,-39.6,1.9176319977710259,2.0
40.2,-14.7,0.27901110276632557,2.0
-44.05,-36.3,0.981747918736219,2.0
-29.5,-35.65,0.9895634883089812,2.0
21.9,49.75,1.6637555823759989,2.0
-22.25,-7.5,2.409087077534123,2.0
-27.1,-24.3,0.9361172033978762,2.0
-11.3,30.4,0.459182188467665,2.0
-41.85,-27.15,3.0043225968550002,2.0
-35.45,13.85,0.5499530280811133,2.0
-35.4,-20.3,1.0180315678883725,2.0
19.15,33.2,2.1007551988814726,2.0
31.5,33.8,1.9549355156928319,2.0
-49.05,3.3,3.016750314321591,2.0
15.05,-29.3,2.427725486450969,2.0
-10.3,45.95,1.2498722259933548,2.0
-26.25,-16.7,2.84164992892405,2.0
22.85,-21.95,2.185024177971804,2.0
35.25,10.85,0.209636921992006,2.0
-1.35,-5.8,3.9774804599497893,2.0
-39.75,-30.15,4.046177101912927,2.0
-34.05,-25.85,1.754843750720089,2.0
-26.55,-30.25,2.0372523351271257,2.0
34.9,-21.8,-0.0647575211756557,2.0
-4.4,36.0,1.3402276730537919,2.0
44.15,21.1,0.6719012627595149,2.0
-31.4,-32.2,2.007358071958306,2.0
-30.7,-11.55,3.6770598597844653,2.0
34.65,39.15,0.307056663635924,2.0
-8.45,7.6,0.724883171832889,2.0
-10.9,-19.0,0.6085386543067728,2.0
41.9,11.2,0.20009958783639603,2.0
45.85,-46.35,2.0476757298707837,2.0
13.3,26.45,1.9399392215386058,2.0
-39.7,-7.4,0.0240986399894485,2.0
47.8,7.15,2.7738800503687444,2.0
-24.4,9.75,2.16684679254611,2.0
-24.6,1.6,0.8777095335942346,2.0
-45.55,46.6,1.6066659370316108,2.0
-10.35,-49.4,3.549969376390045,2.0
6.9,3.1,1.5297994493582396,2.0
11.8,16.35,2.755374061863745,2.0
-18.85,27.45,1.5153586284173468,2.0
8.1,37.55,0.2894146280710961,2.0
-41.0,-31.25,1.9875990860359098,2.0
-26.35,-30.4,1.460601812395181,2.0
35.85,-8.7,2.9435576957261222,2.0
44.3,-45.7,2.329916164539949,2.0
-37.15,17.9,0.31092342496640724,2.0
-26.7,-28.95,1.8188087487346232,2.0
39.9,-4.75,3.762568050622085,2.0
40.65,-10.4,1.797694563092321,2.0
-32.4,-24.55,2.513520455785178,2.0
-48.65,-39.8,2.7468776138000024,2.0
-24.55,-31.9,2.0316860727376067,2.0
30.8,-48.75,0.5315063795111052,2.0
45.2,-11.6,0.5940873453340714,2.0
