x0,x1,x2,x3,x4,"f(x,y)","f*(x,y)"
10000.0,12.7,0.0254,39.6,0.0130253,116.017,116.296
2500.0,0.0,0.0254,55.5,0.00041229,130.073,131.693
1600.0,1.5,0.3048,39.6,0.00392107,122.211,121.693
630.0,3.3,0.1016,31.7,0.00251435,128.952,127.429
630.0,19.7,0.0508,39.6,0.036484,120.324,124.12
1250.0,17.4,0.0254,31.7,0.0176631,128.306,127.963
630.0,9.9,0.1524,31.7,0.0252785,126.049,124.939
4000.0,0.0,0.1524,39.6,0.00193287,125.343,127.492
3150.0,3.3,0.1016,55.5,0.002211,130.629,130.024
2000.0,17.4,0.0254,55.5,0.0165706,125.261,127.999
1600.0,0.0,0.0508,55.5,0.00076193,128.576,130.578
20000.0,4.0,0.2286,71.3,0.00400603,109.638,110.879
500.0,5.3,0.2286,71.3,0.0051942,129.88,131.147
1250.0,9.5,0.0254,39.6,0.00449821,130.964,130.181
8000.0,0.0,0.1016,31.7,0.00150092,120.193,127.186
8000.0,3.3,0.1016,71.3,0.00202822,121.234,124.253
1250.0,17.4,0.0254,55.5,0.0165706,129.301,132.051
2500.0,22.2,0.0254,39.6,0.0229028,121.306,120.946
1600.0,5.4,0.1524,31.7,0.00525474,123.761,126.841
250.0,12.3,0.1016,39.6,0.0408268,129.675,124.827
3150.0,9.5,0.0254,71.3,0.00420654,136.166,130.406
3150.0,0.0,0.2286,39.6,0.00253511,124.625,124.183
400.0,7.3,0.2286,71.3,0.0104404,139.438,131.231
1600.0,0.0,0.1524,39.6,0.00193287,131.013,131.009
2000.0,0.0,0.1524,55.5,0.00172668,129.673,131.303
2500.0,15.4,0.0508,39.6,0.0282593,122.413,118.926
2500.0,0.0,0.3048,31.7,0.00331266,120.755,120.083
400.0,6.7,0.1016,39.6,0.00578076,128.295,124.752
250.0,12.7,0.0254,39.6,0.0130253,121.547,128.578
2500.0,0.0,0.2286,55.5,0.00229336,126.54,126.088
500.0,0.0,0.3048,55.5,0.00283081,126.416,128.414
2000.0,4.8,0.0254,71.3,0.000848633,128.398,132.399
500.0,8.9,0.1016,71.3,0.0103088,138.523,128.615
4000.0,2.0,0.2286,71.3,0.00293031,124.086,123.303
630.0,8.4,0.0508,39.6,0.00566229,126.045,129.31
3150.0,0.0,0.1016,31.7,0.00150092,129.973,132.835
400.0,7.3,0.2286,55.5,0.0111706,135.924,130.772
2000.0,9.9,0.1524,55.5,0.0208438,119.505,122.67
1000.0,0.0,0.1016,31.7,0.00150092,131.313,129.195
3150.0,15.4,0.0508,39.6,0.0282593,120.513,116.599
1600.0,8.9,0.1016,71.3,0.0103088,128.763,133.267
800.0,15.6,0.1016,71.3,0.0437259,124.188,124.564
5000.0,4.2,0.0508,71.3,0.00142788,132.828,130.825
6300.0,9.5,0.0254,71.3,0.00420654,127.246,126.129
630.0,17.4,0.0254,71.3,0.016104,122.606,126.725
