   	        	                      fitness                      	               size              
   	        	---------------------------------------------------	---------------------------------
gen	time    	avg        	max        	min    	std        	avg    	max	min	std      
0  	0.314874	1.4872e+09 	3.74522e+11	1505.61	2.19284e+10	1.5515 	4  	1  	0.702279 
1  	0.326868	415532     	7.1752e+07 	1459.45	4.38606e+06	1.57285	5  	1  	0.776086 
2  	0.300644	4.48875e+06	8.94088e+08	1459.45	5.3336e+07 	1.59406	5  	1  	0.78153  
3  	0.291269	6.74948e+10	1.8683e+13 	1404.39	1.07426e+12	1.64474	5  	1  	0.814409 
4  	0.32161 	3.53546e+09	8.42262e+11	1290.91	4.87894e+10	1.69836	5  	1  	0.84203  
5  	0.298069	4.23977e+08	6.12322e+10	1290.91	4.87798e+09	1.66667	6  	1  	0.896617 
6  	0.272401	1.94119e+08	5.91735e+10	1290.91	3.37164e+09	1.51792	6  	1  	0.775545 
7  	0.26453 	6.06599e+10	1.86831e+13	1290.91	1.06284e+12	1.43182	4  	1  	0.724273 
8  	0.265454	6.04769e+10	1.8683e+13 	1290.91	1.06112e+12	1.42071	4  	1  	0.713502 
9  	0.262816	3.82523e+08	5.92032e+10	1290.91	4.73872e+09	1.43226	5  	1  	0.704999 
10 	0.273324	1.06234e+14	3.08703e+16	1290.91	1.75159e+15	1.54341	5  	1  	0.763231 
11 	0.291425	2.25752e+06	6.12469e+08	1290.91	3.46615e+07	1.73077	5  	1  	0.868584 
12 	0.314081	4.90851e+10	1.53039e+13	1290.91	8.63638e+11	1.98403	6  	1  	1.04058  
13 	0.343332	2.20791e+08	5.91735e+10	1227.5 	3.37197e+09	2.32484	6  	1  	1.19562  
14 	0.362747	3.01633e+07	9.14001e+09	1227.5 	5.14154e+08	2.50159	6  	1  	1.19357  
15 	0.37663 	6.86064e+12	2.16796e+15	1192.32	1.21764e+14	2.62025	6  	1  	1.19655  
16 	0.412513	3.21898e+06	6.13973e+08	1162.16	3.68653e+07	3.06309	9  	1  	1.39934  
