Inputs,"f(x,y)","f*(x,y)"
[-4.58070803 -2.01586366],1.94064,1.76744
[-1.70919406  1.71574819],1.79166,1.22771
[-2.01775026 -1.81614494],1.85892,1.31578
[-2.79713941  3.71605897],1.97871,1.87794
[ 2.67708063 -0.69261456],1.16798,1.12773
[ 1.35407281 -2.7282815 ],1.75301,1.50124
[ 0.64215165 -1.09906733],0.738682,0.943388
[-4.572824   -3.60037994],1.9918,2.12064
[-3.54192328  2.35511136],1.9622,1.6252
[-3.80881143  4.83490658],1.99344,2.27097
[-0.06971567  4.99670267],0.998422,1.13023
[ 2.94965625  1.31276894],1.73507,1.45686
[ 2.77848005  0.3879112 ],1.00564,1.16406
[ 2.53343439  4.43936491],1.97373,2.00092
[ 4.42905235 -2.81800103],1.9818,1.8679
[-1.10836232  2.80508876],1.58556,1.35654
[-4.65664053 -0.55371904],1.08381,1.33962
[-2.25183511 -2.77354288],1.94595,1.53237
[ 1.90135753 -4.83238935],1.92709,2.02239
[ 3.34332228 -2.83437562],1.9768,1.68722
[-3.6926899   2.52765584],1.97074,1.67756
[ 3.44728827  4.5288496 ],1.9906,2.23269
[-0.98514175 -1.22638631],1.17848,0.967998
[ 4.36123371  0.60110533],1.11272,1.47862
[ 2.91919613  1.69552457],1.87848,1.56181
[-2.07740593  4.93009043],1.94735,1.98302
[ 0.95388442 -0.68037796],0.6294,0.849986
[ 2.6844151   4.13368273],1.97769,1.98523
[ 3.56468391  4.58457088],1.99159,2.26992
[-1.5851562   0.42453906],0.894734,0.984819
[ 1.57675207 -1.06911564],1.42718,1.01965
[ 1.75770044  2.09580684],1.85589,1.42218
[ 3.573107   -1.88151097],1.92,1.52752
[ 4.40885115 -4.81232977],1.9955,2.43546
[-1.44573379  4.18235636],1.81048,1.63728
[-0.33243743  4.87669563],1.0103,1.22561
[ 1.39364278  4.7386198 ],1.78848,1.66098
[ 1.91372681 -2.37495923],1.90014,1.50543
