Inputs,"f(x,y)","f*(x,y)"
[ 1.20000005 -5.        ],1.67305,1.62786
[-3.20000005  1.79999995],1.90358,1.73734
[ 3.5999999  -2.79999995],1.97807,1.52552
[ 2.5999999  -0.40000001],1.00355,0.7009
[-0.80000001  3.4000001 ],1.28315,1.09565
[ 1.         -0.60000002],0.614731,0.461349
[-3.5999999  0.       ],0.994081,1.70558
[-4.80000019 -3.5999999 ],1.9922,1.92114
[-2.          4.80000019],1.9393,1.82369
[-2.20000005  3.20000005],1.94961,1.78498
[ 0.60000002 -2.20000005],1.07379,1.00679
[ 4.4000001  2.5999999],1.97592,2.00194
[ 0.          0.60000002],0.114731,0.434409
[ 3.20000005 -1.20000005],1.6652,0.475489
[ 4.19999981  0.80000001],1.28738,1.55637
