Inputs,"f(x,y)","f*(x,y)"
1.09828,1.53239,-0.0371378
1.92816,2.62571,-0.107986
1.23288,1.72755,-0.0486292
0.521739,0.660611,0.0115595
0.514782,0.650345,0.0121381
1.22138,1.71112,-0.0476474
0.831089,1.13006,-0.0143276
0.501722,0.631135,0.0132243
1.37084,1.92076,-0.0604068
0.665641,0.876988,-0.000408327
0.672662,0.887684,-0.00099224
1.0182,1.41355,-0.0303013
0.734896,0.982777,-0.00616811
0.708341,0.942152,-0.00395957
0.229276,0.257658,0.039433
0.347681,0.412501,0.0267217
1.56081,2.17467,-0.0766249
1.99783,2.70559,-0.113934
1.65565,2.29609,-0.0847214
1.73432,2.39415,-0.0914382
1.78261,2.45315,-0.0955604
1.11541,1.55757,-0.0386003
0.202727,0.224868,0.0417091
1.696,2.34667,-0.0881659
0.795429,1.07548,-0.0112832
1.47774,2.0654,-0.0695334
1.85198,2.53638,-0.101483
1.45718,2.03793,-0.0677781
0.669369,0.882666,-0.000718353
0.722063,0.963137,-0.00510077
1.83399,2.51497,-0.099947
1.00987,1.40109,-0.0295906
1.34248,1.88163,-0.0579858
1.26483,1.77293,-0.0513564
1.32855,1.8623,-0.0567967
0.924874,1.27296,-0.0223341
0.178791,0.195955,0.0437703
0.82258,1.11704,-0.0136011
1.36329,1.91038,-0.0597627
0.80731,1.09367,-0.0122975
0.115567,0.12263,0.0463831
1.56799,2.18398,-0.0772377
1.1653,1.63034,-0.0428594
0.630029,0.82288,0.00255338
0.761671,1.02378,-0.00840121
1.21601,1.70343,-0.0471888
1.79352,2.46636,-0.0964915
0.604434,0.784175,0.00468204
0.751231,1.00779,-0.00752662
0.199761,0.221252,0.0419644
1.07036,1.49118,-0.0347548
0.535984,0.681702,0.0103748
0.952646,1.315,-0.024705
1.32251,1.8539,-0.0562812
1.12083,1.56551,-0.0390629
0.909123,1.24905,-0.0209894
0.655123,0.860981,0.000466391
1.89065,2.582,-0.104784
0.741577,0.993006,-0.00672374
1.91521,2.61067,-0.10688
1.65199,2.29147,-0.0844088
0.494053,0.619895,0.0138621
1.39328,1.9515,-0.0623228
0.940897,1.29723,-0.023702
0.228915,0.257208,0.0394745
0.842376,1.14731,-0.0152911
0.624343,0.814267,0.00302626
0.585957,0.756352,0.0062187
1.65619,2.29677,-0.0847678
0.699238,0.92824,-0.00320249
1.18254,1.6553,-0.0443318
0.0780782,0.0812577,0.0459669
0.710891,0.946051,-0.00417168
1.87665,2.56554,-0.103589
0.466782,0.580187,0.0161301
0.42462,0.519675,0.0196367
0.712447,0.948429,-0.00430105
0.000109383,0.000109389,0.0426674
0.306576,0.35724,0.0307927
1.28854,1.80636,-0.0533805
1.20216,1.68356,-0.0460062
1.724,2.38142,-0.0905571
0.945445,1.30411,-0.0240903
