Inputs,"f(x,y)","f*(x,y)"
0.905,1.24278,0.86014
1.735,2.39498,1.62584
0.12,0.127626,0.135957
1.62,2.25086,1.51975
0.46,0.570378,0.449616
1.38,1.93333,1.29834
0.195,0.215466,0.205147
0.045,0.0460398,0.066768
0.015,0.0151136,0.0390922
0.7,0.929404,0.671022
1.855,2.53996,1.73654
1.975,2.67961,1.84724
0.785,1.05951,0.749437
0.81,1.09779,0.7725
0.335,0.395294,0.3343
1.935,2.63364,1.81034
1.035,1.43864,0.980068
1.57,2.18659,1.47362
0.55,0.70254,0.532643
1.835,2.51617,1.71809
0.505,0.635948,0.49113
1.095,1.52757,1.03542
0.09,0.0942451,0.108282
1.895,2.58709,1.77344
1.41,1.97426,1.32602
1.355,1.89894,1.27528
0.675,0.891249,0.647959
0.06,0.0618624,0.0806058
0.155,0.167841,0.168246
1.105,1.54228,1.04465
0.57,0.732413,0.551094
1.565,2.18011,1.46901
1.685,2.33295,1.57971
0.745,0.998246,0.712536
0.645,0.845594,0.620283
0.35,0.415663,0.348138
1.54,2.14755,1.44594
1.795,2.46815,1.68119
1.27,1.78024,1.19686
0.825,1.12075,0.786338
1.205,1.68764,1.1369
1.705,2.35788,1.59816
1.66,2.30157,1.55665
0.265,0.302941,0.269724
0.31,0.361786,0.311237
1.255,1.75901,1.18302
1.31,1.83644,1.23376
0.93,1.28073,0.883203
0.925,1.27315,0.878591
0.175,0.191434,0.186696
0.69,0.914132,0.661797
0.525,0.665431,0.50958
0.65,0.853191,0.624896
1.275,1.7873,1.20147
0.68,0.898873,0.652572
1.115,1.55697,1.05387
0.665,0.876012,0.638734
0.54,0.687664,0.523418
1.75,2.4134,1.63967
1.91,2.60461,1.78728
0.74,0.99059,0.707923
1.495,2.08833,1.40443
0.48,0.599381,0.468067
0.47,0.584851,0.458841
0.295,0.341955,0.297399
0.775,1.04419,0.740212
0.165,0.179582,0.177471
0.005,0.00501254,0.029352
0.76,1.02122,0.726374
0.71,0.944688,0.680247
0.685,0.906501,0.657184
1.075,1.49804,1.01697
0.805,1.09014,0.767887
1.845,2.52808,1.72731
1.765,2.43173,1.65351
0.32,0.375121,0.320463
1.555,2.16712,1.45978
1.87,2.5577,1.75038
1.645,2.28263,1.54281
0.655,0.860793,0.629508
0.385,0.463917,0.380427
0.21,0.233776,0.218985
0.8,1.08248,0.763275
1.245,1.74481,1.1738
1.365,1.91273,1.2845
0.9,1.23518,0.855527
0.615,0.800131,0.592607
1.16,1.62265,1.09538
1.63,2.2636,1.52897
0.92,1.26556,0.873978
0.255,0.290134,0.260498
1.515,2.11475,1.42288
0.475,0.592109,0.463454
1.64,2.2763,1.5382
1.945,2.64518,1.81957
1.45,2.0283,1.36292
0.085,0.088779,0.103669
0.055,0.0565612,0.0759932
1.61,2.23809,1.51052
0.23,0.258562,0.237435
1.74,2.40113,1.63045
1.21,1.69482,1.14151
0.545,0.695097,0.528031
0.59,0.76243,0.569544
0.41,0.498968,0.40349
0.705,0.937045,0.675635
0.485,0.606668,0.472679
0.63,0.822836,0.606445
1.985,2.69101,1.85647
0.34,0.402062,0.338913
0.865,1.18186,0.823239
1.185,1.65884,1.11845
1.505,2.10156,1.41366
1.885,2.57536,1.76422
0.185,0.203395,0.195922
0.62,0.807693,0.59722
1.405,1.96747,1.3214
1.08,1.50543,1.02158
1.02,1.41624,0.96623
1.695,2.34543,1.58894
