Inputs,"f(x,y)","f*(x,y)"
1.48052,2.0691,0.370764
1.5202,2.1216,0.370738
1.85745,2.54286,0.370536
1.21294,1.69904,0.37094
0.0847889,0.0885488,0.37178
0.198425,0.219626,0.371692
1.96852,2.6722,0.370474
0.589719,0.762007,0.371392
0.24143,0.272917,0.371659
0.874899,1.19696,0.371179
1.59191,2.21488,0.370694
0.2602,0.296781,0.371644
0.663511,0.873745,0.371336
0.615463,0.800831,0.371372
1.21461,1.70142,0.370939
0.917269,1.26142,0.371149
0.0134039,0.0134945,0.371836
0.93029,1.28117,0.371139
0.395296,0.478296,0.37154
1.31076,1.8375,0.370874
1.70491,2.35777,0.370625
0.914003,1.25646,0.371151
1.7839,2.45472,0.370579
1.64695,2.2851,0.37066
0.378366,0.454696,0.371553
1.31279,1.84034,0.370873
0.855876,1.16794,0.371193
0.195255,0.215775,0.371695
1.31205,1.8393,0.370874
1.02526,1.4241,0.371071
0.451678,0.558381,0.371497
0.408381,0.496684,0.37153
0.851215,1.16082,0.371197
1.84512,2.52823,0.370543
0.365768,0.43728,0.371563
0.749415,1.00501,0.371272
1.6086,2.2363,0.370683
0.942413,1.29952,0.37113
0.0747332,0.077642,0.371788
1.84736,2.53088,0.370542
0.978152,1.35346,0.371105
0.516306,0.652591,0.371447
1.01307,1.40588,0.37108
0.374162,0.44887,0.371556
0.454121,0.561897,0.371495
1.62217,2.25364,0.370675
1.56877,2.18499,0.370708
0.31591,0.369656,0.371601
0.00540488,0.00541953,0.371842
1.31074,1.83748,0.370874
0.98317,1.36101,0.371101
1.60874,2.23648,0.370683
1.22672,1.71875,0.370931
0.153107,0.165631,0.371727
1.59012,2.21258,0.370695
1.98435,2.69027,0.370466
0.0320216,0.0325445,0.371821
1.83039,2.51066,0.370552
0.170448,0.186025,0.371714
1.1592,1.62148,0.370977
