Inputs,"f(x,y)","f*(x,y)"
0.165,0.179582,-0.251686
1.135,1.58624,-0.251686
1.375,1.92647,-0.251687
0.81,1.09779,-0.251686
1.32,1.8504,-0.251686
0.74,0.99059,-0.251686
1.555,2.16712,-0.251687
1.415,1.98105,-0.251686
1.49,2.0817,-0.251686
1.75,2.4134,-0.251687
1.15,1.60811,-0.251686
0.065,0.0671909,-0.251686
1.71,2.36409,-0.251687
1.26,1.7661,-0.251687
1.385,1.94017,-0.251686
1.225,1.7163,-0.251686
1.685,2.33295,-0.251686
0.02,0.0202025,-0.251686
1.0,1.38629,-0.251686
0.54,0.687664,-0.251686
1.815,2.49223,-0.251687
0.38,0.456964,-0.251686
1.485,2.07505,-0.251687
0.775,1.04419,-0.251686
1.35,1.89204,-0.251687
0.53,0.672831,-0.251686
1.835,2.51617,-0.251687
1.015,1.40877,-0.251686
0.795,1.07483,-0.251686
0.97,1.34119,-0.251686
1.54,2.14755,-0.251687
0.36,0.429348,-0.251686
0.705,0.937045,-0.251686
0.275,0.315848,-0.251686
1.77,2.43783,-0.251687
1.16,1.62265,-0.251686
0.55,0.70254,-0.251686
0.88,1.20473,-0.251686
0.965,1.33365,-0.251686
1.695,2.34543,-0.251686
1.165,1.62991,-0.251686
0.94,1.29587,-0.251686
0.245,0.277428,-0.251686
0.51,0.643301,-0.251686
0.205,0.227646,-0.251686
0.75,1.0059,-0.251686
1.67,2.31415,-0.251686
1.735,2.39498,-0.251687
0.01,0.0100503,-0.251686
1.46,2.04171,-0.251686
0.41,0.498968,-0.251686
1.81,2.48623,-0.251687
0.125,0.133287,-0.251686
0.17,0.185494,-0.251686
1.23,1.72344,-0.251687
0.24,0.271114,-0.251686
0.23,0.258562,-0.251686
0.92,1.26556,-0.251686
1.86,2.54588,-0.251687
1.795,2.46815,-0.251687
1.12,1.5643,-0.251686
0.535,0.680242,-0.251686
1.645,2.28263,-0.251686
0.7,0.929404,-0.251686
0.04,0.0408194,-0.251686
0.78,1.05185,-0.251686
1.92,2.61625,-0.251686
0.335,0.395294,-0.251686
0.855,1.1666,-0.251686
1.58,2.19952,-0.251687
0.67,0.883628,-0.251686
0.4,0.484892,-0.251686
1.52,2.12133,-0.251687
1.68,2.3267,-0.251686
1.945,2.64518,-0.251686
1.305,1.82945,-0.251686
1.11,1.54963,-0.251686
1.3,1.82245,-0.251687
0.57,0.732413,-0.251686
1.82,2.49823,-0.251687
0.995,1.37879,-0.251686
0.87,1.18949,-0.251686
0.12,0.127626,-0.251686
1.64,2.2763,-0.251686
1.085,1.51282,-0.251686
0.695,0.921767,-0.251686
0.085,0.088779,-0.251686
1.07,1.49064,-0.251686
1.495,2.08833,-0.251687
0.11,0.116387,-0.251686
0.525,0.665431,-0.251686
0.425,0.520216,-0.251686
0.455,0.563165,-0.251686
0.68,0.898873,-0.251686
0.615,0.800131,-0.251686
0.06,0.0618624,-0.251686
1.925,2.62205,-0.251686
1.99,2.6967,-0.251687
1.905,2.59878,-0.251687
1.97,2.67389,-0.251687
0.935,1.2883,-0.251686
0.225,0.252326,-0.251686
0.595,0.769955,-0.251686
0.49,0.613968,-0.251686
0.945,1.30344,-0.251686
1.95,2.65094,-0.251686
0.255,0.290134,-0.251686
0.835,1.13604,-0.251686
1.635,2.26995,-0.251686
0.725,0.967631,-0.251686
0.265,0.302941,-0.251686
0.26,0.296525,-0.251686
0.86,1.17423,-0.251686
1.175,1.64439,-0.251686
1.005,1.39379,-0.251686
0.39,0.47089,-0.251686
0.44,0.541617,-0.251686
0.105,0.11081,-0.251686
1.18,1.65162,-0.251686
0.52,0.658042,-0.251686
