Inputs,"f(x,y)","f*(x,y)"
1.0,1.0,4.35089
2.0,1.5,4.35101
3.0,1.83333,4.35133
4.0,2.08333,4.35181
5.0,2.28333,4.35237
6.0,2.45,4.35296
7.0,2.59286,4.35352
8.0,2.71786,4.35405
9.0,2.82897,4.35454
10.0,2.92897,4.35498
11.0,3.01988,4.35537
12.0,3.10321,4.35573
13.0,3.18013,4.35606
14.0,3.25156,4.35636
15.0,3.31823,4.35664
16.0,3.38073,4.35689
17.0,3.43955,4.35713
18.0,3.49511,4.35734
19.0,3.54774,4.35755
20.0,3.59774,4.35774
21.0,3.64536,4.35793
22.0,3.69081,4.3581
23.0,3.73429,4.35826
24.0,3.77596,4.35842
25.0,3.81596,4.35857
26.0,3.85442,4.35872
27.0,3.89146,4.35885
28.0,3.92717,4.35899
29.0,3.96165,4.35912
30.0,3.99499,4.35924
31.0,4.02725,4.35936
32.0,4.0585,4.35947
33.0,4.0888,4.35959
34.0,4.11821,4.35969
35.0,4.14678,4.3598
36.0,4.17456,4.3599
37.0,4.20159,4.36
38.0,4.2279,4.3601
39.0,4.25354,4.36019
40.0,4.27854,4.36028
41.0,4.30293,4.36036
42.0,4.32674,4.36045
43.0,4.35,4.36053
44.0,4.37273,4.36061
45.0,4.39495,4.36068
46.0,4.41669,4.36076
47.0,4.43796,4.36083
48.0,4.4588,4.3609
49.0,4.47921,4.36097
50.0,4.49921,4.36103
51.0,4.51881,4.36109
52.0,4.53804,4.36115
53.0,4.55691,4.36121
54.0,4.57543,4.36127
55.0,4.59361,4.36132
56.0,4.61147,4.36137
57.0,4.62901,4.36143
58.0,4.64625,4.36147
59.0,4.6632,4.36152
60.0,4.67987,4.36157
61.0,4.69626,4.36161
62.0,4.71239,4.36165
63.0,4.72827,4.3617
64.0,4.74389,4.36174
65.0,4.75928,4.36177
66.0,4.77443,4.36181
67.0,4.78935,4.36185
68.0,4.80406,4.36188
69.0,4.81855,4.36191
70.0,4.83284,4.36194
71.0,4.84692,4.36198
72.0,4.86081,4.362
73.0,4.87451,4.36203
74.0,4.88802,4.36206
75.0,4.90136,4.36209
76.0,4.91451,4.36211
77.0,4.9275,4.36214
78.0,4.94032,4.36216
79.0,4.95298,4.36218
80.0,4.96548,4.3622
81.0,4.97783,4.36222
82.0,4.99002,4.36224
83.0,5.00207,4.36226
84.0,5.01397,4.36228
85.0,5.02574,4.3623
86.0,5.03737,4.36232
87.0,5.04886,4.36233
88.0,5.06022,4.36235
89.0,5.07146,4.36236
90.0,5.08257,4.36238
91.0,5.09356,4.36239
92.0,5.10443,4.36241
93.0,5.11518,4.36242
94.0,5.12582,4.36243
95.0,5.13635,4.36244
96.0,5.14676,4.36246
97.0,5.15707,4.36247
98.0,5.16728,4.36248
99.0,5.17738,4.36249
100.0,5.18738,4.3625
101.0,5.19728,4.36251
102.0,5.20708,4.36252
103.0,5.21679,4.36252
104.0,5.22641,4.36253
105.0,5.23593,4.36254
106.0,5.24536,4.36255
107.0,5.25471,4.36256
108.0,5.26397,4.36256
109.0,5.27314,4.36257
110.0,5.28223,4.36258
111.0,5.29124,4.36258
112.0,5.30017,4.36259
113.0,5.30902,4.3626
114.0,5.31779,4.3626
115.0,5.32649,4.36261
116.0,5.33511,4.36261
117.0,5.34366,4.36262
118.0,5.35213,4.36262
119.0,5.36054,4.36263
120.0,5.36887,4.36263
