Altura Maxima,#Amostras,#Execucao,MSE (Melhor), ErroPercentual, Altura (Melhor),Tempo Execucao
34,3500,1,1.1429707856136566,-0.1416458664447642,7,423.18621802330017
34,3500,2,1.1081519345027253,-0.8845346561301052,2,355.66798090934753
34,3500,3,1.1064291528940182,2.312602922952835,5,387.50541615486145
34,3500,4,1.1153370508091152,-5.156124441805805,29,1063.9706468582153
34,3500,5,1.0812471696384898,1.7555741211812417,1,364.7361478805542
34,3500,6,1.0821240590467185,-0.41575725862500923,1,375.8908214569092
34,3500,7,1.1447607713489132,-0.22655676062211413,34,12770.428415298462
34,3500,8,1.1170962931851243,4.080408201331802,34,1500.97997879982
34,3500,9,1.0834693753737517,0.7250219490045274,1,370.74307799339294
34,3500,10,1.143657351022969,-4.694780646475801,1,395.7607865333557
