   	         	                          fitness                          	               size              
   	         	-----------------------------------------------------------	---------------------------------
gen	time     	avg        	max        	min     	std        	avg    	max	min	std      
0  	0.107719 	1.84888e+06	5.55726e+08	0.839579	3.19781e+07	1.71096	4  	1  	0.696106 
1  	0.100928 	116810     	3.50514e+07	0.839579	2.0136e+06 	1.69205	4  	1  	0.676867 
2  	0.102632 	222280     	3.35241e+07	0.839579	2.71456e+06	1.82178	4  	1  	0.813208 
3  	0.102036 	462150     	1.40334e+08	0.839579	8.0354e+06 	1.82237	5  	1  	0.896646 
4  	0.101846 	1284.22    	287815     	0.716004	16639.7    	1.74098	5  	1  	0.858015 
5  	0.101151 	363.464    	18961      	0.716004	1788.85    	1.61438	5  	1  	0.805408 
6  	0.100111 	1.26981e+06	1.40333e+08	0.716004	1.16517e+07	1.58958	5  	1  	0.847081 
7  	0.101237 	117114     	3.58702e+07	0.675648	2.04054e+06	1.59416	5  	1  	0.879547 
8  	0.0997155	237857     	3.8291e+07 	0.644149	2.94565e+06	1.53398	5  	1  	0.897485 
9  	0.100895 	390.019    	39407.7    	0.644149	2733.24    	1.59677	5  	1  	0.997734 
10 	0.105735 	48904.6    	1.5052e+07 	0.644149	852122     	1.82637	5  	1  	1.19568  
11 	0.10446  	110513     	3.42877e+07	0.644149	1.93802e+06	1.89423	5  	1  	1.26783  
12 	0.112103 	2.01795e+06	5.61368e+08	0.642926	3.179e+07  	2.34824	5  	1  	1.48156  
13 	0.119077 	12709.5    	3.89057e+06	0.637347	219202     	2.90127	5  	1  	1.5659   
14 	0.124004 	112730     	3.50696e+07	0.637922	1.97278e+06	3.27619	5  	1  	1.47462  
15 	0.127422 	112436     	3.50788e+07	0.637347	1.97027e+06	3.62342	5  	1  	1.32906  
16 	0.132212 	662334     	1.40479e+08	0.637347	8.33213e+06	3.71924	5  	1  	1.26841  
17 	0.13319  	369.761    	44498.1    	0.637347	3558.05    	3.83648	5  	1  	1.19682  
18 	0.135751 	220247     	3.51425e+07	0.637347	2.76954e+06	3.93103	5  	1  	1.12325  
19 	0.13588  	545.175    	74629.8    	0.419791	4716.41    	3.98125	5  	1  	1.03966  
20 	0.136029 	438576     	1.40333e+08	0.419791	7.82035e+06	3.89408	5  	1  	1.12241  
21 	0.137192 	489713     	8.73672e+07	0.419791	5.57845e+06	3.91615	5  	1  	1.21422  
22 	0.137073 	33253.3    	1.06577e+07	0.405151	592079     	3.99071	5  	1  	1.15779  
23 	0.138686 	27356.4    	8.61186e+06	0.40246 	477744     	4.07716	5  	1  	1.06149  
24 	0.142549 	629376     	1.26564e+08	0.40246 	8.22028e+06	4.01231	5  	1  	1.17663  
25 	0.142506 	197119     	3.50331e+07	0.40246 	2.51144e+06	3.96933	5  	1  	1.19263  
26 	0.139714 	744.623    	59926.7    	0.40246 	4777.41    	3.91131	5  	1  	1.17625  
27 	0.142669 	748.315    	167492     	0.359364	9522.13    	4.05488	5  	1  	1.22102  
28 	0.146872 	566208     	1.16026e+08	0.359364	6.93351e+06	4.19757	5  	1  	1.07211  
29 	0.147389 	9.56251e+08	3.15562e+11	0.359364	1.73448e+10	4.21818	5  	1  	1.12316  
30 	0.149026 	521.03     	41980.8    	0.345811	3577       	4.24169	5  	1  	1.13001  
31 	0.151416 	861.09     	71208.4    	0.345811	6254.76    	4.27108	5  	1  	1.17658  
32 	0.152262 	409.175    	33519.3    	0.321569	2500.22    	4.22523	5  	1  	1.20074  
33 	0.150738 	646.661    	37692.7    	0.321569	3817.47    	4.20659	5  	1  	1.25104  
34 	0.150672 	933.342    	152724     	0.321569	8742.18    	4.13134	5  	1  	1.33631  
35 	0.151919 	113320     	3.74811e+07	0.321569	2.04165e+06	4.20238	5  	1  	1.26331  
36 	0.155885 	344698     	1.16122e+08	0.321569	6.31619e+06	4.34125	5  	1  	1.13712  
37 	0.162359 	65462.5    	2.18761e+07	0.321569	1.18812e+06	4.54734	5  	1  	0.935403 
38 	0.162071 	527.279    	70364.1    	0.321569	4077.23    	4.46903	5  	1  	1.03112  
39 	0.166113 	668.61     	71233.4    	0.312356	4689.41    	4.56765	5  	1  	0.893513 
40 	0.168849 	1444.17    	71233.4    	0.312356	8531.93    	4.60117	5  	1  	0.838515 
41 	0.172626 	204934     	3.588e+07  	0.312356	2.64976e+06	4.64327	5  	1  	0.81377  
42 	0.17603  	933.35     	71237.3    	0.312356	6771.57    	4.67055	5  	1  	0.76698  
43 	0.174665 	103018     	3.50749e+07	0.297855	1.88832e+06	4.63081	5  	1  	0.89266  
44 	0.177844 	971.4      	71233.4    	0.297855	7001.52    	4.66957	5  	1  	0.834632 
45 	0.181042 	853.41     	76907.2    	0.297855	7051.41    	4.70809	5  	1  	0.712233 
46 	0.183224 	405657     	1.40462e+08	0.297855	7.52949e+06	4.7464 	5  	1  	0.71558  
47 	0.18766  	1455.37    	73116.1    	0.297855	8756.23    	4.76149	5  	1  	0.737353 
48 	0.187199 	705.369    	71233.4    	0.297855	5569.71    	4.76218	5  	1  	0.720675 
49 	0.193399 	774.042    	75055.7    	0.297855	5811.36    	4.84   	5  	1  	0.573311 
50 	0.194757 	263.455    	5055.79    	0.297855	966.905    	4.82621	5  	1  	0.623378 
51 	0.196752 	565.123    	71217.5    	0.297855	5330.69    	4.82955	5  	1  	0.588171 
52 	0.198122 	3.53914e+06	6.79001e+08	0.297855	4.6759e+07 	4.85836	5  	1  	0.529359 
53 	0.197354 	603.277    	73505.9    	0.297855	5515.55    	4.84746	5  	1  	0.605443 
54 	0.201102 	895.955    	75816.9    	0.297855	7673.73    	4.91268	5  	2  	0.405223 
55 	0.20255  	649.616    	73878.9    	0.297855	5565.35    	4.8764 	5  	1  	0.526174 
56 	0.204114 	787.307    	107810     	0.261132	6988.9     	4.89636	5  	1  	0.494126 
57 	0.206382 	828.978    	71233.4    	0.261132	6598.09    	4.89665	5  	1  	0.50466  
58 	0.208906 	982.406    	72852.9    	0.261132	7572.07    	4.89972	5  	1  	0.449047 
59 	0.20758  	9.13443e+08	3.28839e+11	0.261132	1.73072e+10	4.88611	5  	1  	0.506432 
60 	0.208071 	785.353    	71233.4    	0.232604	6543.12    	4.86427	5  	1  	0.632344 
61 	0.211845 	779.681    	71233.4    	0.232604	6535.02    	4.91989	5  	1  	0.477901 
62 	0.215318 	862.1      	75046.8    	0.232604	6740.24    	4.92837	5  	1  	0.451925 
63 	0.216205 	314.57     	71217.5    	0.232604	3778.93    	4.92582	5  	1  	0.459925 
64 	0.214815 	1.25351e+06	4.54621e+08	0.232604	2.37633e+07	4.93425	5  	1  	0.400075 
65 	0.216721 	1.61377e+06	5.61362e+08	0.232604	2.93378e+07	4.92623	5  	1  	0.446627 
66 	0.219821 	77580.2    	2.83698e+07	0.232604	1.47886e+06	4.94005	5  	1  	0.364206 
67 	0.222431 	2350.89    	662113     	0.232604	34741.5    	4.9375 	5  	2  	0.395499 
68 	0.223174 	831.864    	72145      	0.232604	6479.53    	4.89431	5  	1  	0.543197 
69 	0.222384 	78308.6    	2.83928e+07	0.232604	1.47408e+06	4.87568	5  	1  	0.545946 
70 	0.228481 	76923.5    	2.8414e+07 	0.232604	1.47318e+06	4.95957	5  	1  	0.313202 
71 	0.233158 	94904.4    	3.50792e+07	0.232604	1.8163e+06 	4.93817	5  	1  	0.400195 
72 	0.22969  	1534.56    	238319     	0.232604	14042.8    	4.90885	5  	1  	0.504406 
73 	0.228694 	2047.54    	288595     	0.232604	17128.2    	4.90642	5  	1  	0.505913 
74 	0.230979 	1410.43    	297386     	0.232604	16233.4    	4.90667	5  	1  	0.510512 
75 	0.231382 	1.57282e+06	5.61399e+08	0.232604	2.89497e+07	4.875  	5  	1  	0.590539 
76 	0.234357 	315448     	1.18725e+08	0.232604	6.10653e+06	4.91512	5  	1  	0.486649 
77 	0.235269 	76100.9    	2.83993e+07	0.232604	1.45874e+06	4.93915	5  	1  	0.416589 
78 	0.237275 	878.574    	71199.9    	0.232604	6731.86    	4.94195	5  	1  	0.444025 
