   	         	                          fitness                          	               size              
   	         	-----------------------------------------------------------	---------------------------------
gen	time     	avg        	max        	min       	std        	avg    	max	min	std      
0  	0.0779567	1.98736e+06	5.97408e+08	0.798231  	3.43767e+07	1.701  	4  	1  	0.694281 
1  	0.0692658	500456     	1.50822e+08	0.615982  	8.66442e+06	1.75166	5  	1  	0.733255 
2  	0.0700309	363961     	3.77008e+07	0.498104  	3.62605e+06	1.89769	5  	1  	0.81615  
3  	0.0713437	124984     	3.77009e+07	0.615982  	2.15869e+06	1.97039	5  	1  	0.882456 
4  	0.0718324	124568     	3.77497e+07	0.513334  	2.15796e+06	1.98361	5  	1  	0.945946 
5  	0.0719969	271.944    	19875.6    	0.489555  	1469.76    	2.03595	5  	1  	0.977867 
6  	0.0730977	512521     	3.77891e+07	0.489003  	4.21896e+06	2.21498	5  	1  	1.07959  
7  	0.0762384	125777     	3.85631e+07	0.489003  	2.19374e+06	2.41558	5  	1  	1.1633   
8  	0.0748081	258416     	4.11708e+07	0.489003  	3.19796e+06	2.51456	5  	1  	1.17854  
9  	0.0774586	130228     	4.02575e+07	0.488915  	2.28276e+06	2.63871	5  	1  	1.17985  
10 	0.0795548	335484     	3.93753e+07	0.488915  	3.27681e+06	2.82315	5  	1  	1.21522  
11 	0.0809283	291.029    	18937.4    	0.488915  	1939.72    	3.07372	5  	1  	1.24203  
12 	0.082381 	2.04868e+06	6.03486e+08	0.488553  	3.4116e+07 	3.30671	5  	1  	1.26965  
13 	0.0864189	406.797    	55066.7    	0.488553  	3416.14    	3.45541	5  	1  	1.14251  
14 	0.0877306	245183     	3.77008e+07	0.488553  	2.99527e+06	3.57143	5  	1  	1.15352  
15 	0.0871527	44.9414    	4805.34    	0.488553  	432.85     	3.67089	5  	1  	1.10203  
16 	0.094105 	136.063    	6349.22    	0.488553  	781.296    	3.59621	5  	1  	1.21026  
17 	0.0878227	118800     	3.7706e+07 	0.488553  	2.11111e+06	3.59434	5  	1  	1.15561  
18 	0.0892673	124490     	3.76909e+07	0.488553  	2.10863e+06	3.6489 	5  	1  	1.12909  
19 	0.0887427	490.277    	44469      	0.488553  	3464.15    	3.6625 	5  	1  	1.13956  
20 	0.087755 	118066     	3.77027e+07	0.488553  	2.10105e+06	3.56386	5  	1  	1.04857  
21 	0.089704 	453.477    	70263.3    	0.488553  	4595.73    	3.67702	5  	1  	1.0402   
22 	0.0897379	226428     	3.69456e+07	0.488553  	2.86531e+06	3.70588	5  	1  	1.08616  
23 	0.090863 	29365.6    	9.42047e+06	0.488553  	522543     	3.75   	5  	1  	1.14227  
24 	0.0925529	165.622    	20203.6    	0.488553  	1299.67    	3.85538	5  	1  	1.0901   
25 	0.0905998	118436     	3.85452e+07	0.488534  	2.13153e+06	3.90798	5  	1  	1.05557  
26 	0.0931256	343.013    	20388.5    	0.488534  	2241.02    	4.04281	5  	1  	1.03072  
27 	0.0940001	192.479    	18941.3    	0.488534  	1586.9     	3.99695	5  	1  	1.11667  
28 	0.0944974	127.994    	19691.1    	0.488534  	1217.15    	4.06687	5  	1  	1.10061  
29 	0.0951095	277.616    	19147      	0.488534  	1561.03    	4.11818	5  	1  	1.09875  
30 	0.0971801	114149     	3.76811e+07	0.488534  	2.06799e+06	4.19033	5  	1  	1.10343  
31 	0.0976048	296302     	6.05603e+07	0.488534  	3.90358e+06	4.22289	5  	1  	1.14269  
32 	0.0999286	384.657    	44117.7    	0.488534  	3456.52    	4.22523	5  	1  	1.10975  
33 	0.100891 	139.217    	7165.68    	0.488534  	841.165    	4.34731	5  	1  	1.00256  
34 	0.103635 	318498     	3.77108e+07	0.488534  	3.35993e+06	4.37612	5  	1  	1.0659   
35 	0.104079 	282.196    	30656.4    	0.488534  	1911.33    	4.375  	5  	1  	0.998138 
36 	0.105154 	8.63329e+06	2.87244e+09	0.488534  	1.56246e+08	4.46291	5  	1  	0.971075 
37 	0.105363 	505.37     	20909.5    	0.488534  	2659.59    	4.39053	5  	1  	1.10466  
38 	0.105486 	546795     	1.47562e+08	0.488534  	8.25421e+06	4.44543	5  	1  	1.02151  
39 	0.106413 	222142     	3.77185e+07	0.488534  	2.88396e+06	4.49412	5  	1  	0.980678 
40 	0.106547 	104.947    	5941.93    	0.488534  	701.633    	4.43402	5  	1  	1.05809  
41 	0.108325 	339.309    	20260.5    	0.488534  	2088.77    	4.50585	5  	1  	0.987478 
42 	0.106534 	63.3889    	5933.71    	0.488534  	576.262    	4.55102	5  	1  	0.936555 
43 	0.108    	108600     	3.69262e+07	0.45751   	1.98804e+06	4.52616	5  	1  	0.933493 
44 	0.107903 	371.61     	19375      	0.45751   	2376.18    	4.51304	5  	1  	0.954306 
45 	0.108176 	211233     	3.77008e+07	0.45751   	2.76733e+06	4.39306	5  	1  	1.10509  
46 	0.108419 	113819     	3.94036e+07	0.452004  	2.11223e+06	4.51585	5  	1  	0.866712 
47 	0.109422 	108918     	3.7718e+07 	0.452004  	2.01896e+06	4.52299	5  	1  	0.891879 
48 	0.109526 	541782     	1.50822e+08	0.449715  	8.30421e+06	4.45845	5  	1  	0.976291 
49 	0.111838 	449119     	1.47666e+08	0.422115  	7.89637e+06	4.47714	5  	1  	1.03277  
50 	0.113026 	27197.7    	9.42611e+06	0.420715  	502395     	4.4188 	5  	1  	1.09054  
51 	0.114752 	214584     	3.77337e+07	0.420715  	2.83493e+06	4.49432	5  	1  	0.985677 
52 	0.119265 	318791     	3.77025e+07	0.414299  	3.43751e+06	4.60057	5  	1  	0.878899 
53 	0.122351 	2045.23    	408701     	0.409552  	21877.6    	4.66384	5  	1  	0.807796 
54 	0.124655 	210727     	3.77176e+07	0.383183  	2.79166e+06	4.68169	5  	1  	0.847583 
55 	0.124577 	425011     	1.51002e+08	0.333951  	7.99181e+06	4.51685	5  	1  	1.06119  
56 	0.128294 	107639     	3.77181e+07	0.333951  	1.99347e+06	4.73389	5  	1  	0.747957 
57 	0.13119  	100511     	3.52948e+07	0.330604  	1.8628e+06 	4.69832	5  	1  	0.877113 
58 	0.133148 	105806     	3.77003e+07	0.287623  	1.98693e+06	4.74652	5  	1  	0.79331  
59 	0.134399 	108987     	3.7779e+07 	0.286761  	1.98913e+06	4.68889	5  	1  	0.911585 
60 	0.137345 	807.513    	19683.4    	0.263521  	2332.39    	4.76177	5  	1  	0.81793  
61 	0.140635 	527526     	1.50854e+08	0.245348  	8.17772e+06	4.74033	5  	1  	0.84027  
62 	0.142588 	398338     	1.44238e+08	0.245348  	7.56004e+06	4.82369	5  	1  	0.635749 
63 	0.145113 	801.969    	27089.8    	0.245348  	2913.13    	4.85989	5  	1  	0.559273 
64 	0.146483 	1.6638e+06 	6.0676e+08 	0.178168  	3.17157e+07	4.76712	5  	1  	0.760687 
65 	0.146936 	1392.08    	77500.7    	0.178168  	5639.16    	4.80328	5  	1  	0.6812   
66 	0.150146 	105251     	3.77174e+07	0.100525  	1.96613e+06	4.80109	5  	1  	0.623079 
67 	0.150828 	1025.46    	27140.5    	0.100525  	3263.16    	4.84239	5  	1  	0.543886 
68 	0.152969 	110782     	3.77792e+07	0.100525  	1.96755e+06	4.81301	5  	1  	0.589193 
69 	0.154565 	209355     	3.93334e+07	0.100525  	2.82501e+06	4.79459	5  	1  	0.629004 
70 	0.154515 	26617.8    	9.42157e+06	0.100525  	488434     	4.79515	5  	1  	0.632522 
71 	0.155852 	9.29553e+08	3.45737e+11	0.0801459 	1.79015e+10	4.79839	5  	1  	0.630495 
72 	0.156858 	203619     	3.77297e+07	0.0801459 	2.69723e+06	4.78016	5  	1  	0.658972 
73 	0.155914 	1262.89    	43394.7    	0.0801459 	4178.82    	4.74866	5  	1  	0.713458 
74 	0.154254 	1529.26    	120970     	0.0801459 	7073.79    	4.78667	5  	1  	0.659158 
75 	0.154772 	103688     	3.85113e+07	0.0801459 	1.98336e+06	4.73936	5  	1  	0.65326  
76 	0.15494  	1331.57    	76599.7    	0.0801459 	5175.04    	4.79045	5  	1  	0.569903 
77 	0.154415 	518516     	1.57642e+08	0.0801459 	8.32096e+06	4.80688	5  	1  	0.583961 
78 	0.155104 	1410.99    	37354.8    	0.0801459 	4170.72    	4.77836	5  	1  	0.644405 
79 	0.155293 	422779     	1.50897e+08	0.0733898 	7.73919e+06	4.79737	5  	1  	0.618567 
80 	0.15479  	414498     	1.52521e+08	0.0733898 	7.80588e+06	4.80577	5  	1  	0.609693 
81 	0.153097 	3.54663e+07	1.35453e+10	0.0733898 	6.92129e+08	4.76702	5  	1  	0.731248 
82 	0.149343 	378213     	1.44392e+08	0.0678094 	7.36838e+06	4.7389 	5  	1  	0.764572 
83 	0.150605 	183967     	3.93854e+07	0.0678094 	2.4253e+06 	4.81771	5  	1  	0.589048 
84 	0.148328 	4.19713e+07	1.61584e+10	0.0447924 	8.22439e+08	4.82597	5  	1  	0.570578 
85 	0.148121 	103058     	3.93833e+07	0.0541671 	2.00191e+06	4.8057 	5  	1  	0.636594 
86 	0.147499 	1.08368e+07	2.06478e+09	0.0541671 	1.48049e+08	4.70284	5  	1  	0.827229 
87 	0.149799 	2882.47    	409245     	0.0541671 	28232      	4.75258	5  	1  	0.806302 
88 	0.150886 	129086     	3.76909e+07	0.0447924 	1.97275e+06	4.79177	5  	1  	0.717274 
89 	0.151327 	6312.8     	1.50137e+06	0.0385088 	77213.3    	4.72821	5  	1  	0.833881 
90 	0.154378 	1348.18    	80866.5    	0.0385088 	7339.9     	4.81586	5  	1  	0.62091  
91 	0.155983 	1058.49    	63258.5    	0.0149228 	4622.16    	4.8801 	5  	2  	0.488032 
92 	0.157701 	1088.47    	63252.1    	0.0149228 	4663.85    	4.82188	5  	1  	0.591569 
93 	0.157285 	96429.8    	3.77217e+07	0.0149228 	1.89795e+06	4.88579	5  	1  	0.523218 
94 	0.157825 	1768.84    	79918.3    	0.0124253 	7925.15    	4.86582	5  	1  	0.555499 
95 	0.160144 	1324.42    	79427.4    	0.0124253 	5939.47    	4.87374	5  	1  	0.554338 
96 	0.159011 	6.59089e+06	2.61627e+09	0.00943727	1.31141e+08	4.87909	5  	1  	0.507368 
