   	         	                          fitness                          	               size              
   	         	-----------------------------------------------------------	---------------------------------
gen	time     	avg        	max        	min      	std        	avg    	max	min	std      
0  	0.0950596	467710     	1.12386e+08	0.843021 	6.65257e+06	1.69435	4  	1  	0.70565  
1  	0.0838339	372761     	1.12386e+08	0.843021 	6.45636e+06	1.74834	5  	1  	0.78241  
2  	0.08569  	89876.6    	2.67726e+07	0.666036 	1.53545e+06	1.82178	5  	1  	0.871962 
3  	0.0842793	7.97906e+08	2.42563e+11	0.666036 	1.38891e+10	1.70395	5  	1  	0.805726 
4  	0.0853567	688.137    	68579.2    	0.666036 	4557.92    	1.66557	5  	1  	0.80549  
5  	0.085479 	521.737    	66715.3    	0.666036 	4265.1     	1.63072	4  	1  	0.773903 
6  	0.0867374	381491     	2.81661e+07	0.666036 	3.13968e+06	1.70684	5  	1  	0.830242 
7  	0.0875933	94148.4    	2.87741e+07	0.666036 	1.63686e+06	1.77922	5  	1  	0.951736 
8  	0.0882657	182029     	2.80928e+07	0.666036 	2.25144e+06	1.7411 	5  	1  	0.898197 
9  	0.088248 	538.414    	77841.6    	0.666036 	4783.68    	1.80645	5  	1  	0.902304 
10 	0.0921652	590754     	1.35935e+08	0.665911 	7.97521e+06	2.00965	5  	1  	0.970582 
11 	0.0943751	362174     	1.1255e+08 	0.665898 	6.36159e+06	2.16987	5  	1  	0.964094 
12 	0.0960062	1.52707e+06	4.49709e+08	0.665898 	2.54227e+07	2.26518	5  	1  	0.891906 
13 	0.099432 	1.27406e+06	3.71898e+08	0.665898 	2.10086e+07	2.48726	5  	1  	0.94843  
14 	0.100716 	187258     	3.062e+07  	0.665898 	2.33385e+06	2.52381	5  	1  	0.960442 
15 	0.102438 	4660.13    	1.16583e+06	0.665898 	65871.2    	2.66772	5  	1  	0.984228 
16 	0.103862 	89521.2    	2.80762e+07	0.665898 	1.57439e+06	2.66877	5  	1  	0.976411 
17 	0.105117 	107962     	3.39613e+07	0.665898 	1.90145e+06	2.76101	5  	1  	0.993432 
18 	0.107155 	4638.05    	1.40996e+06	0.665898 	78815.4    	2.85893	5  	1  	1.00571  
19 	0.108305 	1.70794e+06	5.43992e+08	0.665898 	3.03622e+07	2.86875	5  	1  	0.991349 
20 	0.106867 	136444     	2.32574e+07	0.665898 	1.70223e+06	2.88785	5  	1  	0.995258 
21 	0.106698 	771708     	1.35935e+08	0.665898 	9.79938e+06	2.90062	5  	1  	1.10169  
22 	0.108159 	2.09865e+06	4.49709e+08	0.665898 	2.62007e+07	3.01548	5  	1  	1.05707  
23 	0.107838 	527.636    	83442.3    	0.665898 	4979.48    	2.90741	5  	1  	1.06461  
24 	0.109609 	1081.07    	152857     	0.665898 	9525.04    	3.08308	5  	1  	1.08239  
25 	0.110386 	73154.2    	2.37737e+07	0.665898 	1.31467e+06	3.09816	5  	1  	1.05211  
26 	0.111983 	72872.7    	2.32381e+07	0.665898 	1.28311e+06	3.1896 	5  	1  	1.0496   
27 	0.112268 	471.547    	94552.9    	0.665898 	5471.15    	3.24085	5  	1  	1.06206  
28 	0.113485 	87429.8    	2.80762e+07	0.665898 	1.54578e+06	3.31611	5  	1  	1.09312  
29 	0.113068 	53267.7    	1.6453e+07 	0.665898 	905700     	3.35455	5  	1  	1.04086  
30 	0.112664 	117.091    	15504.4    	0.665898 	1021.87    	3.3565 	5  	1  	1.12098  
31 	0.113682 	330984     	1.09794e+08	0.665898 	6.01664e+06	3.43072	5  	1  	1.11318  
32 	0.115551 	6.98068e+08	2.32412e+11	0.665898 	1.27169e+10	3.43844	5  	1  	1.12037  
33 	0.117149 	692805     	1.1255e+08 	0.665898 	8.13464e+06	3.53892	5  	1  	1.05676  
34 	0.117584 	72883.6    	2.43229e+07	0.665898 	1.3269e+06 	3.65373	5  	1  	1.0815   
35 	0.119462 	1.23531e+06	4.14763e+08	0.665898 	2.25934e+07	3.63095	5  	1  	1.07216  
36 	0.118785 	497924     	1.3919e+08 	0.665898 	7.71889e+06	3.66172	5  	1  	1.09414  
37 	0.121102 	11285.9    	3.34648e+06	0.665898 	182769     	3.79586	5  	1  	1.04756  
38 	0.120523 	151836     	2.80762e+07	0.665898 	1.97268e+06	3.69912	5  	1  	1.03523  
39 	0.12134  	68716.1    	2.32381e+07	0.665898 	1.2584e+06 	3.79118	5  	1  	1.00319  
40 	0.124277 	121522     	2.80762e+07	0.665898 	1.67067e+06	3.81232	5  	1  	1.02461  
41 	0.122139 	348        	64935.4    	0.665898 	3670.87    	3.90058	5  	1  	0.992103 
42 	0.122032 	226.623    	16365.7    	0.665898 	1557.68    	3.8484 	5  	1  	1.01032  
43 	0.121744 	2.70245e+09	9.29642e+11	0.665898 	5.005e+10  	3.90407	5  	1  	0.993927 
44 	0.12213  	386807     	1.09923e+08	0.528652 	6.03636e+06	3.84058	5  	1  	1.02184  
45 	0.122243 	2.43349e+06	6.77453e+08	0.528652 	3.68911e+07	3.71676	5  	1  	1.1177   
46 	0.123467 	623.087    	97774.7    	0.528652 	5561.29    	3.83285	5  	1  	1.00762  
47 	0.125025 	404649     	1.12386e+08	0.522382 	6.1965e+06 	3.76724	5  	1  	1.03411  
48 	0.125541 	322363     	1.12386e+08	0.522382 	6.00727e+06	3.88539	5  	1  	0.980345 
49 	0.129363 	17427.3    	5.80999e+06	0.522382 	310162     	3.91143	5  	1  	1.02575  
50 	0.131357 	5125.12    	1.59842e+06	0.522382 	85347.1    	3.9943 	5  	1  	1.00708  
51 	0.133878 	400506     	1.12386e+08	0.522382 	6.16237e+06	4.00568	5  	1  	1.01689  
52 	0.133883 	1.91525e+06	6.52637e+08	0.522382 	3.47056e+07	4.04533	5  	1  	1.02556  
53 	0.141098 	318672     	1.12386e+08	0.522382 	5.96477e+06	4.21186	5  	1  	0.978743 
54 	0.146662 	48620.5    	1.66262e+07	0.522382 	881339     	4.33239	5  	1  	0.968195 
55 	0.148814 	65786.7    	2.32243e+07	0.522382 	1.22914e+06	4.42135	5  	1  	0.928327 
56 	0.153842 	1551.82    	132340     	0.522382 	11375.9    	4.5042 	5  	1  	0.871657 
57 	0.157154 	599216     	1.67716e+08	0.522382 	9.0125e+06 	4.62291	5  	1  	0.805172 
58 	0.156609 	1231.3     	106114     	0.522382 	9643.95    	4.61838	5  	1  	0.84892  
59 	0.156491 	66339.4    	2.32847e+07	0.460179 	1.22548e+06	4.56389	5  	1  	0.910632 
60 	0.159463 	492.588    	54680.3    	0.460179 	3629.57    	4.65651	5  	2  	0.793686 
61 	0.158882 	418740     	1.28575e+08	0.460179 	6.84641e+06	4.6105 	5  	1  	0.888975 
