   	       	                      fitness                      	              size              
   	       	---------------------------------------------------	--------------------------------
gen	time   	avg        	max        	min    	std        	avg    	max	min	std     
0  	2.32693	1.02492e+07	2.03188e+09	1.11235	1.31356e+08	1.52159	3  	1  	0.629057
1  	2.19342	122248     	1.85241e+07	1.11235	1.25427e+06	1.56623	3  	1  	0.690943
2  	2.12957	inf        	inf        	1.11235	nan        	1.59076	4  	1  	0.747392
3  	1.94569	inf        	inf        	1.11235	nan        	1.5    	5  	1  	0.773747
4  	1.82779	13426.2    	2.79025e+06	1.11235	174584     	1.40984	4  	1  	0.719222
5  	1.77394	14643.8    	1.25171e+06	1.11235	128106     	1.35948	4  	1  	0.652941
6  	1.78763	36252      	4.94078e+06	1.11235	339309     	1.40717	4  	1  	0.689862
7  	1.89029	inf        	inf        	1.11235	nan        	1.43182	4  	1  	0.692183
8  	1.79411	25197.9    	5.0628e+06 	1.11235	310817     	1.40453	4  	1  	0.649704
9  	1.81588	38818.5    	7.94075e+06	1.11235	481981     	1.43226	4  	1  	0.70956 
10 	1.7677 	3.41321e+06	1.05495e+09	1.11235	5.97238e+07	1.36013	5  	1  	0.660472
11 	1.79163	86509.1    	1.116e+07  	1.11235	900841     	1.36218	4  	1  	0.630613
12 	1.72245	34139.6    	7.99921e+06	1.11235	459791     	1.3099 	4  	1  	0.60069 
13 	1.83761	inf        	inf        	1.11235	nan        	1.32484	4  	1  	0.5779  
14 	1.71592	16167.8    	4.34135e+06	1.11235	247273     	1.29206	4  	1  	0.566611
15 	1.8405 	1.66586e+07	4.18878e+09	1.11235	2.42399e+08	1.36076	5  	1  	0.667684
16 	1.77592	3.34125e+06	1.05306e+09	1.11235	5.90519e+07	1.32808	4  	1  	0.614956
17 	1.77922	3.30609e+06	1.0472e+09 	1.11235	5.86308e+07	1.32704	4  	1  	0.571843
18 	1.81833	inf        	inf        	1.11235	nan        	1.37618	5  	1  	0.655   
19 	1.7974 	11109.3    	2.80594e+06	1.11235	161267     	1.34688	5  	1  	0.623741
20 	1.86378	5.89431e+09	1.89207e+12	1.11235	1.0544e+11 	1.37383	4  	1  	0.653627
21 	1.86358	inf        	inf        	1.11235	nan        	1.40994	5  	1  	0.677702
22 	1.91305	61566.6    	1.116e+07  	1.11235	642540     	1.4613 	4  	1  	0.695555
23 	1.91832	inf        	inf        	1.11235	nan        	1.46296	4  	1  	0.742359
24 	1.94206	inf        	inf        	1.11235	nan        	1.47692	5  	1  	0.746431
25 	1.92835	9237.02    	1.23185e+06	1.11235	96672.8    	1.4816 	4  	1  	0.712271
26 	1.8823 	inf        	inf        	1.11235	nan        	1.43731	6  	1  	0.717762
27 	1.85945	23556.9    	5.03006e+06	1.11235	290148     	1.43902	4  	1  	0.708787
28 	1.94911	21545.7    	1.25283e+06	1.11235	150237     	1.45289	7  	1  	0.758978
29 	1.90814	3.22422e+06	1.05738e+09	1.11235	5.81177e+07	1.46364	7  	1  	0.750886
30 	1.9776 	26805.8    	2.79656e+06	1.11235	203995     	1.46224	7  	1  	0.750182
31 	1.92633	inf        	inf        	1.11235	nan        	1.42169	4  	1  	0.730085
32 	1.93143	218458     	6.57769e+07	1.11235	3.60105e+06	1.42042	5  	1  	0.699938
33 	2.08892	107164     	2.00658e+07	1.11235	1.17035e+06	1.52395	5  	1  	0.784025
34 	1.95175	22843.9    	1.25626e+06	1.11235	159431     	1.44776	5  	1  	0.734717
35 	2.00339	inf        	inf        	1.11235	nan        	1.48214	5  	1  	0.790368
36 	1.9279 	9.81602e+06	2.25091e+09	1.11235	1.35078e+08	1.42136	5  	1  	0.702193
37 	1.94989	10919.1    	1.23026e+06	1.11235	94868.6    	1.38166	5  	1  	0.687518
38 	2.02241	21059.8    	1.87992e+06	1.11235	173117     	1.42183	5  	1  	0.666693
39 	2.03259	inf        	inf        	1.11235	nan        	1.4    	5  	1  	0.726798
40 	1.89696	7937.28    	1.25626e+06	1.11235	86132.3    	1.3695 	5  	1  	0.717283
41 	2.11848	inf        	inf        	1.11235	nan        	1.48246	4  	1  	0.778728
42 	2.00852	9.64018e+06	2.24588e+09	1.11235	1.33631e+08	1.40525	6  	1  	0.749481
43 	2.00226	9876.38    	1.25116e+06	1.11235	93312.3    	1.38081	4  	1  	0.737519
44 	2.03791	12103.7    	1.25917e+06	1.11235	109136     	1.4058 	4  	1  	0.68353 
