   	        	                      fitness                      	               size              
   	        	---------------------------------------------------	---------------------------------
gen	time    	avg        	max        	min    	std        	avg    	max	min	std      
0  	0.749359	1.3763e+07 	2.06464e+09	1.08981	1.45247e+08	1.56478	4  	1  	0.646963 
1  	0.754781	49938.1    	2.76655e+06	1.08981	287645     	1.72185	5  	1  	0.79033  
2  	0.730247	inf        	inf        	1.08981	nan        	1.74587	5  	1  	0.850999 
3  	0.667408	151791     	3.58849e+07	1.08981	2.12166e+06	1.62829	5  	1  	0.80907  
4  	0.641609	inf        	inf        	1.08981	nan        	1.63607	5  	1  	0.823036 
5  	0.638218	10598.5    	1.23905e+06	1.08981	107125     	1.60458	6  	1  	0.857786 
6  	0.612833	40955.1    	4.96854e+06	1.08981	408838     	1.56352	5  	1  	0.837849 
7  	0.56143 	36325.7    	4.90019e+06	1.08981	311170     	1.39286	6  	1  	0.746125 
8  	0.534621	24589      	4.91691e+06	1.08981	302093     	1.2945 	4  	1  	0.602585 
9  	0.54126 	12588.9    	1.93774e+06	1.08981	155102     	1.30323	5  	1  	0.626039 
10 	0.547668	inf        	inf        	1.08981	nan        	1.28296	4  	1  	0.603046 
11 	0.530202	71406.9    	1.10357e+07	1.08981	880724     	1.25   	4  	1  	0.55035  
12 	0.525978	32637.7    	7.57202e+06	1.08981	435883     	1.25559	4  	1  	0.580714 
13 	0.568957	inf        	inf        	1.08981	nan        	1.28981	4  	1  	0.604198 
14 	0.511783	2509.61    	659107     	1.08981	37316.6    	1.19365	4  	1  	0.507679 
15 	0.549507	inf        	inf        	1.08981	nan        	1.24684	4  	1  	0.586631 
16 	0.543147	3.29925e+06	1.03494e+09	1.08981	5.80368e+07	1.25237	4  	1  	0.572257 
17 	0.539816	3.26839e+06	1.03547e+09	1.08981	5.79743e+07	1.22642	3  	1  	0.506865 
18 	0.53488 	inf        	inf        	1.08981	nan        	1.22571	4  	1  	0.542111 
19 	0.546651	14900.3    	2.77784e+06	1.08981	173808     	1.24687	3  	1  	0.522903 
20 	0.567923	5.66224e+09	1.81756e+12	1.08981	1.01288e+11	1.3053 	4  	1  	0.616697 
21 	0.579749	6.80688e+06	2.18451e+09	1.08981	1.21548e+08	1.3323 	4  	1  	0.662773 
22 	0.554228	24364.6    	1.90574e+06	1.08981	165725     	1.27554	3  	1  	0.59533  
23 	0.58822 	inf        	inf        	1.08981	nan        	1.32716	4  	1  	0.62687  
24 	0.566839	inf        	inf        	1.08981	nan        	1.25846	4  	1  	0.561013 
25 	0.583848	12953.9    	2.24282e+06	1.08981	146388     	1.33129	4  	1  	0.627149 
26 	0.58723 	1.8843e+07 	4.09611e+09	1.08981	2.39643e+08	1.31498	4  	1  	0.622112 
27 	0.568322	19337      	4.8938e+06 	1.08981	274856     	1.29268	4  	1  	0.599549 
28 	0.597425	42256.7    	4.90348e+06	1.08981	339712     	1.32827	4  	1  	0.62992  
29 	0.585011	3.12511e+06	1.02725e+09	1.08981	5.64622e+07	1.36667	5  	1  	0.688946 
30 	0.577771	13149.5    	2.75795e+06	1.08981	160535     	1.3142 	4  	1  	0.620212 
31 	0.578193	5734.05    	691601     	1.08981	57471.1    	1.31024	4  	1  	0.633039 
32 	0.578208	87985.8    	2.29522e+07	1.08981	1.26308e+06	1.31532	4  	1  	0.605014 
33 	0.647012	101871     	1.96205e+07	1.08981	1.14368e+06	1.48204	5  	1  	0.732873 
34 	0.628949	19028.7    	1.24215e+06	1.08981	143682     	1.45075	5  	1  	0.758902 
