   	        	                      fitness                      	              size              
   	        	---------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min    	std        	avg    	max	min	std     
0  	1.00181 	2.92949e+06	8.80431e+08	1.10189	5.06626e+07	1.63787	4  	1  	0.675947
1  	0.951077	1.64952e+08	4.98048e+10	1.10189	2.86119e+09	1.66225	4  	1  	0.708393
2  	0.983152	6.39294e+06	1.93104e+09	1.10189	1.10751e+08	1.79538	4  	1  	0.782046
3  	0.969311	12275.8    	1.2827e+06 	1.10189	117480     	1.82237	5  	1  	0.819997
4  	0.938203	308053     	9.05051e+07	1.10189	5.17467e+06	1.7377 	5  	1  	0.835712
5  	0.959724	inf        	inf        	1.10189	nan        	1.70588	5  	1  	0.839252
6  	0.962227	4174.4     	697100     	1.10189	50557.9    	1.63518	6  	1  	0.81744 
7  	0.902134	inf        	inf        	1.10189	nan        	1.48701	4  	1  	0.753666
8  	0.904793	inf        	inf        	1.10189	nan        	1.38188	5  	1  	0.698909
9  	0.834424	7.46715e+06	2.3148e+09 	1.10189	1.31259e+08	1.31935	4  	1  	0.651014
10 	0.869835	10645.3    	1.28545e+06	1.10189	109918     	1.27974	3  	1  	0.580116
11 	0.81983 	81545.3    	1.87231e+07	1.10189	1.07481e+06	1.20833	4  	1  	0.547308
12 	0.84965 	inf        	inf        	1.10189	nan        	1.27157	5  	1  	0.618968
13 	0.824847	9078.05    	1.28612e+06	1.10189	91370.8    	1.22611	3  	1  	0.544064
14 	0.837036	10301.7    	1.28442e+06	1.10189	107379     	1.21587	3  	1  	0.561519
15 	0.864853	2676.7     	696889     	1.10189	39699.4    	1.26582	4  	1  	0.630629
16 	0.863571	9094.22    	1.23669e+06	1.10189	99930.6    	1.23659	3  	1  	0.565171
17 	0.884346	inf        	inf        	1.10189	nan        	1.29245	4  	1  	0.62897 
18 	0.85258 	7053.02    	1.2353e+06 	1.10189	79081.9    	1.24765	3  	1  	0.56943 
19 	0.847026	10084.4    	1.28442e+06	1.10189	106490     	1.29062	5  	1  	0.622424
20 	0.842098	8162.21    	1.28442e+06	1.10189	100998     	1.22118	3  	1  	0.503248
21 	0.886524	8429.37    	1.28442e+06	1.10189	89828.1    	1.2764 	4  	1  	0.585542
22 	0.894093	inf        	inf        	1.10189	nan        	1.25697	3  	1  	0.571977
