   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min     	std        	avg    	max	min	std     
0  	0.226532	inf        	inf        	1.04187 	nan        	1.63123	4  	1  	0.747235
1  	0.213174	145420     	4.16088e+07	1.04187 	2.39126e+06	1.69205	4  	1  	0.772801
2  	0.222425	7.89283e+06	2.38815e+09	1.04169 	1.36968e+08	1.70627	4  	1  	0.78949 
3  	0.210347	10917.3    	1.34705e+06	1.04169 	110260     	1.74013	4  	1  	0.851605
4  	0.216819	83887.3    	2.1765e+07 	1.04169 	1.25121e+06	1.86885	5  	1  	0.862239
5  	0.224799	7856.31    	1.59141e+06	1.04169 	101185     	1.98693	5  	1  	0.93576 
6  	0.228805	13491.1    	1.30789e+06	1.04169 	115505     	1.98697	5  	1  	0.887752
7  	0.23956 	inf        	inf        	1.04169 	nan        	2.16883	6  	1  	1.04325 
8  	0.241268	9533.29    	2.11566e+06	1.04159 	128059     	2.15534	6  	1  	0.969676
9  	0.23463 	7.60301e+06	2.35691e+09	1.04159 	1.33647e+08	2.17742	6  	1  	1.002   
10 	0.240822	8514.2     	1.31418e+06	1.04159 	105044     	2.1672 	7  	1  	0.997272
11 	0.239045	12739.2    	1.33366e+06	1.04151 	128991     	2.24359	7  	1  	1.01824 
12 	0.24247 	7444.1     	1.31413e+06	1.04151 	86813.5    	2.22684	6  	1  	1.07676 
13 	0.252648	5174.58    	1.33638e+06	1.04151 	76032.2    	2.38535	7  	1  	1.1207  
14 	0.249071	13096.3    	1.34073e+06	1.04151 	119918     	2.29841	7  	1  	1.07489 
15 	0.24647 	55064.5    	1.61325e+07	1.04151 	907095     	2.3038 	9  	1  	1.0833  
16 	0.246529	21613.7    	5.11028e+06	1.04151 	296384     	2.24921	6  	1  	1.01303 
17 	0.243511	6720.64    	2.11959e+06	1.04151 	118671     	2.23585	6  	1  	1.00206 
18 	0.246093	inf        	inf        	1.04151 	nan        	2.16928	6  	1  	1.04275 
19 	0.259629	48.8347    	3529.59    	1.04151 	318.562    	2.39062	5  	1  	1.06091 
20 	0.266855	65.6405    	3662.14    	1.04151 	391.223    	2.41745	7  	1  	1.12748 
21 	0.27637 	5921.05    	1.33535e+06	1.04151 	77467.3    	2.48447	6  	1  	1.10395 
22 	0.291019	6.21792e+07	2.00819e+10	1.04151 	1.11566e+09	2.65635	8  	1  	1.1762  
23 	0.299233	1.06401e+06	3.42157e+08	1.04151 	1.89791e+07	2.75617	7  	1  	1.17292 
24 	0.291965	6677.53    	2.12079e+06	1.04151 	117471     	2.76   	7  	1  	1.22698 
25 	0.299865	6567.9     	1.31591e+06	1.04151 	75907      	2.79141	7  	1  	1.24809 
26 	0.305191	8233.19    	1.34047e+06	1.04151 	103488     	2.90214	6  	1  	1.30028 
27 	0.324809	3.04878e+57	1e+60      	1.0415  	5.51315e+58	3.05793	8  	1  	1.4753  
28 	0.323335	10560.6    	1.33535e+06	1.0415  	111792     	3.10638	8  	1  	1.5071  
29 	0.339325	4040.28    	1.3111e+06 	1.0415  	72061.9    	3.25758	9  	1  	1.49859 
30 	0.356916	809.739    	214175     	1.0415  	11894.2    	3.38671	8  	1  	1.50377 
31 	0.364948	5845.98    	1.59171e+06	1.0415  	88094.2    	3.57229	8  	1  	1.62554 
32 	0.394711	3.003e+57  	1e+60      	1.0415  	5.47173e+58	3.88889	10 	1  	1.71977 
33 	0.40335 	inf        	inf        	1.0415  	nan        	4.10479	12 	1  	1.80097 
34 	0.407647	inf        	inf        	1.0415  	nan        	3.94627	13 	1  	1.87444 
35 	0.411675	2.97619e+57	1e+60      	1.0415  	5.44732e+58	4.02381	13 	1  	2.10145 
36 	0.426254	9478.63    	1.33684e+06	1.0415  	103701     	4.16024	10 	1  	1.93618 
37 	0.431123	8.09576e+06	2.73493e+09	1.0415  	1.4854e+08 	4.3432 	10 	1  	1.92168 
38 	0.468486	inf        	inf        	1.04127 	nan        	4.56342	12 	1  	2.21645 
39 	0.473012	1.10989e+06	3.24986e+08	1.04127 	1.78005e+07	4.76176	14 	1  	2.34878 
40 	0.474013	16035.2    	1.7781e+06 	1.04127 	146215     	4.67449	15 	1  	2.53473 
41 	0.461637	6182       	2.04865e+06	1.04046 	110626     	4.65789	15 	1  	2.52877 
42 	0.507214	1208.83    	408262     	1.04046 	22011.4    	5.09621	17 	1  	2.97601 
43 	0.524868	7466.99    	1.321e+06  	1.04031 	85910      	5.15988	17 	1  	2.97285 
44 	0.527714	2.89855e+57	1e+60      	1.04031 	5.37601e+58	5.16522	17 	1  	2.96041 
45 	0.573875	5.78035e+57	1e+60      	1.03913 	7.58085e+58	5.74277	22 	1  	3.50231 
46 	0.615171	6781.21    	1.34556e+06	1.03913 	81175.3    	6.5879 	23 	1  	4.00075 
47 	0.691672	inf        	inf        	1.03913 	nan        	7.76724	29 	1  	4.67696 
48 	0.778313	6.23398e+07	2.17555e+10	1.03838 	1.16287e+09	8.99427	29 	1  	5.29204 
49 	0.856516	22467.2    	7.84873e+06	1.03838 	418931     	10.0114	29 	1  	5.83143 
50 	0.985274	757.214    	150561     	1.03838 	9452.4     	11.7123	31 	1  	6.6031  
51 	1.10641 	8063.74    	2.59674e+06	1.0381  	138645     	12.8466	33 	1  	7.21932 
52 	1.30533 	23.575     	3079.4     	1.0381  	204.451    	14.9462	34 	1  	7.52521 
53 	1.38652 	408.236    	137128     	1.03785 	7279.68    	15.6977	33 	1  	7.89598 
54 	1.54691 	9.55887    	876.303    	1.03758 	70.9708    	17.138 	34 	1  	8.40896 
55 	1.72966 	1695.05    	602059     	1.03758 	31864      	18.4129	34 	1  	8.40484 
56 	1.88625 	3663.05    	1.30511e+06	1.03667 	68976.4    	19.7171	34 	1  	8.64819 
57 	2.00664 	2.7933e+57 	1e+60      	1.03074 	5.27778e+58	20.081 	34 	1  	8.78048 
58 	2.09005 	5.997      	876.141    	1.03541 	57.0626    	20.2674	34 	1  	8.38295 
59 	2.20377 	2.77778e+57	1e+60      	1.03368 	5.26314e+58	20.2972	34 	1  	8.40423 
60 	2.276   	9.67759    	880.532    	1.03368 	82.5951    	20.3712	34 	1  	8.25465 
61 	2.27309 	2.76243e+57	1e+60      	1.03025 	5.24862e+58	19.7348	34 	1  	8.11563 
62 	2.43944 	14.7989    	4818.88    	1.03002 	252.595    	20.5813	34 	1  	7.98765 
63 	2.60707 	3683.85    	1.33875e+06	1.03002 	70073      	21.0714	34 	1  	7.7902  
64 	2.9268  	3615.87    	1.31937e+06	1.02738 	68964.1    	22.2   	34 	3  	7.33511 
65 	3.06734 	20825      	7.6124e+06 	1.02738 	397362     	21.5656	34 	1  	8.13713 
66 	3.06126 	2.7248e+57 	1e+60      	1.02654 	5.21284e+58	21.5913	34 	1  	7.28005 
67 	3.17618 	2.71739e+57	1e+60      	1.02607 	5.20577e+58	21.8071	34 	2  	7.11766 
68 	3.31873 	2707.61    	997771     	1.02479 	51871.3    	22.2818	34 	1  	6.90954 
69 	3.31547 	7.21155    	864.317    	1.02356 	64.6624    	22.3973	34 	1  	6.83682 
70 	3.32697 	22.3083    	3509.98    	1.02355 	215.156    	22.442 	34 	1  	6.65627 
71 	3.32719 	2.68817e+57	1e+60      	1.02351 	5.17779e+58	22.5188	34 	1  	6.61151 
72 	3.35771 	1125.31    	415258     	1.02351 	21472.1    	22.4933	34 	1  	6.80546 
73 	3.62406 	5259.37    	1.31418e+06	1.02314 	75643.5    	22.869 	34 	1  	7.11678 
74 	3.7713  	11.2144    	876.471    	1.02039 	88.1623    	23.288 	34 	1  	7.3577  
75 	4.05664 	5868.22    	1.41529e+06	1.02008 	83303.7    	24.6463	34 	1  	7.07933 
76 	4.12843 	9259.97    	2.22312e+06	1.02008 	127601     	24.1936	34 	2  	8.01604 
77 	4.36764 	3954.18    	1.49273e+06	1.01994 	76676      	25.6376	34 	2  	7.12202 
78 	4.67459 	3.68667    	748.739    	1.0199  	39.5945    	27.066 	34 	1  	6.70906 
79 	4.73567 	5.26316e+57	1e+60      	1.0199  	7.23565e+58	27.5289	34 	1  	6.4381  
80 	4.84777 	1.98219e+06	7.54556e+08	1.01985 	3.86063e+07	27.8136	34 	2  	7.29573 
81 	4.9921  	2061.55    	786865     	1.01925 	40206.7    	28.3534	34 	2  	6.95974 
82 	5.06909 	4008.11    	1.33711e+06	1.01867 	68935.9    	28.8068	34 	1  	6.98183 
