   	        	                      fitness                      	              size              
   	        	---------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min    	std        	avg    	max	min	std     
0  	0.511567	3.57025e+06	1.05861e+09	1.14213	6.09139e+07	1.57807	4  	1  	0.645494
1  	0.54307 	inf        	inf        	1.14213	nan        	1.7649 	4  	1  	0.797986
2  	0.522499	inf        	inf        	1.14213	nan        	1.75248	5  	1  	0.813329
3  	0.469687	871438     	2.63401e+08	1.14213	1.5082e+07 	1.70724	5  	1  	0.844767
4  	0.470984	inf        	inf        	1.14213	nan        	1.71148	5  	1  	0.891876
5  	0.429285	8721.39    	1.22672e+06	1.14005	89315      	1.64052	5  	1  	0.904704
6  	0.421511	42890.7    	5.05882e+06	1.14005	413843     	1.67427	5  	1  	0.84927 
7  	0.427543	40619.8    	5.07511e+06	1.14005	348960     	1.69156	5  	1  	0.874788
8  	0.420217	12878.6    	1.97787e+06	1.14005	138685     	1.66019	5  	1  	0.823051
9  	0.42719 	20156.7    	2.78225e+06	1.14005	202916     	1.7129 	5  	1  	0.829785
10 	0.43154 	3.3862e+06 	1.051e+09  	1.14213	5.95006e+07	1.70096	5  	1  	0.862192
11 	0.446061	84210.5    	1.10868e+07	1.14213	893328     	1.66026	5  	1  	0.873372
12 	0.422734	inf        	inf        	1.14213	nan        	1.61342	5  	1  	0.876064
13 	0.456738	inf        	inf        	1.14213	nan        	1.67197	5  	1  	0.8469  
14 	0.408669	164.355    	7592.27    	1.14213	719.454    	1.55556	5  	1  	0.776189
15 	0.424278	3.31747e+06	1.03323e+09	1.14213	5.80303e+07	1.5538 	5  	1  	0.80757 
16 	0.416323	3.26571e+06	1.03323e+09	1.14213	5.79403e+07	1.52681	5  	1  	0.784354
17 	0.397   	3.24193e+06	1.02699e+09	1.14213	5.74995e+07	1.48428	5  	1  	0.694591
18 	0.403192	inf        	inf        	1.14213	nan        	1.5047 	4  	1  	0.729458
19 	0.409166	14863.8    	2.77319e+06	1.14213	173317     	1.475  	4  	1  	0.702229
20 	0.426208	5.93547e+09	1.90527e+12	1.14213	1.06176e+11	1.53894	4  	1  	0.764809
21 	0.405994	7.07434e+06	2.27031e+09	1.14213	1.26322e+08	1.49689	4  	1  	0.744539
22 	0.419972	22730.8    	2.04484e+06	1.14213	167313     	1.51084	4  	1  	0.735462
23 	0.425194	inf        	inf        	1.14213	nan        	1.55864	5  	1  	0.78545 
24 	0.418553	inf        	inf        	1.14213	nan        	1.56   	5  	1  	0.819155
25 	0.435127	8236.31    	1.22497e+06	1.14213	86512.2    	1.62577	4  	1  	0.810861
26 	0.433835	1.66474e+07	4.20402e+09	1.14213	2.39272e+08	1.59327	5  	1  	0.791594
27 	0.414803	23417.1    	5.04602e+06	1.14213	290869     	1.54573	5  	1  	0.825128
28 	0.436301	30996      	5.06218e+06	1.14213	306247     	1.54407	5  	1  	0.77501 
29 	0.436414	inf        	inf        	1.14213	nan        	1.65455	5  	1  	0.835968
30 	0.440574	8498.95    	2.77354e+06	1.14213	152211     	1.6284 	5  	1  	0.828665
31 	0.434002	1.2672e+07 	4.20401e+09	1.14213	2.30377e+08	1.5994 	5  	1  	0.842615
32 	0.426149	11770.6    	1.26473e+06	1.14213	110017     	1.58258	5  	1  	0.80721 
33 	0.44838 	108494     	2.02553e+07	1.14213	1.18082e+06	1.62874	5  	1  	0.854653
34 	0.447825	inf        	inf        	1.14213	nan        	1.62687	5  	1  	0.895025
35 	0.448115	inf        	inf        	1.14213	nan        	1.60119	4  	1  	0.821148
36 	0.420468	9.852e+06  	2.27031e+09	1.14213	1.35897e+08	1.54896	4  	1  	0.741804
37 	0.447906	11578.3    	1.26137e+06	1.14213	108907     	1.60059	5  	1  	0.812404
38 	0.465614	9962.28    	1.22333e+06	1.14213	101230     	1.65487	5  	1  	0.873435
39 	0.475516	inf        	inf        	1.14213	nan        	1.69706	5  	1  	0.903908
40 	0.455201	7905.73    	1.268e+06  	1.14213	86421.4    	1.70088	5  	1  	0.882362
41 	0.484992	948556     	3.23097e+08	1.14213	1.74455e+07	1.78655	5  	1  	0.877627
42 	0.47176 	9.71081e+06	2.27332e+09	1.14213	1.34882e+08	1.72012	4  	1  	0.845381
43 	0.482855	9841.13    	1.26305e+06	1.14213	93478.3    	1.82267	5  	1  	0.943434
44 	0.485152	10334.4    	1.2632e+06 	1.14213	93729.1    	1.8029 	5  	1  	0.892151
45 	0.484635	29701.1    	7.56509e+06	1.14213	420939     	1.8237 	5  	1  	1.00899 
46 	0.49952 	inf        	inf        	1.14213	nan        	1.75216	5  	1  	0.964329
47 	0.479468	46557.6    	4.89977e+06	1.14213	370668     	1.74425	5  	1  	0.897376
48 	0.476481	2.98311e+06	1.03323e+09	1.14213	5.5228e+07 	1.67335	5  	1  	0.874278
49 	0.45656 	9601.31    	1.27044e+06	1.14213	101444     	1.63429	4  	1  	0.836982
50 	0.474841	11691.3    	1.88965e+06	1.14213	119010     	1.66667	5  	1  	0.877058
51 	0.465039	inf        	inf        	1.14213	nan        	1.66193	5  	1  	0.893108
52 	0.46952 	11269.4    	1.97454e+06	1.14213	128596     	1.74788	4  	1  	0.922739
53 	0.479869	inf        	inf        	1.14213	nan        	1.70056	5  	1  	0.908621
54 	0.457299	21187.6    	4.90941e+06	1.14213	280707     	1.66761	5  	1  	0.895651
55 	0.496085	inf        	inf        	1.14213	nan        	1.73876	5  	1  	0.919063
56 	0.488768	inf        	inf        	1.14213	nan        	1.73669	5  	1  	0.909411
57 	0.485519	11290.3    	1.268e+06  	1.14213	106214     	1.73743	5  	1  	0.870559
58 	0.471047	inf        	inf        	1.14213	nan        	1.69081	5  	1  	0.877893
59 	0.46758 	6.13616e+06	2.20389e+09	1.14213	1.15993e+08	1.65   	5  	1  	0.859425
60 	0.484301	17084.4    	4.90304e+06	1.14213	265438     	1.65928	5  	1  	0.897968
61 	0.484428	9.50746e+06	3.43904e+09	1.14213	1.80502e+08	1.67956	5  	1  	0.935531
62 	0.476529	38900.2    	5.06873e+06	1.14213	320424     	1.60882	5  	1  	0.847053
63 	0.466163	35049.7    	2.77162e+06	1.14213	275744     	1.55495	5  	1  	0.841736
64 	0.453139	22634.5    	4.91269e+06	1.14213	271405     	1.46027	5  	1  	0.79152 
65 	0.462829	inf        	inf        	1.14213	nan        	1.47268	5  	1  	0.773938
66 	0.461474	2.88199e+06	1.051e+09  	1.14213	5.47864e+07	1.55313	5  	1  	0.823222
67 	0.46591 	2.87826e+06	1.051e+09  	1.14213	5.4712e+07 	1.52174	5  	1  	0.751495
68 	0.455583	3353.46    	693510     	1.14213	44580.7    	1.48238	5  	1  	0.73277 
69 	0.446769	7614.56    	1.22497e+06	1.14213	81692.8    	1.44054	4  	1  	0.660041
70 	0.466443	16211.8    	1.268e+06  	1.14213	120886     	1.47439	5  	1  	0.712814
71 	0.47487 	inf        	inf        	1.14213	nan        	1.47581	5  	1  	0.727313
72 	0.467118	10425.8    	1.22979e+06	1.14213	102776     	1.50938	5  	1  	0.738118
73 	0.461915	12328.7    	1.27792e+06	1.14213	109771     	1.47059	5  	1  	0.660531
74 	0.486142	2.82775e+06	1.04996e+09	1.14213	5.41465e+07	1.50133	4  	1  	0.747885
75 	0.48484 	inf        	inf        	1.14213	nan        	1.4867 	5  	1  	0.725547
76 	0.474108	3819.33    	1.22333e+06	1.14213	63520.6    	1.44828	5  	1  	0.693359
77 	0.461993	10241      	1.86431e+06	1.14213	120822     	1.43915	4  	1  	0.676711
78 	0.454682	12523.8    	1.22979e+06	1.14213	108197     	1.4591 	4  	1  	0.711971
79 	0.468414	26849.8    	5.06873e+06	1.14213	285557     	1.45789	4  	1  	0.703985
80 	0.505692	inf        	inf        	1.14213	nan        	1.52231	4  	1  	0.754793
81 	0.490384	4.98766e+09	1.90527e+12	1.14213	9.73545e+10	1.53403	5  	1  	0.725485
82 	0.486338	5548.35    	1.36359e+06	1.14213	77963      	1.54047	4  	1  	0.759831
83 	0.473219	inf        	inf        	1.14213	nan        	1.47917	5  	1  	0.703106
84 	0.480608	8540.82    	1.85778e+06	1.14213	106768     	1.4961 	5  	1  	0.752906
85 	0.48015 	2.68289e+06	1.02648e+09	1.14213	5.21784e+07	1.44041	5  	1  	0.753454
86 	0.476198	38484.9    	1.10866e+07	1.14213	572945     	1.42636	5  	1  	0.730741
87 	0.484735	1.08516e+07	4.20401e+09	1.14213	2.13151e+08	1.39948	4  	1  	0.694381
88 	0.46191 	10085.9    	1.26473e+06	1.14213	101670     	1.35733	5  	1  	0.651933
89 	0.473617	2.5641e+27 	1e+30      	1.14213	5.0572e+28 	1.37436	4  	1  	0.651121
90 	0.474315	3665.29    	693550     	1.14213	49428.3    	1.40153	4  	1  	0.685918
91 	0.475816	4560.88    	1.26305e+06	1.14213	65969.2    	1.39286	4  	1  	0.698942
92 	0.490605	inf        	inf        	1.14213	nan        	1.40204	5  	1  	0.731825
93 	0.485919	inf        	inf        	1.14213	nan        	1.37563	5  	1  	0.730771
94 	0.481283	25131.8    	5.07209e+06	1.14213	276332     	1.37468	5  	1  	0.653223
95 	0.480042	1.03836e+07	4.10796e+09	1.14213	2.06171e+08	1.36869	5  	1  	0.635983
96 	0.46734 	5.47071e+06	2.16959e+09	1.14213	1.08751e+08	1.37028	4  	1  	0.663115
97 	0.472907	inf        	inf        	1.14213	nan        	1.34422	4  	1  	0.625749
98 	0.465585	inf        	inf        	1.14213	nan        	1.31579	4  	1  	0.609471
99 	0.497414	inf        	inf        	1.14213	nan        	1.4    	4  	1  	0.674537
100	0.487745	6352.92    	1.26305e+06	1.14213	87748      	1.38903	4  	1  	0.649787
101	0.517823	inf        	inf        	1.14213	nan        	1.43284	4  	1  	0.734181
102	0.488143	5.43203e+06	2.18511e+09	1.14213	1.08713e+08	1.38958	5  	1  	0.69353 
103	0.508094	inf        	inf        	1.14213	nan        	1.46782	5  	1  	0.715081
104	0.533092	1.41202e+06	5.69711e+08	1.14213	2.8274e+07 	1.54568	5  	1  	0.804931
105	0.497587	10330.7    	1.22333e+06	1.14213	99544.2    	1.49507	5  	1  	0.805599
106	0.519774	13023.8    	1.86127e+06	1.14213	130910     	1.53071	5  	1  	0.860498
107	0.519832	19873.5    	2.77198e+06	1.14213	175910     	1.52206	5  	1  	0.836955
108	0.534868	5174.49    	1.22979e+06	1.14213	69916.1    	1.6088 	5  	1  	0.875374
109	0.529785	22806      	4.90941e+06	1.14213	265794     	1.61707	5  	1  	0.890164
110	0.531224	20743.5    	6.40421e+06	1.14213	320749     	1.60097	5  	1  	0.91295 
111	0.543952	5.31186e+06	2.1794e+09 	1.14213	1.0724e+08 	1.62379	5  	1  	0.930454
112	0.526122	10457.2    	1.26473e+06	1.14213	107364     	1.57627	5  	1  	0.878651
113	0.538434	12000.7    	2.79617e+06	1.14213	154475     	1.57488	5  	1  	0.847244
114	0.575583	inf        	inf        	1.14213	nan        	1.64819	5  	1  	0.876241
115	0.566491	22282.8    	2.38745e+06	1.14213	180919     	1.64663	5  	1  	0.867489
116	0.546261	inf        	inf        	1.14213	nan        	1.59233	5  	1  	0.802716
117	0.54528 	inf        	inf        	1.14213	nan        	1.56699	5  	1  	0.804628
118	0.557093	17948      	2.77162e+06	1.14213	184095     	1.61098	5  	1  	0.819787
119	0.556591	inf        	inf        	1.14213	nan        	1.65476	5  	1  	0.887667
120	0.528009	2.44814e+06	1.02942e+09	1.14213	5.0111e+07 	1.61995	5  	1  	0.870733
121	0.603806	inf        	inf        	1.14213	nan        	1.75118	5  	1  	0.945022
122	0.5692  	15811.5    	2.7719e+06 	1.14213	165865     	1.69504	5  	1  	0.861111
123	0.56109 	15723.5    	1.89124e+06	1.14213	143990     	1.69575	5  	1  	0.91599 
124	0.554768	7.80948e+06	2.27886e+09	1.14213	1.21045e+08	1.74588	5  	1  	0.938779
125	0.573529	inf        	inf        	1.14213	nan        	1.80047	5  	1  	0.997697
126	0.573476	12174.4    	1.90265e+06	1.14213	126186     	1.77518	5  	1  	1.02477 
127	0.559457	15197.6    	1.88882e+06	1.14213	142252     	1.69626	5  	1  	0.952755
128	0.567396	30057.9    	5.10186e+06	1.14213	280304     	1.68065	5  	1  	0.894492
129	0.552697	7374.3     	1.88099e+06	1.14213	108002     	1.58372	5  	1  	0.804762
130	0.56988 	12790.6    	2.79624e+06	1.14213	154749     	1.64037	5  	1  	0.876686
131	0.575883	inf        	inf        	1.14213	nan        	1.64352	5  	1  	0.891189
132	0.5409  	10593.9    	1.27212e+06	1.14213	92974.2    	1.57506	5  	1  	0.848597
133	0.546719	10134.7    	1.26473e+06	1.14213	90783.5    	1.58756	5  	1  	0.86025 
134	0.562819	42398      	1.10866e+07	1.14213	556927     	1.62529	5  	1  	0.852207
