   	       	                          fitness                          	              size              
   	       	-----------------------------------------------------------	--------------------------------
gen	time   	avg        	max        	min      	std        	avg    	max	min	std     
0  	1.86902	498.612    	84150.9    	0.0418528	5454.91    	1.4485 	4  	1  	0.627318
1  	1.89886	23.2787    	3186.68    	0.0418528	185.77     	1.45364	3  	1  	0.642973
2  	1.95959	inf        	inf        	0.0418528	nan        	1.49835	5  	1  	0.712336
3  	1.94882	inf        	inf        	0.0418528	nan        	1.49671	3  	1  	0.643788
4  	1.92238	39.7005    	3301.38    	0.0418528	269.942    	1.50164	4  	1  	0.706525
5  	1.91493	inf        	inf        	0.0418528	nan        	1.49673	4  	1  	0.715141
6  	1.94259	inf        	inf        	0.0418528	nan        	1.57329	5  	1  	0.793091
7  	1.86385	1735.49    	518665     	0.0418528	29508.1    	1.50974	4  	1  	0.74505 
8  	1.77953	28.5317    	5856.46    	0.0418528	336.875    	1.36246	4  	1  	0.642116
9  	1.79758	68.2093    	6749.98    	0.0418528	553.594    	1.38065	5  	1  	0.693481
10 	1.78722	inf        	inf        	0.0418528	nan        	1.33441	4  	1  	0.688028
11 	1.84825	inf        	inf        	0.0418528	nan        	1.41026	4  	1  	0.775191
12 	1.82569	95.5971    	24440.5    	0.0393367	1388.22    	1.42492	5  	1  	0.796329
13 	1.85713	inf        	inf        	0.0393367	nan        	1.46815	6  	1  	0.859902
14 	1.94999	inf        	inf        	0.0393367	nan        	1.60635	6  	1  	1.05588 
15 	2.012  	293.537    	68628.8    	0.0393367	3933.6     	1.79114	6  	1  	1.23531 
16 	2.14247	305.668    	52640.1    	0.0393367	3346.78    	2.04101	6  	1  	1.38088 
17 	2.18153	273.495    	71773.9    	0.039014 	4046.1     	2.15094	7  	1  	1.52005 
18 	2.38433	16737      	5.06829e+06	0.0385506	283443     	2.55172	9  	1  	1.79768 
19 	2.55319	15367.2    	4.84513e+06	0.039014 	270427     	2.92188	9  	1  	2.04255 
20 	2.92011	25697.6    	8.18642e+06	0.0390116	456210     	3.57632	9  	1  	2.24953 
21 	3.22392	32294.3    	5.06822e+06	0.0390116	398352     	4.17391	10 	1  	2.34472 
22 	3.6188 	inf        	inf        	0.0384977	nan        	4.81734	10 	1  	2.43823 
23 	3.96443	inf        	inf        	0.0384074	nan        	5.2963 	10 	1  	2.55649 
24 	4.33486	817.016    	252824     	0.0383695	14004.7    	5.80923	10 	1  	2.56855 
25 	4.71738	inf        	inf        	0.0383685	nan        	6.25767	10 	1  	2.43716 
26 	5.16845	inf        	inf        	0.0383685	nan        	6.58716	10 	1  	2.51799 
