   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min      	std        	avg    	max	min	std     
0  	0.978302	2.0928e+07 	6.29931e+09	0.0390244	3.62483e+08	1.53821	4  	1  	0.698386
1  	0.972926	160.354    	40071.8    	0.0390244	2310.78    	1.53974	4  	1  	0.702463
2  	0.974771	26.5102    	6648.15    	0.0390244	382.248    	1.66997	4  	1  	0.772883
3  	0.957717	13.5273    	2843.22    	0.0390244	166.703    	1.66776	5  	1  	0.826064
4  	0.968886	1.87439    	126.376    	0.0390244	10.8893    	1.81311	5  	1  	0.83046 
5  	1.02084 	4.28203    	292.332    	0.0368163	26.8662    	2.13399	5  	1  	0.976031
6  	1.05635 	inf        	inf        	0.0364997	nan        	2.42997	6  	1  	1.12021 
7  	1.10712 	35.0449    	9092.45    	0.0364291	521.874    	2.71429	7  	1  	1.29291 
8  	1.14958 	2.334      	263.797    	0.0364291	19.5379    	3.04207	9  	1  	1.42612 
9  	1.18743 	inf        	inf        	0.0364291	nan        	3.47419	9  	1  	1.67071 
10 	1.2556  	20.0715    	5554.84    	0.0364219	315.15     	4.1865 	11 	1  	1.96692 
11 	1.34062 	0.481703   	37.1954    	0.0364219	3.09207    	4.84295	16 	1  	2.22551 
12 	1.39867 	2.46415    	241.908    	0.0364219	19.5177    	5.24281	12 	1  	2.31645 
13 	1.46191 	1.80359    	439.21     	0.0364219	24.9245    	5.67516	14 	1  	2.44745 
14 	1.48458 	6.47861    	1503.76    	0.0364219	85.6835    	5.58413	14 	1  	2.53767 
15 	1.52541 	3.16456e+57	1e+60      	0.0364219	5.61653e+58	5.8038 	16 	1  	2.92514 
16 	1.57437 	inf        	inf        	0.0364219	nan        	6.00631	16 	1  	2.81948 
17 	1.5397  	1.9842     	413.263    	0.0364219	23.7915    	5.8239 	14 	1  	2.78932 
18 	1.56523 	3.1348e+57 	1e+60      	0.0364219	5.59014e+58	5.96865	16 	1  	2.78807 
19 	1.55389 	1.20031    	200.233    	0.0364219	11.7406    	5.94375	16 	1  	2.94055 
20 	1.55755 	1.14201    	145.648    	0.0364219	10.3854    	6      	16 	1  	2.85474 
21 	1.62902 	3.10559e+57	1e+60      	0.0364218	5.56412e+58	6.06211	17 	1  	3.05476 
22 	1.72653 	4.25096    	969.601    	0.0364218	54.662     	6.63158	17 	1  	3.30267 
23 	1.82027 	3.03471    	338.303    	0.0364218	22.8297    	6.96914	17 	1  	3.3983  
24 	1.88899 	3.07692e+57	1e+60      	0.0364218	5.53846e+58	7.29846	17 	1  	3.57257 
25 	1.89659 	94.292     	30572.6    	0.0364218	1690.64    	7.53374	17 	1  	3.71415 
26 	1.99067 	0.310352   	38.8458    	0.0354572	2.35646    	7.89297	17 	1  	3.87545 
27 	2.04291 	0.642047   	150.494    	0.0354572	8.33616    	8.15244	17 	1  	4.15932 
28 	2.22333 	0.137807   	15.485     	0.0354572	0.863465   	9.15198	17 	1  	4.25923 
29 	2.401   	3.0303e+57 	1e+60      	0.0353039	5.49647e+58	9.67576	17 	1  	4.66655 
30 	2.59896 	0.335187   	53.3813    	0.0350604	3.213      	10.4139	17 	1  	4.49447 
31 	2.70695 	0.692786   	145.034    	0.0349243	8.20404    	10.8825	17 	1  	4.45473 
32 	2.91921 	3.003e+57  	1e+60      	0.0349243	5.47173e+58	11.4324	17 	1  	4.41732 
33 	3.03791 	0.574317   	156.603    	0.0349243	8.55281    	12.0359	17 	1  	4.19922 
34 	3.06964 	2.98507e+57	1e+60      	0.0349243	5.45542e+58	11.8537	17 	1  	4.55213 
35 	3.09018 	0.212171   	23.6758    	0.0349243	1.39126    	11.8333	17 	1  	4.70836 
36 	3.47679 	0.301948   	31.5478    	0.0348412	2.05052    	12.6617	17 	1  	4.60275 
37 	3.503   	0.315115   	53.8293    	0.034492 	3.09863    	12.858 	17 	1  	4.86723 
38 	3.76945 	2.66895    	787.185    	0.034492 	42.8362    	13.6165	17 	1  	4.42844 
39 	3.9354  	1.0903     	252.798    	0.0343753	14.0313    	13.9324	17 	1  	4.534   
40 	3.9014  	2.93255e+57	1e+60      	0.0343753	5.40736e+58	13.9912	17 	1  	4.64486 
41 	4.02599 	0.204273   	36.8463    	0.0343753	1.99299    	14.4094	17 	1  	4.09631 
42 	4.09559 	0.495507   	84.438     	0.0343753	5.20182    	14.3382	17 	1  	4.38549 
43 	4.17603 	0.181098   	23.8264    	0.0342107	1.29154    	14.5203	17 	1  	4.49995 
44 	4.24455 	0.137604   	8.32093    	0.0340175	0.48301    	14.6812	17 	1  	4.16922 
45 	4.00549 	2.69403    	715.905    	0.0339809	39.1726    	13.9306	17 	1  	4.91439 
46 	4.13448 	0.220734   	20.7482    	0.0339809	1.39611    	14.4669	17 	1  	4.37189 
47 	4.09212 	0.407385   	55.6943    	0.0338578	3.48738    	14.3966	17 	1  	4.30626 
48 	4.05528 	0.168425   	9.12354    	0.0328848	0.593629   	14.3582	17 	1  	4.40442 
49 	4.03324 	0.192663   	15.8466    	0.0328221	0.960702   	14.44  	17 	1  	4.19668 
50 	4.01132 	2.849e+57  	1e+60      	0.0328221	5.33e+58   	14.2536	17 	1  	4.35871 
51 	3.99573 	0.105802   	0.938867   	0.0328221	0.171631   	14.1023	17 	1  	4.41791 
52 	3.97709 	0.125418   	1.56812    	0.0325788	0.208401   	14.017 	17 	1  	4.49674 
53 	3.92362 	3.41679    	786.127    	0.0328221	44.0528    	13.8729	17 	1  	4.41341 
54 	4.15275 	0.270639   	46.4107    	0.0325435	2.48634    	14.4451	17 	1  	4.09798 
55 	4.23187 	0.149725   	15.8466    	0.0325435	0.850841   	14.4831	17 	1  	4.1883  
56 	4.3283  	16.8899    	5869.31    	0.0325435	310.199    	14.507 	17 	1  	4.20858 
57 	4.39339 	0.176859   	23.6758    	0.0324068	1.25718    	14.6173	17 	1  	4.11516 
58 	4.51648 	0.0941446  	0.9602     	0.0324068	0.166217   	14.663 	17 	1  	3.84382 
