   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max       	min      	std        	avg    	max	min	std     
0  	0.160595	1133.85    	329582    	0.0429376	18965.4    	1.54485	4  	1  	0.688405
1  	0.160116	33.958     	8011.65   	0.0429376	460.602    	1.5596 	5  	1  	0.728845
2  	0.161151	6.00682    	530.852   	0.0429376	37.6952    	1.65347	5  	1  	0.805537
3  	0.158062	19.3041    	2316.79   	0.0416399	172.83     	1.64803	4  	1  	0.768069
4  	0.162742	1.66157    	157.198   	0.0416399	10.5611    	1.78689	6  	1  	0.903813
5  	0.186812	6.08603    	572.785   	0.0400621	45.594     	1.91503	5  	1  	0.896235
6  	0.172985	inf        	inf       	0.0400621	nan        	2.10749	6  	1  	0.990924
7  	0.172978	248.454    	34332.1   	0.0398248	2779.22    	2.18182	7  	1  	1.11922 
8  	0.175718	77.8139    	21764.4   	0.0400621	1238.12    	2.21683	7  	1  	1.07708 
9  	0.17977 	inf        	inf       	0.0398925	nan        	2.24516	7  	1  	1.19322 
10 	0.182096	inf        	inf       	0.0398925	nan        	2.29904	7  	1  	1.26693 
11 	0.209356	2.05628    	141.465   	0.0398248	12.3155    	2.39103	7  	1  	1.34486 
12 	0.183365	7.69575    	905.836   	0.0398248	57.8108    	2.39617	7  	1  	1.48354 
13 	0.186624	3.18471e+57	1e+60     	0.0398248	5.63433e+58	2.39172	7  	1  	1.52768 
14 	0.195343	inf        	inf       	0.0398248	nan        	2.6    	10 	1  	1.67294 
15 	0.202787	inf        	inf       	0.0398248	nan        	2.83228	10 	1  	1.84194 
16 	0.257542	inf        	inf       	0.0398239	nan        	3.27445	10 	1  	1.9433  
17 	0.228453	28.7549    	4823.63   	0.0398239	293.975    	3.70755	11 	1  	2.02795 
18 	0.250974	8.97782    	1217.36   	0.0398239	75.8496    	4.41693	11 	1  	2.26708 
19 	0.269904	inf        	inf       	0.0398239	nan        	4.90937	12 	1  	2.46372 
20 	0.283442	1.73289    	152.366   	0.0398239	10.8091    	5.19003	12 	1  	2.66943 
21 	0.288728	162.961    	37314.6   	0.0398211	2178.47    	5.5    	14 	1  	2.7699  
22 	0.295994	19.9701    	3325.4    	0.0398211	201.352    	5.67492	15 	1  	2.78922 
23 	0.308776	71.5489    	13105     	0.0398211	813.318    	5.98765	15 	1  	2.88352 
24 	0.322313	inf        	inf       	0.0398211	nan        	6.32615	17 	1  	3.28326 
25 	0.336475	1245.97    	384393    	0.0398211	21284.1    	7.02454	17 	1  	3.3579  
26 	0.349956	3.93609    	553.004   	0.0398211	35.6326    	7.33028	17 	1  	3.53849 
27 	0.35528 	157.367    	48689.2   	0.0398214	2684.39    	7.40244	17 	1  	3.68206 
28 	0.36432 	21.0224    	5443.21   	0.0398214	302.236    	7.83587	17 	1  	3.79695 
29 	0.398697	2.17096    	262.283   	0.0398214	18.5858    	8.59394	17 	1  	4.18569 
30 	0.419898	3.02115e+57	1e+60     	0.0398214	5.48819e+58	9.17523	17 	1  	4.45923 
31 	0.44343 	3.01205e+57	1e+60     	0.0398212	5.47994e+58	9.85241	17 	1  	4.51629 
32 	0.457124	1.18554    	225.68    	0.0398212	13.4875    	10.4264	17 	1  	4.42741 
33 	0.476454	2.81135    	690.553   	0.0398212	38.077     	10.9491	17 	1  	4.20583 
34 	0.506797	145.923    	47473.5   	0.0398211	2590.16    	11.3075	17 	1  	4.47391 
35 	0.51492 	0.750155   	105.28    	0.0398211	6.3864     	11.7113	17 	1  	4.29528 
36 	0.541463	2.96736e+57	1e+60     	0.0398211	5.43926e+58	12.0059	17 	1  	4.55757 
37 	0.545441	1.05703    	151.539   	0.0398211	9.45758    	12.432 	17 	1  	4.1033  
38 	0.539715	2590.2     	877931    	0.0398211	47612.2    	12.3894	17 	1  	4.34792 
39 	0.569937	3666.02    	1.2399e+06	0.0398211	67143.6    	12.8088	17 	1  	4.15599 
40 	0.568818	2.92309    	516.928   	0.0398211	29.7253    	12.6745	17 	1  	4.44018 
41 	0.56935 	2.92398e+57	1e+60     	0.0398211	5.39947e+58	12.7602	17 	1  	4.29005 
42 	0.570488	6.78395    	989.027   	0.0398211	65.3085    	12.5452	17 	1  	4.39024 
43 	0.561662	2.90698e+57	1e+60     	0.0398211	5.3838e+58 	12.4041	17 	1  	4.47306 
44 	0.549364	4.46675    	976.106   	0.0398211	53.7568    	12.142 	17 	1  	4.44876 
45 	0.546929	9.11288    	2236.09   	0.0398211	121.841    	12.1214	17 	1  	4.70239 
46 	0.57132 	2.88184e+57	1e+60     	0.0398211	5.36054e+58	12.4179	17 	1  	4.60059 
47 	0.584242	22.4954    	3297.85   	0.0398211	224.652    	12.5402	17 	1  	4.4069  
48 	0.57355 	6.92923    	2254.76   	0.0398211	120.554    	12.2693	17 	1  	4.47492 
49 	0.600266	2.85714e+57	1e+60     	0.0398211	5.33758e+58	12.3714	17 	1  	4.41676 
50 	0.616686	1.1396e+58 	1e+60     	0.0398211	1.06142e+59	12.2593	17 	1  	4.44639 
51 	0.616904	2.84091e+57	1e+60     	0.0398211	5.32244e+58	12.4205	17 	1  	4.41001 
52 	0.63787 	9.42554    	1349.76   	0.0398211	93.0928    	12.6969	17 	1  	4.42519 
53 	0.688864	12.4881    	2024.52   	0.0398211	138.385    	13.1243	17 	1  	4.12876 
54 	0.686651	2.8169e+57 	1e+60     	0.0398211	5.29997e+58	12.7437	17 	1  	4.41498 
55 	0.761473	2.01497    	189.408   	0.0398211	14.6796    	13.427 	17 	1  	4.13505 
56 	0.832847	2.80112e+57	1e+60     	0.0398211	5.28514e+58	13.972 	17 	1  	3.95412 
57 	0.870219	8.11935    	2046.38   	0.0398211	113.208    	14.0335	17 	1  	4.0828  
58 	0.965436	56.0275    	17900     	0.0398211	947.942    	14.5097	17 	1  	3.54899 
59 	1.05604 	122.898    	26862.7   	0.0398211	1665.48    	14.625 	17 	1  	3.78901 
60 	1.15934 	8.31025e+57	1e+60     	0.0398211	9.0781e+58 	14.9584	17 	1  	3.76173 
61 	1.24339 	1.10497e+58	1e+60     	0.0398211	1.04535e+59	15.5525	17 	1  	3.02179 
62 	1.27457 	5.50964e+57	1e+60     	0.0398211	7.40222e+58	15.2645	17 	1  	3.69968 
63 	1.37531 	1.0989e+58 	1e+60     	0.0398211	1.04251e+59	15.9698	17 	1  	2.70869 
64 	1.37643 	8.21918e+57	1e+60     	0.0398211	9.02863e+58	15.7918	17 	1  	2.99597 
65 	1.41973 	5.51213    	613.094   	0.0398211	45.4759    	15.9317	17 	1  	2.9621  
66 	1.43357 	1.3624e+58 	1e+60     	0.0398211	1.15924e+59	15.9455	17 	1  	3.01717 
