   	        	                      fitness                      	              size              
   	        	---------------------------------------------------	--------------------------------
gen	time    	avg    	max        	min      	std        	avg    	max	min	std     
0  	0.147908	148.048	27151.4    	0.0459402	1603.65    	1.43854	4  	1  	0.631701
1  	0.150398	24.2321	3176.08    	0.0459402	187.834    	1.45033	4  	1  	0.627079
2  	0.158149	50.2671	5191.33    	0.0459402	395.413    	1.59406	4  	1  	0.755768
3  	0.159181	94.6959	13270.6    	0.0459402	850.819    	1.56908	4  	1  	0.731233
4  	0.16061 	inf    	inf        	0.0459402	nan        	1.60984	5  	1  	0.734558
5  	0.163727	inf    	inf        	0.0459402	nan        	1.66667	5  	1  	0.800327
6  	0.159044	inf    	inf        	0.0459402	nan        	1.71336	5  	1  	0.84802 
7  	0.157303	81.1626	19364.2    	0.0459402	1126.53    	1.73701	5  	1  	0.963115
8  	0.154559	44.2173	10028.5    	0.0459402	573.524    	1.66019	5  	1  	0.865222
9  	0.156057	10.4184	867.041    	0.0459402	65.5645    	1.69032	4  	1  	0.831382
10 	0.160197	inf    	inf        	0.0459402	nan        	1.75563	5  	1  	0.930767
11 	0.156408	inf    	inf        	0.0459402	nan        	1.71795	5  	1  	0.921919
12 	0.155558	4.38101	225.671    	0.0459402	19.9713    	1.66134	4  	1  	0.849924
13 	0.155796	inf    	inf        	0.0459402	nan        	1.62102	4  	1  	0.855669
14 	0.159156	16517.5	5.19956e+06	0.0459402	292496     	1.66032	5  	1  	0.863095
15 	0.165681	152.817	43658.8    	0.0459402	2453.73    	1.72152	5  	1  	0.920054
16 	0.162591	83.194 	22198.6    	0.044701 	1254.91    	1.7224 	4  	1  	0.880154
17 	0.156448	7.81157	629.209    	0.044701 	50.341     	1.66981	5  	1  	0.876547
18 	0.157395	39.8673	9713.67    	0.0459402	544.59     	1.64263	5  	1  	0.782369
19 	0.159121	9.57068	1139.22    	0.0459402	73.8345    	1.6375 	5  	1  	0.865935
20 	0.157172	26.639 	6603.7     	0.0459402	369.266    	1.63863	5  	1  	0.812827
21 	0.166886	inf    	inf        	0.0430142	nan        	1.73913	5  	1  	0.905619
22 	0.165725	37.1862	6642.95    	0.0430142	429.558    	1.78638	5  	1  	0.928163
23 	0.169077	inf    	inf        	0.0430142	nan        	1.85494	5  	1  	0.952874
24 	0.168384	inf    	inf        	0.0430142	nan        	1.78154	5  	1  	0.96634 
25 	0.163481	125.847	23392.7    	0.0430142	1503.42    	1.86196	5  	1  	1.03436 
26 	0.167674	19.662 	1659.48    	0.0430142	139.716    	1.92355	5  	1  	1.07386 
27 	0.171869	inf    	inf        	0.0430142	nan        	1.98171	5  	1  	1.12061 
28 	0.169626	3.9232 	366.59     	0.0430142	25.8132    	1.99088	5  	1  	1.17338 
29 	0.178905	inf    	inf        	0.0430142	nan        	2.13636	5  	1  	1.18432 
30 	0.174191	inf    	inf        	0.0430142	nan        	2.01511	5  	1  	1.14892 
31 	0.182952	24.8656	5561.51    	0.0430142	312.041    	2.30723	5  	1  	1.22063 
32 	0.188547	9.34664	709.861    	0.0430142	54.7882    	2.53453	5  	1  	1.29778 
33 	0.197423	inf    	inf        	0.0428976	nan        	2.6976 	5  	1  	1.34527 
34 	0.210563	65.1685	12970.8    	0.0428976	768.274    	2.97015	5  	1  	1.35349 
35 	0.221607	inf    	inf        	0.0428976	nan        	3.21726	5  	1  	1.36837 
36 	0.234551	29.2719	4374.29    	0.0428976	286.236    	3.65875	5  	1  	1.31839 
37 	0.237496	10.7287	995.018    	0.0414194	81.2749    	3.80473	5  	1  	1.32914 
38 	0.246659	873.773	285919     	0.0414194	15506.8    	3.99705	5  	1  	1.21325 
39 	0.248168	17.8678	2613.34    	0.0414194	181.301    	4.02647	5  	1  	1.14373 
40 	0.249157	18.8157	2917.45    	0.0414194	190.469    	4.11144	5  	1  	1.21303 
41 	0.253631	8.58523	1084.8     	0.0414194	71.9942    	4.25731	5  	1  	1.13343 
42 	0.255772	33.7399	6655.14    	0.0414194	374.462    	4.25364	5  	1  	1.13894 
43 	0.260167	6562.26	1.8897e+06 	0.0414194	103400     	4.25581	5  	1  	1.14563 
44 	0.260378	899.107	307027     	0.0414194	16505.6    	4.16812	5  	1  	1.22799 
45 	0.261895	76.3188	11641.6    	0.0414194	840.148    	4.16185	5  	1  	1.22703 
46 	0.273042	8.24398	1402.25    	0.0414194	89.6366    	4.2536 	5  	1  	1.09976 
47 	0.272502	90.4815	24786.6    	0.0414194	1341.25    	4.16954	5  	1  	1.23293 
48 	0.283387	78.9229	17504.6    	0.0414194	991.212    	4.16332	5  	1  	1.24584 
49 	0.298337	11.426 	1861.37    	0.0414194	116.534    	4.17429	5  	1  	1.23793 
50 	0.303468	399.362	102781     	0.0414194	5614.48    	4.20513	5  	1  	1.19261 
51 	0.30415 	2249.89	742820     	0.0414194	39591.1    	4.18466	5  	1  	1.25113 
52 	0.307378	43.2396	6642.95    	0.0414194	496.381    	4.12181	5  	1  	1.26599 
53 	0.299713	inf    	inf        	0.0414194	nan        	4.14407	5  	1  	1.25511 
54 	0.304346	inf    	inf        	0.0414194	nan        	4.24225	5  	1  	1.14223 
55 	0.307355	inf    	inf        	0.0414194	nan        	4.17416	5  	1  	1.23752 
56 	0.311865	inf    	inf        	0.0414194	nan        	4.15406	5  	1  	1.28177 
57 	0.321499	7.34545	589.235    	0.0414194	44.3248    	4.24302	5  	1  	1.20039 
58 	0.323607	209.175	55406      	0.0395854	2978.93    	4.23398	5  	1  	1.22229 
59 	0.329425	21.8573	3221.4     	0.0395854	201.123    	4.13611	5  	1  	1.2892  
60 	0.322386	72.0033	12970.8    	0.0395854	874.658    	4.10249	5  	1  	1.29906 
61 	0.325398	293.954	90411.5    	0.0395854	4794.79    	4.13536	5  	1  	1.28567 
62 	0.331155	28.7048	6655.14    	0.0395854	367.645    	4.2011 	5  	1  	1.25125 
63 	0.339417	inf    	inf        	0.0395854	nan        	4.26099	5  	1  	1.17694 
64 	0.363476	168000 	6.12641e+07	0.0395854	3.20231e+06	4.36438	5  	1  	1.17338 
65 	0.377571	inf    	inf        	0.0395854	nan        	4.39617	5  	1  	1.14467 
66 	0.393311	inf    	inf        	0.0390698	nan        	4.35695	5  	1  	1.16282 
67 	0.422225	11.3426	2012.25    	0.0390698	113.022    	4.39674	5  	1  	1.14455 
68 	0.445853	62.0122	15187.9    	0.0390698	818.661    	4.53659	5  	1  	1.03037 
69 	0.466922	25.0049	3221.4     	0.0390698	218.1      	4.51351	5  	1  	1.08856 
70 	0.493177	inf    	inf        	0.0390698	nan        	4.58221	5  	1  	1.02561 
71 	0.517025	6.48238	469.949    	0.0390698	44.8311    	4.62903	5  	1  	0.951522
72 	0.542149	2.5189 	188.962    	0.0390698	16.1911    	4.63807	5  	1  	0.998846
73 	0.567077	3.3645 	275.46     	0.0390698	23.7435    	4.7139 	5  	1  	0.902148
